
Iterations = 101:20001
Thinning interval = 1 
Number of chains = 4 
Sample size per chain = 19901 

1. Empirical mean and standard deviation for each variable,
   plus standard error of the mean:

                 Mean        SD  Naive SE Time-series SE
iter        1.005e+04 5.745e+03 2.036e+01      0.0000000
sig2err     7.313e-02 8.991e-03 3.187e-05      0.0001005
ncoef.1     5.089e-01 5.637e-02 1.998e-04      0.0030768
ncoef.2     5.589e-01 6.113e-02 2.167e-04      0.0041038
ncoef.3     5.378e-01 5.576e-02 1.976e-04      0.0032526
ncoef.4     5.346e-01 5.433e-02 1.925e-04      0.0035106
ncoef.5     5.212e-01 6.496e-02 2.302e-04      0.0028826
ncoef.6     5.391e-01 5.250e-02 1.861e-04      0.0030404
ncoef.7     5.635e-01 6.181e-02 2.191e-04      0.0029363
ncoef.8     4.986e-01 6.384e-02 2.263e-04      0.0028769
ncoef.9     5.142e-01 5.811e-02 2.060e-04      0.0028392
ncoef.10    5.251e-01 5.963e-02 2.113e-04      0.0032856
ncoef.11    4.918e-01 5.473e-02 1.940e-04      0.0028993
ncoef.12    5.434e-01 6.046e-02 2.143e-04      0.0034226
ncoef.13    5.615e-01 5.596e-02 1.983e-04      0.0031198
ncoef.14    5.148e-01 6.536e-02 2.317e-04      0.0030234
ncoef.15    5.645e-01 5.999e-02 2.126e-04      0.0029539
ncoef.16    5.017e-01 6.095e-02 2.160e-04      0.0028476
ncoef.17    5.633e-01 4.890e-02 1.733e-04      0.0033609
ncoef.18    5.337e-01 5.921e-02 2.098e-04      0.0030259
ncoef.19    5.375e-01 6.484e-02 2.298e-04      0.0029168
ncoef.20    5.970e-01 5.384e-02 1.908e-04      0.0031127
ncoef.21    5.050e-01 7.734e-02 2.741e-04      0.0034199
ncoef.22    5.655e-01 5.326e-02 1.888e-04      0.0033365
ncoef.23    5.231e-01 5.501e-02 1.950e-04      0.0029213
ncoef.24    4.860e-01 6.417e-02 2.274e-04      0.0029224
ncoef.25    5.196e-01 5.551e-02 1.967e-04      0.0029501
ncoef.26    5.591e-01 5.754e-02 2.039e-04      0.0032337
ncoef.27    5.227e-01 5.672e-02 2.010e-04      0.0039972
