
Iterations = 101:20001
Thinning interval = 1 
Number of chains = 4 
Sample size per chain = 19901 

1. Empirical mean and standard deviation for each variable,
   plus standard error of the mean:

                 Mean        SD  Naive SE Time-series SE
ncoef.28    4.821e-01 6.323e-02 2.241e-04      0.0027844
ncoef.29    5.035e-01 6.398e-02 2.268e-04      0.0029199
ncoef.30    6.119e-01 5.205e-02 1.845e-04      0.0030822
ncoef.31    4.824e-01 6.983e-02 2.475e-04      0.0031935
ncoef.32    5.111e-01 6.353e-02 2.252e-04      0.0029820
ncoef.33    5.176e-01 6.770e-02 2.399e-04      0.0026596
ncoef.34    5.247e-01 5.367e-02 1.902e-04      0.0030787
ncoef.35    5.543e-01 6.553e-02 2.322e-04      0.0034195
ncoef.36    5.391e-01 5.613e-02 1.989e-04      0.0031087
ncoef.37    5.099e-01 5.512e-02 1.954e-04      0.0032336
ncoef.38    5.442e-01 6.593e-02 2.337e-04      0.0028609
ncoef.39    5.042e-01 7.525e-02 2.667e-04      0.0030390
ncoef.40    5.925e-01 5.575e-02 1.976e-04      0.0036266
ncoef.41    5.123e-01 5.557e-02 1.970e-04      0.0031818
ncoef.42    5.755e-01 5.952e-02 2.109e-04      0.0033700
ncoef.43    4.846e-01 5.879e-02 2.084e-04      0.0029661
ncoef.44    4.911e-01 5.595e-02 1.983e-04      0.0028521
ncoef.45    5.243e-01 5.586e-02 1.980e-04      0.0033664
ncoef.46    5.868e-01 5.635e-02 1.997e-04      0.0030325
ncoef.47    5.525e-01 6.251e-02 2.216e-04      0.0029165
ncoef.48    5.567e-01 6.221e-02 2.205e-04      0.0029030
ncoef.49    5.203e-01 5.996e-02 2.125e-04      0.0031337
ncoef.50    5.198e-01 5.366e-02 1.902e-04      0.0035950
ncoef.51    5.286e-01 6.017e-02 2.132e-04      0.0035017
Roffset.1   1.300e+00 1.195e+00 4.236e-03      0.0248112
Roffset.2   1.746e-01 1.372e-01 4.862e-04      0.0020473
Roffset.3   7.937e-01 7.407e-01 2.625e-03      0.0119380
Roffset.4   5.652e-01 5.221e-01 1.851e-03      0.0082238
Roffset.5   1.343e+00 8.647e-01 3.065e-03      0.0195731
Roffset.6   5.561e-01 4.869e-01 1.726e-03      0.0083439
Roffset.7   1.163e+00 7.018e-01 2.488e-03      0.0194259
Roffset.8   1.578e+00 1.250e+00 4.430e-03      0.0259594
Roffset.9   1.221e+00 1.047e+00 3.711e-03      0.0204108
Roffset.10  1.047e+00 8.425e-01 2.986e-03      0.0165515
Roffset.11  1.315e+00 1.208e+00 4.281e-03      0.0254508
Roffset.12  2.533e-01 2.370e-01 8.400e-04      0.0031942
Roffset.13  8.877e-01 7.491e-01 2.655e-03      0.0123648
Roffset.14  1.827e+00 1.268e+00 4.495e-03      0.0303495
Roffset.15  1.212e+00 5.200e-01 1.843e-03      0.0090198
Roffset.16  1.964e+00 1.552e+00 5.499e-03      0.0351044
Roffset.17  4.248e-01 3.977e-01 1.410e-03      0.0062342
Roffset.18  7.458e-01 5.521e-01 1.957e-03      0.0103352
Roffset.19  5.149e+00 1.319e+00 4.676e-03      0.0238515
Roffset.20  1.253e-01 9.801e-02 3.474e-04      0.0016054
Roffset.21  3.873e+00 2.050e+00 7.265e-03      0.0604140
Roffset.22  4.584e-01 4.147e-01 1.470e-03      0.0064959
Roffset.23  7.719e-01 6.521e-01 2.311e-03      0.0130789
Roffset.24  1.632e+00 8.727e-01 3.093e-03      0.0228801
Roffset.25  1.233e+00 1.154e+00 4.090e-03      0.0202812
Roffset.26  1.350e+00 3.671e-01 1.301e-03      0.0064902
Roffset.27  2.790e-01 2.386e-01 8.458e-04      0.0032259
Roffset.28  1.783e+00 1.465e+00 5.192e-03      0.0336947
Roffset.29  1.689e+00 1.271e+00 4.506e-03      0.0268084
Roffset.30  1.329e-01 1.074e-01 3.807e-04      0.0017514
Roffset.31  3.721e+00 2.966e+00 1.051e-02      0.0967230
Roffset.32  8.628e-01 5.991e-01 2.123e-03      0.0111116
Roffset.33  1.394e+01 2.401e+00 8.510e-03      0.0493503
Roffset.34  6.229e-01 5.639e-01 1.998e-03      0.0092740
Roffset.35  5.224e-01 4.263e-01 1.511e-03      0.0053628
Roffset.36  5.884e-01 4.597e-01 1.629e-03      0.0088831
Roffset.37  6.388e-01 5.744e-01 2.036e-03      0.0101362
Roffset.38  9.976e-01 4.635e-01 1.643e-03      0.0084007
Roffset.39  4.776e+00 1.944e+00 6.891e-03      0.0544203
Roffset.40  2.928e-01 2.667e-01 9.453e-04      0.0037384
Roffset.41  9.740e-01 9.247e-01 3.277e-03      0.0175662
Roffset.42  3.836e-01 4.062e-01 1.440e-03      0.0045161
Roffset.43  1.098e+00 9.672e-01 3.428e-03      0.0188214
Roffset.44  1.223e+00 1.005e+00 3.561e-03      0.0210546
Roffset.45  1.131e+00 3.944e-01 1.398e-03      0.0064392
Roffset.46  1.193e-01 9.246e-02 3.277e-04      0.0014324
Roffset.47  1.270e+00 8.429e-01 2.987e-03      0.0171824
Roffset.48  9.390e-01 5.521e-01 1.957e-03      0.0112095
Roffset.49  4.545e-01 3.400e-01 1.205e-03      0.0052556
Roffset.50  4.696e-01 4.287e-01 1.519e-03      0.0064427
Roffset.51  5.294e-01 4.870e-01 1.726e-03      0.0065938
lnlike.1    3.433e-01 7.212e-01 2.556e-03      0.0060075
lnlike.2   -1.058e+01 7.973e-01 2.826e-03      0.0076696
lnlike.3   -2.353e+00 6.088e-01 2.158e-03      0.0051153
lnlike.4   -8.875e-01 6.580e-01 2.332e-03      0.0058638
lnlike.5   -4.660e-01 8.253e-01 2.925e-03      0.0115854
lnlike.6   -7.932e-01 6.739e-01 2.389e-03      0.0056848
lnlike.7   -1.117e+01 1.271e+00 4.504e-03      0.0244640
lnlike.8   -8.544e-01 7.473e-01 2.649e-03      0.0058028
lnlike.9   -5.667e+00 6.753e-01 2.393e-03      0.0050563
lnlike.10   6.840e-01 7.240e-01 2.566e-03      0.0064929
lnlike.11   7.305e-01 8.059e-01 2.856e-03      0.0082234
lnlike.12  -4.266e+00 7.159e-01 2.537e-03      0.0068714
lnlike.13  -1.893e+00 8.317e-01 2.948e-03      0.0113516
lnlike.14  -1.103e+01 1.251e+00 4.435e-03      0.0126121
lnlike.15  -3.384e+00 1.210e+00 4.289e-03      0.0197298
lnlike.16  -1.444e+00 7.660e-01 2.715e-03      0.0063594
lnlike.17  -9.427e-01 6.996e-01 2.479e-03      0.0061600
lnlike.18  -2.950e+00 6.595e-01 2.337e-03      0.0058593
lnlike.19  -1.436e+00 9.470e-01 3.357e-03      0.0136783
lnlike.20  -4.391e+00 1.054e+00 3.736e-03      0.0094894
lnlike.21  -8.612e-01 8.518e-01 3.019e-03      0.0114470
lnlike.22  -5.535e+00 6.853e-01 2.429e-03      0.0054048
lnlike.23  -2.738e+00 6.535e-01 2.316e-03      0.0051739
lnlike.24  -4.083e+00 8.427e-01 2.987e-03      0.0094228
lnlike.25  -1.844e+00 6.437e-01 2.281e-03      0.0050462
lnlike.26  -5.022e+00 1.004e+00 3.560e-03      0.0146759
lnlike.27  -3.425e+00 8.140e-01 2.885e-03      0.0101537
lnlike.28  -9.018e-01 8.657e-01 3.068e-03      0.0088716
lnlike.29   1.108e+00 8.048e-01 2.853e-03      0.0073047
lnlike.30  -2.814e+00 1.231e+00 4.362e-03      0.0120044
lnlike.31   1.276e+00 8.887e-01 3.150e-03      0.0080325
lnlike.32  -3.943e+00 6.723e-01 2.383e-03      0.0051354
lnlike.33  -1.044e+00 7.596e-01 2.692e-03      0.0092808
lnlike.34  -2.371e+00 6.572e-01 2.329e-03      0.0059880
lnlike.35  -1.535e+01 7.131e-01 2.527e-03      0.0085095
lnlike.36  -5.893e+00 6.822e-01 2.418e-03      0.0056366
lnlike.37  -3.124e+00 7.485e-01 2.653e-03      0.0084954
lnlike.38  -3.365e+00 9.494e-01 3.365e-03      0.0140340
lnlike.39  -9.021e-01 8.111e-01 2.875e-03      0.0096375
lnlike.40  -1.332e+00 9.674e-01 3.429e-03      0.0089047
lnlike.41  -5.845e-01 7.025e-01 2.490e-03      0.0062655
lnlike.42  -4.237e+00 9.134e-01 3.237e-03      0.0073364
lnlike.43  -6.080e-01 8.758e-01 3.104e-03      0.0114504
lnlike.44   1.637e-01 8.102e-01 2.872e-03      0.0083663
lnlike.45  -2.684e+00 9.121e-01 3.233e-03      0.0108543
lnlike.46  -6.861e+00 1.035e+00 3.668e-03      0.0081740
lnlike.47  -6.388e+00 1.041e+00 3.689e-03      0.0160831
lnlike.48  -6.140e+00 1.036e+00 3.672e-03      0.0160110
lnlike.49  -2.975e+00 6.657e-01 2.359e-03      0.0060770
lnlike.50  -5.723e+00 7.842e-01 2.779e-03      0.0098922
lnlike.51  -3.265e+00 5.556e-01 1.969e-03      0.0050571
lnprior    -2.788e+00 6.466e-01 2.292e-03      0.0649339
lnpopprior -7.952e+01 1.292e+01 4.578e-02      0.3746920
lnlike     -1.642e+02 7.095e+00 2.515e-02      0.1404541
lnpost     -2.465e+02 1.331e+01 4.716e-02      0.4043980

2. Quantiles for each variable:

                 2.5%        25%        50%        75%      97.5%
iter        5.970e+02 5075.00000  1.005e+04  1.502e+04  1.950e+04
sig2err     5.677e-02    0.06680  7.271e-02  7.891e-02  9.204e-02
ncoef.1     4.088e-01    0.47040  5.044e-01  5.434e-01  6.333e-01
ncoef.2     4.440e-01    0.51643  5.581e-01  5.986e-01  6.844e-01
ncoef.3     4.339e-01    0.49957  5.356e-01  5.739e-01  6.532e-01
ncoef.4     4.348e-01    0.49741  5.324e-01  5.690e-01  6.493e-01
ncoef.5     4.067e-01    0.47493  5.160e-01  5.635e-01  6.610e-01
ncoef.6     4.438e-01    0.50292  5.367e-01  5.728e-01  6.511e-01
ncoef.7     4.527e-01    0.51938  5.587e-01  6.037e-01  6.923e-01
ncoef.8     3.861e-01    0.45333  4.945e-01  5.389e-01  6.358e-01
ncoef.9     4.113e-01    0.47393  5.107e-01  5.510e-01  6.387e-01
ncoef.10    4.169e-01    0.48360  5.230e-01  5.638e-01  6.519e-01
ncoef.11    3.942e-01    0.45327  4.886e-01  5.274e-01  6.064e-01
ncoef.12    4.304e-01    0.50146  5.421e-01  5.836e-01  6.673e-01
ncoef.13    4.576e-01    0.52281  5.594e-01  5.979e-01  6.779e-01
ncoef.14    4.010e-01    0.46671  5.104e-01  5.582e-01  6.526e-01
ncoef.15    4.519e-01    0.52307  5.633e-01  6.030e-01  6.881e-01
ncoef.16    3.946e-01    0.45854  4.964e-01  5.414e-01  6.306e-01
ncoef.17    4.715e-01    0.53042  5.624e-01  5.948e-01  6.641e-01
ncoef.18    4.251e-01    0.49139  5.309e-01  5.718e-01  6.583e-01
ncoef.19    4.144e-01    0.49348  5.359e-01  5.808e-01  6.685e-01
ncoef.20    4.976e-01    0.55952  5.953e-01  6.323e-01  7.080e-01
ncoef.21    3.654e-01    0.44765  5.048e-01  5.595e-01  6.557e-01
ncoef.22    4.684e-01    0.52770  5.638e-01  5.997e-01  6.780e-01
ncoef.23    4.259e-01    0.48449  5.199e-01  5.566e-01  6.438e-01
ncoef.24    3.667e-01    0.44055  4.851e-01  5.284e-01  6.197e-01
ncoef.25    4.204e-01    0.48046  5.164e-01  5.555e-01  6.373e-01
ncoef.26    4.512e-01    0.51902  5.572e-01  5.975e-01  6.767e-01
ncoef.27    4.166e-01    0.48346  5.219e-01  5.598e-01  6.380e-01
ncoef.28    3.698e-01    0.43763  4.787e-01  5.229e-01  6.139e-01
ncoef.29    3.893e-01    0.45795  5.011e-01  5.434e-01  6.411e-01
ncoef.30    5.157e-01    0.57583  6.099e-01  6.461e-01  7.180e-01
ncoef.31    3.651e-01    0.43197  4.752e-01  5.280e-01  6.337e-01
ncoef.32    3.935e-01    0.46593  5.085e-01  5.519e-01  6.430e-01
ncoef.33    3.891e-01    0.47108  5.165e-01  5.628e-01  6.540e-01
ncoef.34    4.261e-01    0.48710  5.219e-01  5.591e-01  6.389e-01
ncoef.35    4.290e-01    0.50925  5.528e-01  5.971e-01  6.877e-01
ncoef.36    4.379e-01    0.49995  5.360e-01  5.752e-01  6.620e-01
ncoef.37    4.093e-01    0.47133  5.080e-01  5.456e-01  6.250e-01
ncoef.38    4.204e-01    0.49849  5.429e-01  5.893e-01  6.787e-01
ncoef.39    3.593e-01    0.45286  5.044e-01  5.560e-01  6.517e-01
ncoef.40    4.888e-01    0.55371  5.911e-01  6.289e-01  7.062e-01
ncoef.41    4.137e-01    0.47427  5.092e-01  5.464e-01  6.317e-01
ncoef.42    4.621e-01    0.53473  5.735e-01  6.159e-01  6.956e-01
ncoef.43    3.773e-01    0.44287  4.826e-01  5.221e-01  6.107e-01
ncoef.44    3.910e-01    0.45140  4.891e-01  5.269e-01  6.090e-01
ncoef.45    4.177e-01    0.48648  5.222e-01  5.616e-01  6.377e-01
ncoef.46    4.809e-01    0.54812  5.845e-01  6.241e-01  7.035e-01
ncoef.47    4.404e-01    0.50845  5.488e-01  5.928e-01  6.844e-01
ncoef.48    4.450e-01    0.51303  5.533e-01  5.971e-01  6.852e-01
ncoef.49    4.084e-01    0.47909  5.183e-01  5.587e-01  6.457e-01
ncoef.50    4.208e-01    0.48300  5.176e-01  5.553e-01  6.284e-01
ncoef.51    4.170e-01    0.48691  5.264e-01  5.680e-01  6.521e-01
Roffset.1   2.355e-02    0.33464  9.335e-01  1.982e+00  4.208e+00
Roffset.2   8.990e-03    0.06984  1.429e-01  2.465e-01  5.152e-01
Roffset.3   1.760e-02    0.21956  5.707e-01  1.155e+00  2.711e+00
Roffset.4   1.555e-02    0.16903  4.049e-01  8.132e-01  1.924e+00
Roffset.5   4.459e-02    0.62252  1.283e+00  1.968e+00  3.123e+00
Roffset.6   1.625e-02    0.17114  4.188e-01  8.196e-01  1.791e+00
Roffset.7   4.659e-02    0.58421  1.144e+00  1.669e+00  2.618e+00
Roffset.8   3.273e-02    0.48593  1.330e+00  2.440e+00  4.366e+00
Roffset.9   2.221e-02    0.33939  9.589e-01  1.870e+00  3.696e+00
Roffset.10  2.681e-02    0.34235  8.600e-01  1.576e+00  3.019e+00
Roffset.11  2.441e-02    0.33749  9.392e-01  2.009e+00  4.280e+00
Roffset.12  9.448e-03    0.08280  1.826e-01  3.499e-01  8.883e-01
Roffset.13  2.006e-02    0.27964  7.020e-01  1.313e+00  2.706e+00
Roffset.14  5.099e-02    0.72133  1.727e+00  2.748e+00  4.432e+00
Roffset.15  2.167e-01    0.85501  1.198e+00  1.567e+00  2.245e+00
Roffset.16  4.108e-02    0.61197  1.674e+00  3.022e+00  5.461e+00
Roffset.17  1.400e-02    0.13027  3.026e-01  6.002e-01  1.489e+00
Roffset.18  2.350e-02    0.28655  6.449e-01  1.112e+00  1.987e+00
Roffset.19  2.621e+00    4.25998  5.151e+00  6.005e+00  7.776e+00
Roffset.20  6.540e-03    0.05028  1.018e-01  1.763e-01  3.704e-01
Roffset.21  1.288e-01    2.32364  4.098e+00  5.411e+00  7.400e+00
Roffset.22  1.341e-02    0.14333  3.379e-01  6.584e-01  1.538e+00
Roffset.23  2.241e-02    0.24234  5.984e-01  1.152e+00  2.364e+00
Roffset.24  9.763e-02    0.98508  1.627e+00  2.250e+00  3.341e+00
Roffset.25  2.484e-02    0.31562  8.686e-01  1.866e+00  4.147e+00
Roffset.26  6.746e-01    1.09350  1.336e+00  1.590e+00  2.098e+00
Roffset.27  1.069e-02    0.09964  2.160e-01  3.932e-01  8.964e-01
Roffset.28  3.593e-02    0.51525  1.440e+00  2.773e+00  5.072e+00
Roffset.29  3.586e-02    0.58651  1.505e+00  2.568e+00  4.442e+00
Roffset.30  6.434e-03    0.05176  1.057e-01  1.872e-01  4.032e-01
Roffset.31  4.514e-02    0.90027  3.287e+00  6.055e+00  9.663e+00
Roffset.32  2.921e-02    0.36017  7.837e-01  1.270e+00  2.157e+00
Roffset.33  8.805e+00   12.43576  1.402e+01  1.559e+01  1.838e+01
Roffset.34  1.733e-02    0.18249  4.572e-01  9.031e-01  2.087e+00
Roffset.35  1.813e-02    0.19309  4.245e-01  7.441e-01  1.596e+00
Roffset.36  1.841e-02    0.21241  4.844e-01  8.741e-01  1.657e+00
Roffset.37  1.725e-02    0.19170  4.721e-01  9.270e-01  2.113e+00
Roffset.38  9.826e-02    0.67224  1.004e+00  1.318e+00  1.901e+00
Roffset.39  2.925e-01    3.66992  5.045e+00  6.105e+00  8.039e+00
Roffset.40  1.048e-02    0.09416  2.163e-01  4.122e-01  1.002e+00
Roffset.41  2.085e-02    0.25028  6.752e-01  1.444e+00  3.348e+00
Roffset.42  1.152e-02    0.10962  2.554e-01  5.157e-01  1.489e+00
Roffset.43  2.714e-02    0.31165  8.171e-01  1.654e+00  3.513e+00
Roffset.44  2.972e-02    0.38015  9.921e-01  1.847e+00  3.593e+00
Roffset.45  4.296e-01    0.84868  1.107e+00  1.377e+00  1.976e+00
Roffset.46  6.789e-03    0.04933  9.785e-02  1.665e-01  3.520e-01
Roffset.47  4.017e-02    0.56520  1.206e+00  1.854e+00  3.051e+00
Roffset.48  5.045e-02    0.50315  9.132e-01  1.314e+00  2.082e+00
Roffset.49  1.758e-02    0.18058  3.854e-01  6.670e-01  1.257e+00
Roffset.50  1.401e-02    0.14460  3.388e-01  6.756e-01  1.599e+00
Roffset.51  1.439e-02    0.16127  3.887e-01  7.611e-01  1.782e+00
lnlike.1   -1.591e+00    0.10636  5.104e-01  7.935e-01  1.229e+00
lnlike.2   -1.271e+01  -10.87978 -1.039e+01 -1.007e+01 -9.593e+00
lnlike.3   -4.041e+00   -2.50630 -2.171e+00 -1.984e+00 -1.737e+00
lnlike.4   -2.667e+00   -1.09038 -7.025e-01 -4.719e-01 -1.993e-01
lnlike.5   -2.551e+00   -0.83412 -3.441e-01  9.311e-02  6.932e-01
lnlike.6   -2.612e+00   -0.99927 -6.280e-01 -3.806e-01 -2.760e-03
lnlike.7   -1.388e+01  -11.99149 -1.108e+01 -1.025e+01 -9.013e+00
lnlike.8   -2.919e+00   -1.06361 -6.298e-01 -3.892e-01 -8.807e-02
lnlike.9   -7.581e+00   -5.83686 -5.432e+00 -5.251e+00 -5.059e+00
lnlike.10  -1.191e+00    0.40190  8.174e-01  1.146e+00  1.686e+00
lnlike.11  -1.394e+00    0.43055  9.082e-01  1.248e+00  1.761e+00
lnlike.12  -6.152e+00   -4.55964 -4.089e+00 -3.766e+00 -3.460e+00
lnlike.13  -3.847e+00   -2.29377 -1.883e+00 -1.344e+00 -4.611e-01
lnlike.14  -1.386e+01  -11.75688 -1.090e+01 -1.016e+01 -8.963e+00
lnlike.15  -6.458e+00   -3.99822 -3.112e+00 -2.492e+00 -1.838e+00
lnlike.16  -3.520e+00   -1.66513 -1.249e+00 -9.740e-01 -5.743e-01
lnlike.17  -2.875e+00   -1.14211 -7.260e-01 -5.027e-01 -2.443e-01
lnlike.18  -4.773e+00   -3.14500 -2.785e+00 -2.522e+00 -2.256e+00
lnlike.19  -3.988e+00   -1.78443 -1.177e+00 -8.079e-01 -3.645e-01
lnlike.20  -7.226e+00   -4.82827 -4.042e+00 -3.605e+00 -3.410e+00
lnlike.21  -3.155e+00   -1.13324 -6.535e-01 -3.088e-01  9.980e-02
lnlike.22  -7.455e+00   -5.71591 -5.323e+00 -5.114e+00 -4.866e+00
lnlike.23  -4.572e+00   -2.89316 -2.498e+00 -2.333e+00 -2.209e+00
lnlike.24  -6.337e+00   -4.40276 -3.854e+00 -3.502e+00 -3.200e+00
lnlike.25  -3.613e+00   -2.00799 -1.650e+00 -1.461e+00 -1.189e+00
lnlike.26  -7.664e+00   -5.43800 -4.735e+00 -4.314e+00 -3.936e+00
lnlike.27  -5.501e+00   -3.79777 -3.233e+00 -2.845e+00 -2.426e+00
lnlike.28  -3.175e+00   -1.22290 -7.135e-01 -3.378e-01  1.621e-01
lnlike.29  -1.016e+00    0.82582  1.279e+00  1.609e+00  2.143e+00
lnlike.30  -6.062e+00   -3.34407 -2.436e+00 -1.902e+00 -1.577e+00
lnlike.31  -1.151e+00    0.98183  1.484e+00  1.829e+00  2.373e+00
lnlike.32  -5.810e+00   -4.11929 -3.706e+00 -3.510e+00 -3.393e+00
lnlike.33  -3.200e+00   -1.22754 -7.760e-01 -5.763e-01 -4.118e-01
lnlike.34  -4.151e+00   -2.56561 -2.178e+00 -1.946e+00 -1.729e+00
lnlike.35  -1.696e+01  -15.73986 -1.529e+01 -1.488e+01 -1.415e+01
lnlike.36  -7.750e+00   -6.12775 -5.727e+00 -5.453e+00 -5.081e+00
lnlike.37  -5.065e+00   -3.42571 -2.928e+00 -2.612e+00 -2.283e+00
lnlike.38  -5.631e+00   -3.86603 -3.184e+00 -2.688e+00 -2.033e+00
lnlike.39  -3.137e+00   -1.11664 -6.580e-01 -3.912e-01 -1.025e-01
lnlike.40  -3.933e+00   -1.71802 -1.012e+00 -6.588e-01 -3.531e-01
lnlike.41  -2.505e+00   -0.80255 -4.025e-01 -1.469e-01  2.133e-01
lnlike.42  -6.557e+00   -4.66850 -4.006e+00 -3.574e+00 -3.143e+00
lnlike.43  -2.791e+00   -1.02450 -4.278e-01  2.217e-03  5.440e-01
lnlike.44  -1.945e+00   -0.15681  3.573e-01  6.957e-01  1.165e+00
lnlike.45  -5.113e+00   -3.03015 -2.434e+00 -2.068e+00 -1.652e+00
lnlike.46  -9.589e+00   -7.28821 -6.536e+00 -6.086e+00 -5.893e+00
lnlike.47  -8.593e+00   -7.04860 -6.325e+00 -5.632e+00 -4.644e+00
lnlike.48  -8.429e+00   -6.78234 -6.036e+00 -5.381e+00 -4.468e+00
lnlike.49  -4.787e+00   -3.19578 -2.793e+00 -2.536e+00 -2.279e+00
lnlike.50  -7.762e+00   -6.07207 -5.537e+00 -5.178e+00 -4.735e+00
lnlike.51  -4.729e+00   -3.44041 -3.122e+00 -2.910e+00 -2.685e+00
lnprior    -4.413e+00   -3.10589 -2.572e+00 -2.282e+00 -2.173e+00
lnpopprior -1.049e+02  -87.85130 -7.950e+01 -7.111e+01 -5.412e+01
lnlike     -1.790e+02 -168.79641 -1.640e+02 -1.593e+02 -1.512e+02
lnpost     -2.743e+02 -254.90071 -2.459e+02 -2.375e+02 -2.223e+02

