
Iterations = 101:20001
Thinning interval = 1 
Number of chains = 4 
Sample size per chain = 19901 

1. Empirical mean and standard deviation for each variable,
   plus standard error of the mean:

                 Mean        SD  Naive SE Time-series SE
iter        1.005e+04 5.745e+03 2.036e+01      0.000e+00
sig2err     7.146e-02 8.806e-03 3.121e-05      9.239e-05
ncoef.1     5.319e-01 5.050e-02 1.790e-04      2.782e-03
ncoef.2     5.781e-01 5.917e-02 2.097e-04      4.093e-03
ncoef.3     5.454e-01 5.476e-02 1.941e-04      3.389e-03
ncoef.4     5.452e-01 5.164e-02 1.830e-04      3.621e-03
ncoef.5     5.307e-01 6.374e-02 2.259e-04      3.028e-03
ncoef.6     5.447e-01 5.094e-02 1.806e-04      3.002e-03
ncoef.7     5.659e-01 5.999e-02 2.126e-04      3.037e-03
ncoef.8     5.067e-01 6.399e-02 2.268e-04      2.860e-03
ncoef.9     5.225e-01 5.780e-02 2.048e-04      2.928e-03
ncoef.10    5.322e-01 5.753e-02 2.039e-04      3.188e-03
ncoef.11    5.008e-01 5.547e-02 1.966e-04      3.096e-03
ncoef.12    5.516e-01 5.867e-02 2.079e-04      3.429e-03
ncoef.13    5.683e-01 5.335e-02 1.891e-04      3.078e-03
ncoef.14    5.243e-01 6.606e-02 2.342e-04      3.319e-03
ncoef.15    5.724e-01 5.833e-02 2.067e-04      2.826e-03
ncoef.16    5.098e-01 6.045e-02 2.142e-04      2.864e-03
ncoef.17    5.701e-01 4.708e-02 1.669e-04      3.344e-03
ncoef.18    5.443e-01 5.631e-02 1.996e-04      3.030e-03
ncoef.19    5.466e-01 6.198e-02 2.197e-04      2.897e-03
ncoef.20    6.039e-01 5.214e-02 1.848e-04      3.154e-03
ncoef.21    5.151e-01 7.513e-02 2.663e-04      3.218e-03
ncoef.22    5.692e-01 5.232e-02 1.854e-04      3.223e-03
ncoef.23    5.334e-01 5.314e-02 1.883e-04      2.782e-03
ncoef.24    4.954e-01 6.442e-02 2.283e-04      3.102e-03
ncoef.25    5.320e-01 5.295e-02 1.877e-04      3.120e-03
ncoef.26    5.631e-01 5.627e-02 1.994e-04      3.153e-03
ncoef.27    5.384e-01 5.599e-02 1.984e-04      4.141e-03
ncoef.28    4.917e-01 6.333e-02 2.245e-04      2.803e-03
ncoef.29    5.120e-01 6.305e-02 2.235e-04      3.078e-03
ncoef.30    6.176e-01 5.002e-02 1.773e-04      3.084e-03
ncoef.31    4.939e-01 7.259e-02 2.573e-04      3.507e-03
ncoef.32    5.197e-01 6.162e-02 2.184e-04      3.018e-03
ncoef.33    5.285e-01 6.796e-02 2.409e-04      2.953e-03
ncoef.34    5.316e-01 5.233e-02 1.855e-04      3.266e-03
ncoef.35    5.632e-01 6.362e-02 2.255e-04      3.422e-03
ncoef.36    5.461e-01 5.406e-02 1.916e-04      3.095e-03
ncoef.37    5.234e-01 5.173e-02 1.834e-04      3.450e-03
ncoef.38    5.525e-01 6.469e-02 2.293e-04      2.839e-03
ncoef.39    5.139e-01 7.721e-02 2.736e-04      3.515e-03
ncoef.40    5.980e-01 5.464e-02 1.937e-04      3.577e-03
ncoef.41    5.221e-01 5.194e-02 1.841e-04      3.108e-03
ncoef.42    5.859e-01 5.862e-02 2.078e-04      3.426e-03
ncoef.43    4.928e-01 5.774e-02 2.047e-04      3.294e-03
ncoef.44    4.981e-01 5.428e-02 1.924e-04      2.955e-03
ncoef.45    5.325e-01 5.361e-02 1.900e-04      3.240e-03
ncoef.46    5.923e-01 5.568e-02 1.974e-04      3.147e-03
ncoef.47    5.599e-01 6.243e-02 2.213e-04      3.063e-03
ncoef.48    5.629e-01 6.184e-02 2.192e-04      3.002e-03
ncoef.49    5.301e-01 5.749e-02 2.038e-04      3.135e-03
ncoef.50    5.301e-01 5.264e-02 1.866e-04      3.746e-03
ncoef.51    5.378e-01 5.874e-02 2.082e-04      3.548e-03
Roffset.1   1.356e+00 1.186e+00 4.203e-03      2.311e-02
Roffset.2   1.492e-01 1.221e-01 4.329e-04      1.678e-03
Roffset.3   7.553e-01 7.265e-01 2.575e-03      1.068e-02
Roffset.4   5.128e-01 4.820e-01 1.708e-03      8.079e-03
Roffset.5   1.287e+00 8.437e-01 2.990e-03      1.913e-02
Roffset.6   5.468e-01 4.876e-01 1.728e-03      8.638e-03
Roffset.7   1.083e+00 6.817e-01 2.416e-03      1.850e-02
Roffset.8   1.665e+00 1.282e+00 4.542e-03      2.765e-02
Roffset.9   1.246e+00 1.083e+00 3.837e-03      2.229e-02
Roffset.10  9.869e-01 8.189e-01 2.903e-03      1.550e-02
Roffset.11  1.379e+00 1.263e+00 4.475e-03      2.887e-02
Roffset.12  2.385e-01 2.310e-01 8.188e-04      3.225e-03
Roffset.13  7.932e-01 6.985e-01 2.476e-03      1.064e-02
Roffset.14  1.947e+00 1.276e+00 4.521e-03      3.177e-02
Roffset.15  1.220e+00 5.057e-01 1.792e-03      8.389e-03
Roffset.16  2.060e+00 1.574e+00 5.578e-03      3.700e-02
Roffset.17  3.967e-01 3.768e-01 1.336e-03      5.421e-03
Roffset.18  7.140e-01 5.302e-01 1.879e-03      9.304e-03
Roffset.19  5.012e+00 1.309e+00 4.638e-03      2.336e-02
Roffset.20  1.178e-01 9.382e-02 3.325e-04      1.487e-03
Roffset.21  4.113e+00 1.995e+00 7.069e-03      6.114e-02
Roffset.22  4.759e-01 4.278e-01 1.516e-03      6.753e-03
Roffset.23  7.529e-01 6.412e-01 2.273e-03      1.246e-02
Roffset.24  1.674e+00 8.973e-01 3.180e-03      2.598e-02
Roffset.25  1.175e+00 1.129e+00 4.003e-03      2.078e-02
Roffset.26  1.311e+00 3.576e-01 1.267e-03      6.451e-03
Roffset.27  2.556e-01 2.254e-01 7.990e-04      3.071e-03
Roffset.28  1.945e+00 1.503e+00 5.326e-03      3.547e-02
Roffset.29  1.637e+00 1.270e+00 4.501e-03      2.846e-02
Roffset.30  1.262e-01 1.048e-01 3.713e-04      1.649e-03
Roffset.31  4.389e+00 3.075e+00 1.090e-02      1.065e-01
Roffset.32  8.615e-01 5.937e-01 2.104e-03      1.077e-02
Roffset.33  1.424e+01 2.285e+00 8.098e-03      4.577e-02
Roffset.34  6.032e-01 5.520e-01 1.957e-03      9.022e-03
Roffset.35  4.765e-01 4.114e-01 1.458e-03      4.772e-03
Roffset.36  5.773e-01 4.579e-01 1.623e-03      8.671e-03
Roffset.37  5.692e-01 5.286e-01 1.873e-03      8.753e-03
Roffset.38  1.014e+00 4.482e-01 1.588e-03      7.760e-03
Roffset.39  4.966e+00 1.932e+00 6.848e-03      5.843e-02
Roffset.40  2.790e-01 2.594e-01 9.193e-04      3.400e-03
Roffset.41  9.149e-01 8.837e-01 3.132e-03      1.621e-02
Roffset.42  3.615e-01 3.939e-01 1.396e-03      4.327e-03
Roffset.43  1.075e+00 9.450e-01 3.349e-03      1.954e-02
Roffset.44  1.203e+00 9.919e-01 3.516e-03      2.059e-02
Roffset.45  1.085e+00 3.914e-01 1.387e-03      6.195e-03
Roffset.46  1.135e-01 9.000e-02 3.190e-04      1.337e-03
Roffset.47  1.318e+00 8.405e-01 2.979e-03      1.745e-02
Roffset.48  9.583e-01 5.471e-01 1.939e-03      1.055e-02
Roffset.49  4.301e-01 3.283e-01 1.164e-03      5.506e-03
Roffset.50  4.493e-01 4.099e-01 1.453e-03      6.203e-03
Roffset.51  5.050e-01 4.694e-01 1.664e-03      6.524e-03
lnlike.1    1.441e-01 7.719e-01 2.736e-03      8.141e-03
lnlike.2   -1.029e+01 8.701e-01 3.084e-03      7.324e-03
lnlike.3   -2.067e+00 5.899e-01 2.091e-03      4.784e-03
lnlike.4   -8.998e-01 6.516e-01 2.310e-03      5.835e-03
lnlike.5   -2.226e-01 8.023e-01 2.843e-03      1.052e-02
lnlike.6   -7.187e-01 6.598e-01 2.338e-03      5.599e-03
lnlike.7   -1.047e+01 1.175e+00 4.165e-03      2.231e-02
lnlike.8   -8.222e-01 7.626e-01 2.703e-03      6.076e-03
lnlike.9   -5.705e+00 6.900e-01 2.446e-03      5.248e-03
lnlike.10   5.930e-01 7.052e-01 2.499e-03      5.984e-03
lnlike.11   7.329e-01 8.341e-01 2.956e-03      9.266e-03
lnlike.12  -4.358e+00 7.053e-01 2.500e-03      7.261e-03
lnlike.13  -1.644e+00 7.801e-01 2.765e-03      9.406e-03
lnlike.14  -1.130e+01 1.292e+00 4.581e-03      1.325e-02
