
Iterations = 101:20001
Thinning interval = 1 
Number of chains = 4 
Sample size per chain = 19901 

1. Empirical mean and standard deviation for each variable,
   plus standard error of the mean:

                 Mean        SD  Naive SE Time-series SE
lnlike.15  -3.311e+00 1.196e+00 4.240e-03      1.881e-02
lnlike.16  -1.406e+00 7.756e-01 2.749e-03      6.817e-03
lnlike.17  -9.316e-01 6.983e-01 2.475e-03      5.993e-03
lnlike.18  -2.925e+00 6.712e-01 2.379e-03      6.068e-03
lnlike.19  -1.297e+00 9.290e-01 3.293e-03      1.405e-02
lnlike.20  -4.424e+00 1.061e+00 3.762e-03      1.053e-02
lnlike.21  -8.152e-01 8.526e-01 3.022e-03      1.136e-02
lnlike.22  -5.636e+00 6.710e-01 2.378e-03      5.324e-03
lnlike.23  -2.721e+00 6.404e-01 2.270e-03      5.291e-03
lnlike.24  -4.200e+00 8.342e-01 2.957e-03      9.346e-03
lnlike.25  -1.678e+00 6.375e-01 2.259e-03      5.003e-03
lnlike.26  -4.607e+00 9.325e-01 3.305e-03      1.338e-02
lnlike.27  -3.252e+00 7.661e-01 2.715e-03      9.616e-03
lnlike.28  -8.740e-01 8.865e-01 3.142e-03      9.145e-03
lnlike.29   1.252e+00 8.001e-01 2.836e-03      7.057e-03
lnlike.30  -2.815e+00 1.228e+00 4.351e-03      1.517e-02
lnlike.31   1.340e+00 8.861e-01 3.141e-03      8.557e-03
lnlike.32  -3.941e+00 6.881e-01 2.439e-03      5.370e-03
lnlike.33  -1.027e+00 7.594e-01 2.692e-03      9.495e-03
lnlike.34  -2.437e+00 6.544e-01 2.320e-03      6.160e-03
lnlike.35  -1.562e+01 6.929e-01 2.456e-03      6.854e-03
lnlike.36  -5.932e+00 6.873e-01 2.436e-03      5.576e-03
lnlike.37  -3.099e+00 7.197e-01 2.551e-03      8.101e-03
lnlike.38  -3.271e+00 9.371e-01 3.321e-03      1.385e-02
lnlike.39  -8.604e-01 8.132e-01 2.882e-03      1.033e-02
lnlike.40  -1.347e+00 9.396e-01 3.330e-03      9.278e-03
lnlike.41  -4.692e-01 7.106e-01 2.519e-03      6.460e-03
lnlike.42  -4.133e+00 9.372e-01 3.322e-03      8.158e-03
lnlike.43  -5.353e-01 9.022e-01 3.198e-03      1.257e-02
lnlike.44   1.910e-01 8.279e-01 2.934e-03      9.124e-03
lnlike.45  -2.638e+00 9.039e-01 3.204e-03      1.045e-02
lnlike.46  -6.830e+00 1.012e+00 3.585e-03      8.375e-03
lnlike.47  -6.437e+00 1.074e+00 3.805e-03      1.826e-02
lnlike.48  -6.083e+00 1.048e+00 3.713e-03      1.629e-02
lnlike.49  -2.931e+00 6.441e-01 2.283e-03      5.801e-03
lnlike.50  -5.527e+00 7.518e-01 2.664e-03      9.905e-03
lnlike.51  -3.200e+00 5.334e-01 1.890e-03      4.967e-03
lnprior    -2.723e+00 6.348e-01 2.250e-03      7.160e-02
lnpopprior -8.077e+01 1.494e+01 5.295e-02      5.021e-01
lnlike     -1.615e+02 7.012e+00 2.485e-02      1.414e-01
lnpost     -2.450e+02 1.489e+01 5.277e-02      5.139e-01

2. Quantiles for each variable:

                 2.5%        25%        50%        75%      97.5%
iter        5.970e+02 5075.00000  1.005e+04  1.502e+04  1.950e+04
sig2err     5.561e-02    0.06538  7.089e-02  7.708e-02  9.021e-02
ncoef.1     4.458e-01    0.49556  5.272e-01  5.632e-01  6.422e-01
ncoef.2     4.710e-01    0.53597  5.758e-01  6.162e-01  7.028e-01
ncoef.3     4.496e-01    0.50603  5.419e-01  5.799e-01  6.634e-01
ncoef.4     4.547e-01    0.50848  5.416e-01  5.780e-01  6.561e-01
ncoef.5     4.213e-01    0.48491  5.268e-01  5.712e-01  6.670e-01
ncoef.6     4.588e-01    0.50916  5.401e-01  5.751e-01  6.586e-01
ncoef.7     4.616e-01    0.52345  5.618e-01  6.039e-01  6.936e-01
ncoef.8     3.970e-01    0.46030  5.018e-01  5.475e-01  6.443e-01
ncoef.9     4.244e-01    0.48091  5.165e-01  5.587e-01  6.497e-01
ncoef.10    4.316e-01    0.49094  5.277e-01  5.691e-01  6.563e-01
ncoef.11    4.069e-01    0.45958  4.961e-01  5.364e-01  6.197e-01
ncoef.12    4.439e-01    0.51110  5.497e-01  5.889e-01  6.745e-01
ncoef.13    4.737e-01    0.53072  5.647e-01  6.017e-01  6.821e-01
ncoef.14    4.104e-01    0.47637  5.198e-01  5.664e-01  6.658e-01
ncoef.15    4.654e-01    0.53195  5.694e-01  6.100e-01  6.952e-01
ncoef.16    4.052e-01    0.46589  5.056e-01  5.487e-01  6.391e-01
ncoef.17    4.863e-01    0.53728  5.674e-01  6.008e-01  6.685e-01
ncoef.18    4.455e-01    0.50380  5.401e-01  5.802e-01  6.650e-01
ncoef.19    4.315e-01    0.50349  5.437e-01  5.877e-01  6.732e-01
ncoef.20    5.110e-01    0.56717  6.003e-01  6.369e-01  7.147e-01
ncoef.21    3.757e-01    0.46217  5.154e-01  5.665e-01  6.635e-01
ncoef.22    4.773e-01    0.53207  5.654e-01  6.026e-01  6.823e-01
ncoef.23    4.434e-01    0.49578  5.282e-01  5.662e-01  6.512e-01
ncoef.24    3.815e-01    0.44910  4.934e-01  5.373e-01  6.300e-01
ncoef.25    4.399e-01    0.49351  5.275e-01  5.662e-01  6.474e-01
ncoef.26    4.594e-01    0.52364  5.605e-01  5.995e-01  6.806e-01
ncoef.27    4.391e-01    0.49853  5.352e-01  5.752e-01  6.576e-01
ncoef.28    3.840e-01    0.44489  4.864e-01  5.341e-01  6.247e-01
ncoef.29    4.023e-01    0.46658  5.066e-01  5.530e-01  6.460e-01
ncoef.30    5.268e-01    0.58268  6.151e-01  6.494e-01  7.245e-01
ncoef.31    3.749e-01    0.43648  4.893e-01  5.448e-01  6.417e-01
ncoef.32    4.116e-01    0.47552  5.159e-01  5.594e-01  6.506e-01
ncoef.33    4.010e-01    0.48208  5.270e-01  5.729e-01  6.671e-01
ncoef.34    4.410e-01    0.49385  5.275e-01  5.653e-01  6.420e-01
ncoef.35    4.453e-01    0.51859  5.610e-01  6.051e-01  6.941e-01
ncoef.36    4.540e-01    0.50671  5.415e-01  5.801e-01  6.624e-01
ncoef.37    4.339e-01    0.48627  5.193e-01  5.561e-01  6.342e-01
ncoef.38    4.337e-01    0.50731  5.499e-01  5.950e-01  6.853e-01
ncoef.39    3.616e-01    0.46267  5.158e-01  5.666e-01  6.632e-01
ncoef.40    4.995e-01    0.55887  5.950e-01  6.329e-01  7.140e-01
ncoef.41    4.340e-01    0.48479  5.168e-01  5.552e-01  6.357e-01
ncoef.42    4.771e-01    0.54537  5.833e-01  6.240e-01  7.096e-01
ncoef.43    3.927e-01    0.45023  4.888e-01  5.309e-01  6.118e-01
ncoef.44    4.036e-01    0.45849  4.949e-01  5.333e-01  6.132e-01
ncoef.45    4.363e-01    0.49477  5.301e-01  5.681e-01  6.427e-01
ncoef.46    4.908e-01    0.55324  5.895e-01  6.280e-01  7.100e-01
ncoef.47    4.526e-01    0.51524  5.546e-01  5.998e-01  6.956e-01
ncoef.48    4.549e-01    0.51885  5.590e-01  6.023e-01  6.961e-01
ncoef.49    4.271e-01    0.48992  5.268e-01  5.670e-01  6.517e-01
ncoef.50    4.366e-01    0.49252  5.262e-01  5.645e-01  6.408e-01
ncoef.51    4.306e-01    0.49671  5.352e-01  5.755e-01  6.603e-01
Roffset.1   2.451e-02    0.37472  1.045e+00  2.059e+00  4.177e+00
Roffset.2   6.640e-03    0.05704  1.186e-01  2.103e-01  4.609e-01
Roffset.3   1.341e-02    0.19611  5.262e-01  1.111e+00  2.657e+00
Roffset.4   1.181e-02    0.14586  3.654e-01  7.442e-01  1.789e+00
Roffset.5   3.514e-02    0.57550  1.238e+00  1.903e+00  2.996e+00
Roffset.6   1.345e-02    0.16238  4.045e-01  8.025e-01  1.779e+00
Roffset.7   3.220e-02    0.51697  1.051e+00  1.589e+00  2.455e+00
Roffset.8   2.920e-02    0.53566  1.461e+00  2.596e+00  4.436e+00
Roffset.9   1.851e-02    0.33139  9.646e-01  1.926e+00  3.796e+00
Roffset.10  2.170e-02    0.30552  7.904e-01  1.497e+00  2.904e+00
Roffset.11  2.090e-02    0.32724  9.797e-01  2.181e+00  4.394e+00
Roffset.12  8.360e-03    0.07421  1.686e-01  3.306e-01  8.600e-01
Roffset.13  1.717e-02    0.23182  5.987e-01  1.178e+00  2.539e+00
Roffset.14  4.222e-02    0.83640  1.909e+00  2.900e+00  4.424e+00
Roffset.15  2.439e-01    0.87501  1.206e+00  1.556e+00  2.235e+00
Roffset.16  3.511e-02    0.66629  1.821e+00  3.207e+00  5.405e+00
Roffset.17  1.081e-02    0.11715  2.779e-01  5.651e-01  1.392e+00
Roffset.18  1.826e-02    0.26964  6.286e-01  1.060e+00  1.928e+00
Roffset.19  2.583e+00    4.10238  4.972e+00  5.865e+00  7.695e+00
Roffset.20  5.663e-03    0.04588  9.515e-02  1.678e-01  3.507e-01
Roffset.21  1.232e-01    2.76118  4.418e+00  5.565e+00  7.455e+00
Roffset.22  1.172e-02    0.14437  3.526e-01  6.888e-01  1.569e+00
Roffset.23  1.606e-02    0.22430  5.832e-01  1.138e+00  2.291e+00
Roffset.24  8.620e-02    0.98743  1.687e+00  2.330e+00  3.384e+00
Roffset.25  1.941e-02    0.27781  8.022e-01  1.776e+00  4.039e+00
Roffset.26  6.471e-01    1.06367  1.304e+00  1.544e+00  2.028e+00
Roffset.27  8.691e-03    0.08586  1.929e-01  3.599e-01  8.420e-01
Roffset.28  3.369e-02    0.58502  1.727e+00  3.039e+00  5.104e+00
Roffset.29  2.953e-02    0.52279  1.427e+00  2.524e+00  4.445e+00
Roffset.30  5.526e-03    0.04696  9.941e-02  1.769e-01  3.920e-01
Roffset.31  4.765e-02    1.36180  4.507e+00  6.860e+00  1.003e+01
Roffset.32  2.635e-02    0.36254  7.980e-01  1.264e+00  2.161e+00
Roffset.33  9.589e+00   12.82090  1.428e+01  1.575e+01  1.858e+01
Roffset.34  1.459e-02    0.17297  4.352e-01  8.832e-01  2.004e+00
Roffset.35  1.487e-02    0.16117  3.726e-01  6.823e-01  1.517e+00
Roffset.36  1.435e-02    0.20025  4.750e-01  8.615e-01  1.665e+00
Roffset.37  1.338e-02    0.16104  4.075e-01  8.361e-01  1.917e+00
Roffset.38  1.309e-01    0.71208  1.018e+00  1.313e+00  1.898e+00
Roffset.39  2.856e-01    3.99441  5.258e+00  6.303e+00  8.133e+00
Roffset.40  9.086e-03    0.08694  2.009e-01  3.886e-01  9.646e-01
Roffset.41  1.760e-02    0.22538  6.211e-01  1.359e+00  3.162e+00
Roffset.42  9.240e-03    0.09697  2.340e-01  4.826e-01  1.455e+00
Roffset.43  2.091e-02    0.28851  8.166e-01  1.639e+00  3.356e+00
Roffset.44  2.575e-02    0.36964  9.682e-01  1.818e+00  3.546e+00
Roffset.45  3.909e-01    0.81090  1.057e+00  1.327e+00  1.931e+00
Roffset.46  5.521e-03    0.04490  9.154e-02  1.597e-01  3.379e-01
Roffset.47  3.974e-02    0.62758  1.265e+00  1.924e+00  3.038e+00
Roffset.48  4.698e-02    0.53750  9.400e-01  1.334e+00  2.070e+00
Roffset.49  1.350e-02    0.16466  3.644e-01  6.308e-01  1.215e+00
Roffset.50  1.274e-02    0.13647  3.292e-01  6.509e-01  1.501e+00
Roffset.51  1.282e-02    0.14955  3.688e-01  7.250e-01  1.720e+00
lnlike.1   -1.855e+00   -0.16149  2.843e-01  6.475e-01  1.168e+00
lnlike.2   -1.265e+01  -10.61691 -1.007e+01 -9.728e+00 -9.252e+00
lnlike.3   -3.720e+00   -2.21447 -1.886e+00 -1.709e+00 -1.493e+00
lnlike.4   -2.682e+00   -1.09624 -7.129e-01 -4.852e-01 -2.164e-01
lnlike.5   -2.276e+00   -0.56008 -9.687e-02  3.155e-01  9.008e-01
lnlike.6   -2.485e+00   -0.93016 -5.585e-01 -3.065e-01  5.913e-02
lnlike.7   -1.299e+01  -11.20588 -1.038e+01 -9.614e+00 -8.504e+00
lnlike.8   -2.937e+00   -1.02920 -5.915e-01 -3.506e-01 -4.560e-02
lnlike.9   -7.634e+00   -5.87277 -5.466e+00 -5.285e+00 -5.082e+00
lnlike.10  -1.288e+00    0.34385  7.427e-01  1.037e+00  1.508e+00
lnlike.11  -1.471e+00    0.42045  9.104e-01  1.275e+00  1.798e+00
lnlike.12  -6.224e+00   -4.63317 -4.175e+00 -3.870e+00 -3.585e+00
lnlike.13  -3.521e+00   -1.97203 -1.609e+00 -1.158e+00 -3.464e-01
lnlike.14  -1.420e+01  -12.06982 -1.117e+01 -1.039e+01 -9.163e+00
lnlike.15  -6.421e+00   -3.87740 -3.034e+00 -2.450e+00 -1.809e+00
lnlike.16  -3.558e+00   -1.63094 -1.203e+00 -9.273e-01 -5.286e-01
lnlike.17  -2.883e+00   -1.12287 -7.171e-01 -4.942e-01 -2.409e-01
lnlike.18  -4.756e+00   -3.12322 -2.765e+00 -2.488e+00 -2.212e+00
lnlike.19  -3.754e+00   -1.64993 -1.061e+00 -6.755e-01 -2.194e-01
lnlike.20  -7.252e+00   -4.86132 -4.077e+00 -3.635e+00 -3.432e+00
lnlike.21  -3.147e+00   -1.08592 -5.960e-01 -2.636e-01  1.106e-01
lnlike.22  -7.502e+00   -5.81050 -5.443e+00 -5.228e+00 -4.937e+00
lnlike.23  -4.538e+00   -2.87616 -2.486e+00 -2.324e+00 -2.192e+00
lnlike.24  -6.377e+00   -4.52902 -3.982e+00 -3.621e+00 -3.308e+00
lnlike.25  -3.475e+00   -1.84411 -1.485e+00 -1.288e+00 -1.023e+00
lnlike.26  -7.097e+00   -4.98443 -4.345e+00 -3.952e+00 -3.596e+00
lnlike.27  -5.179e+00   -3.59758 -3.069e+00 -2.714e+00 -2.323e+00
lnlike.28  -3.231e+00   -1.19896 -6.844e-01 -2.979e-01  2.349e-01
lnlike.29  -8.872e-01    0.96928  1.430e+00  1.758e+00  2.267e+00
lnlike.30  -6.017e+00   -3.35290 -2.440e+00 -1.900e+00 -1.570e+00
lnlike.31  -1.022e+00    1.04277  1.550e+00  1.897e+00  2.432e+00
lnlike.32  -5.882e+00   -4.11449 -3.705e+00 -3.504e+00 -3.357e+00
lnlike.33  -3.195e+00   -1.19823 -7.590e-01 -5.623e-01 -4.076e-01
lnlike.34  -4.242e+00   -2.63269 -2.243e+00 -2.009e+00 -1.797e+00
lnlike.35  -1.722e+01  -15.97898 -1.556e+01 -1.518e+01 -1.448e+01
lnlike.36  -7.767e+00   -6.17723 -5.769e+00 -5.489e+00 -5.111e+00
lnlike.37  -5.013e+00   -3.37647 -2.915e+00 -2.607e+00 -2.297e+00
lnlike.38  -5.496e+00   -3.73770 -3.082e+00 -2.611e+00 -1.983e+00
lnlike.39  -3.173e+00   -1.08140 -6.135e-01 -3.515e-01 -7.292e-02
lnlike.40  -3.869e+00   -1.72845 -1.035e+00 -6.922e-01 -3.844e-01
lnlike.41  -2.380e+00   -0.69180 -2.922e-01 -2.431e-02  3.479e-01
lnlike.42  -6.444e+00   -4.62273 -3.932e+00 -3.433e+00 -2.936e+00
lnlike.43  -2.797e+00   -0.96477 -3.653e-01  1.017e-01  6.604e-01
lnlike.44  -1.947e+00   -0.15794  3.807e-01  7.479e-01  1.228e+00
lnlike.45  -5.031e+00   -2.98186 -2.383e+00 -2.027e+00 -1.636e+00
lnlike.46  -9.496e+00   -7.24593 -6.509e+00 -6.081e+00 -5.884e+00
lnlike.47  -8.746e+00   -7.12573 -6.350e+00 -5.650e+00 -4.676e+00
lnlike.48  -8.417e+00   -6.73423 -5.964e+00 -5.319e+00 -4.409e+00
lnlike.49  -4.678e+00   -3.14071 -2.755e+00 -2.507e+00 -2.258e+00
lnlike.50  -7.439e+00   -5.84915 -5.353e+00 -5.012e+00 -4.593e+00
lnlike.51  -4.651e+00   -3.36195 -3.058e+00 -2.862e+00 -2.646e+00
lnprior    -4.411e+00   -3.01600 -2.470e+00 -2.238e+00 -2.172e+00
lnpopprior -1.093e+02  -90.24466 -8.120e+01 -7.194e+01 -4.942e+01
lnlike     -1.759e+02 -166.02757 -1.612e+02 -1.566e+02 -1.486e+02
lnpost     -2.750e+02 -254.08643 -2.446e+02 -2.356e+02 -2.158e+02

