
Iterations = 101:2001
Thinning interval = 1 
Number of chains = 4 
Sample size per chain = 1901 

1. Empirical mean and standard deviation for each variable,
   plus standard error of the mean:

                 Mean        SD  Naive SE Time-series SE
iter       1050.00000 548.80744 6.2935971      0.0000000
sig2err       0.08834   0.01059 0.0001214      0.0003552
ncoef.1       0.40000   0.00000 0.0000000      0.0000000
ncoef.2       0.40000   0.00000 0.0000000      0.0000000
ncoef.3       0.40000   0.00000 0.0000000      0.0000000
ncoef.4       0.40000   0.00000 0.0000000      0.0000000
ncoef.5       0.40000   0.00000 0.0000000      0.0000000
ncoef.6       0.40000   0.00000 0.0000000      0.0000000
ncoef.7       0.40000   0.00000 0.0000000      0.0000000
ncoef.8       0.40000   0.00000 0.0000000      0.0000000
ncoef.9       0.40000   0.00000 0.0000000      0.0000000
ncoef.10      0.40000   0.00000 0.0000000      0.0000000
ncoef.11      0.40000   0.00000 0.0000000      0.0000000
ncoef.12      0.40000   0.00000 0.0000000      0.0000000
ncoef.13      0.40000   0.00000 0.0000000      0.0000000
ncoef.14      0.40000   0.00000 0.0000000      0.0000000
ncoef.15      0.40000   0.00000 0.0000000      0.0000000
ncoef.16      0.40000   0.00000 0.0000000      0.0000000
ncoef.17      0.40000   0.00000 0.0000000      0.0000000
ncoef.18      0.40000   0.00000 0.0000000      0.0000000
ncoef.19      0.40000   0.00000 0.0000000      0.0000000
ncoef.20      0.40000   0.00000 0.0000000      0.0000000
ncoef.21      0.40000   0.00000 0.0000000      0.0000000
ncoef.22      0.40000   0.00000 0.0000000      0.0000000
ncoef.23      0.40000   0.00000 0.0000000      0.0000000
ncoef.24      0.40000   0.00000 0.0000000      0.0000000
ncoef.25      0.40000   0.00000 0.0000000      0.0000000
ncoef.26      0.40000   0.00000 0.0000000      0.0000000
ncoef.27      0.40000   0.00000 0.0000000      0.0000000
ncoef.28      0.40000   0.00000 0.0000000      0.0000000
ncoef.29      0.40000   0.00000 0.0000000      0.0000000
ncoef.30      0.40000   0.00000 0.0000000      0.0000000
ncoef.31      0.40000   0.00000 0.0000000      0.0000000
ncoef.32      0.40000   0.00000 0.0000000      0.0000000
ncoef.33      0.40000   0.00000 0.0000000      0.0000000
ncoef.34      0.40000   0.00000 0.0000000      0.0000000
ncoef.35      0.40000   0.00000 0.0000000      0.0000000
ncoef.36      0.40000   0.00000 0.0000000      0.0000000
ncoef.37      0.40000   0.00000 0.0000000      0.0000000
ncoef.38      0.40000   0.00000 0.0000000      0.0000000
ncoef.39      0.40000   0.00000 0.0000000      0.0000000
ncoef.40      0.40000   0.00000 0.0000000      0.0000000
ncoef.41      0.40000   0.00000 0.0000000      0.0000000
ncoef.42      0.40000   0.00000 0.0000000      0.0000000
ncoef.43      0.40000   0.00000 0.0000000      0.0000000
ncoef.44      0.40000   0.00000 0.0000000      0.0000000
ncoef.45      0.40000   0.00000 0.0000000      0.0000000
ncoef.46      0.40000   0.00000 0.0000000      0.0000000
ncoef.47      0.40000   0.00000 0.0000000      0.0000000
ncoef.48      0.40000   0.00000 0.0000000      0.0000000
ncoef.49      0.40000   0.00000 0.0000000      0.0000000
ncoef.50      0.40000   0.00000 0.0000000      0.0000000
ncoef.51      0.40000   0.00000 0.0000000      0.0000000
Roffset.1     1.37911   0.93517 0.0107243      0.0299599
Roffset.2     0.13690   0.11932 0.0013683      0.0038577
Roffset.3     0.55997   0.53313 0.0061138      0.0163056
Roffset.4     0.36871   0.34423 0.0039476      0.0110526
Roffset.5     1.34324   0.58680 0.0067293      0.0200660
Roffset.6     0.25710   0.24526 0.0028126      0.0061094
Roffset.7     0.38926   0.31781 0.0036445      0.0111820
Roffset.8     2.18000   0.89706 0.0102872      0.0280053
Roffset.9     1.09418   0.78551 0.0090080      0.0291975
Roffset.10    1.10336   0.66321 0.0076056      0.0243183
Roffset.11    2.12382   1.02207 0.0117209      0.0324623
Roffset.12    0.19910   0.19628 0.0022509      0.0049928
Roffset.13    0.38712   0.39096 0.0044834      0.0113186
Roffset.14    1.92293   0.83942 0.0096263      0.0281361
Roffset.15    0.69481   0.37268 0.0042738      0.0111642
Roffset.16    2.53939   1.07976 0.0123825      0.0385523
Roffset.17    0.18013   0.18073 0.0020726      0.0048595
Roffset.18    0.50108   0.36631 0.0042007      0.0104732
Roffset.19    4.90052   1.04818 0.0120203      0.0426544
Roffset.20    0.06510   0.05900 0.0006766      0.0017033
Roffset.21    4.50701   1.13596 0.0130270      0.0408758
Roffset.22    0.20755   0.20660 0.0023692      0.0057322
Roffset.23    0.31472   0.28934 0.0033181      0.0092019
Roffset.24    2.21638   0.50476 0.0057884      0.0210142
Roffset.25    0.96959   0.82618 0.0094745      0.0276393
Roffset.26    0.96433   0.28829 0.0033060      0.0099858
Roffset.27    0.25221   0.21970 0.0025195      0.0067769
Roffset.28    3.11030   0.94198 0.0108024      0.0285314
Roffset.29    2.37891   0.92436 0.0106003      0.0309210
Roffset.30    0.06652   0.05947 0.0006820      0.0017016
Roffset.31    5.80213   1.45631 0.0167006      0.0509147
Roffset.32    1.10963   0.47424 0.0054385      0.0151121
Roffset.33   13.95134   1.94810 0.0223404      0.0786138
Roffset.34    0.48956   0.43005 0.0049317      0.0142077
Roffset.35    0.41329   0.37772 0.0043316      0.0094564
Roffset.36    0.28331   0.24719 0.0028347      0.0076154
Roffset.37    0.60281   0.46511 0.0053337      0.0177940
Roffset.38    0.87032   0.34747 0.0039847      0.0104801
Roffset.39    5.31735   1.10447 0.0126658      0.0446337
Roffset.40    0.17164   0.17038 0.0019539      0.0043504
Roffset.41    0.92707   0.72735 0.0083410      0.0255598
Roffset.42    0.31119   0.34691 0.0039783      0.0088418
Roffset.43    2.14552   0.79864 0.0091586      0.0287338
Roffset.44    2.02241   0.77548 0.0088931      0.0274643
Roffset.45    1.09711   0.31696 0.0036348      0.0106861
Roffset.46    0.07394   0.06256 0.0007174      0.0015859
Roffset.47    0.58776   0.48827 0.0055994      0.0144577
Roffset.48    0.48942   0.35944 0.0041220      0.0112889
Roffset.49    0.43289   0.28694 0.0032905      0.0087566
Roffset.50    0.44326   0.37898 0.0043460      0.0117237
Roffset.51    0.44077   0.41463 0.0047549      0.0109507
lnlike.1     -0.26986   0.82461 0.0094564      0.0264390
lnlike.2    -10.37967   0.73997 0.0084857      0.0211126
lnlike.3     -2.44733   0.34262 0.0039291      0.0078744
lnlike.4     -0.86780   0.41804 0.0047940      0.0100464
lnlike.5     -0.80761   0.92862 0.0106492      0.0336678
lnlike.6     -1.09270   0.53868 0.0061774      0.0136472
lnlike.7    -11.15951   0.66400 0.0076146      0.0183442
lnlike.8     -1.37172   1.02188 0.0117187      0.0368824
lnlike.9     -5.64501   0.67081 0.0076927      0.0198502
lnlike.10     0.27280   0.82016 0.0094054      0.0285983
lnlike.11    -0.21505   0.99428 0.0114022      0.0318324
lnlike.12    -4.09782   0.59907 0.0068700      0.0143966
lnlike.13    -2.69148   0.46676 0.0053527      0.0156144
lnlike.14    -9.60912   1.18077 0.0135408      0.0369920
lnlike.15    -4.32927   0.76469 0.0087692      0.0276457
lnlike.16    -1.80210   0.97428 0.0111728      0.0351243
lnlike.17    -2.67364   0.85546 0.0098102      0.0383609
lnlike.18    -3.01804   0.47461 0.0054427      0.0122012
lnlike.19    -1.57894   0.76645 0.0087895      0.0331359
lnlike.20    -9.03592   1.05611 0.0121112      0.0355612
lnlike.21    -1.00953   0.91676 0.0105132      0.0375774
lnlike.22    -5.90375   0.62374 0.0071529      0.0188403
lnlike.23    -2.63784   0.34546 0.0039617      0.0077939
lnlike.24    -4.51510   0.76896 0.0088182      0.0320641
lnlike.25    -2.04833   0.47329 0.0054276      0.0126701
lnlike.26    -5.63287   0.84449 0.0096844      0.0347312
lnlike.27    -3.83754   0.50584 0.0058009      0.0226381
lnlike.28    -1.71878   0.94227 0.0108058      0.0309290
lnlike.29     0.58770   0.98590 0.0113061      0.0367396
lnlike.30   -10.34475   1.24164 0.0142388      0.0504380
lnlike.31     0.81764   0.90237 0.0103482      0.0354130
lnlike.32    -4.15243   0.85469 0.0098014      0.0284505
lnlike.33    -1.15211   0.81109 0.0093014      0.0389275
lnlike.34    -2.37694   0.42073 0.0048248      0.0110689
lnlike.35   -14.40531   0.52138 0.0059791      0.0133564
lnlike.36    -5.35664   0.41949 0.0048106      0.0104273
lnlike.37    -3.56769   0.51814 0.0059419      0.0148642
lnlike.38    -3.66879   0.79184 0.0090806      0.0288314
lnlike.39    -1.06615   0.80889 0.0092762      0.0325327
lnlike.40    -3.52229   0.83981 0.0096308      0.0337150
lnlike.41    -1.07459   0.60874 0.0069809      0.0170706
lnlike.42    -5.34937   0.52359 0.0060044      0.0148031
lnlike.43    -1.80419   0.95948 0.0110031      0.0372988
lnlike.44    -0.56224   0.87892 0.0100792      0.0282651
lnlike.45    -2.79456   0.74573 0.0085519      0.0250212
lnlike.46    -9.25709   0.89272 0.0102375      0.0230065
lnlike.47    -6.29127   0.48103 0.0055164      0.0128666
lnlike.48    -6.25506   0.54627 0.0062646      0.0147880
lnlike.49    -3.23005   0.50465 0.0057873      0.0133491
lnlike.50    -5.88267   0.52388 0.0060077      0.0262554
lnlike.51    -3.32679   0.32863 0.0037687      0.0080697
lnprior      -7.11193   1.12952 0.0129531      0.0897913
lnpopprior  -97.57555   7.90753 0.0906817      0.5561605
lnlike     -194.15918   6.96032 0.0798194      0.3504309
lnpost     -298.84665  10.49661 0.1203727      0.9111244

2. Quantiles for each variable:

                 2.5%        25%        50%        75%     97.5%
iter        1.470e+02  575.00000 1050.00000 1525.00000 1953.0000
sig2err     6.930e-02    0.08072    0.08789    0.09488    0.1106
ncoef.1     4.000e-01    0.40000    0.40000    0.40000    0.4000
ncoef.2     4.000e-01    0.40000    0.40000    0.40000    0.4000
ncoef.3     4.000e-01    0.40000    0.40000    0.40000    0.4000
ncoef.4     4.000e-01    0.40000    0.40000    0.40000    0.4000
ncoef.5     4.000e-01    0.40000    0.40000    0.40000    0.4000
ncoef.6     4.000e-01    0.40000    0.40000    0.40000    0.4000
ncoef.7     4.000e-01    0.40000    0.40000    0.40000    0.4000
ncoef.8     4.000e-01    0.40000    0.40000    0.40000    0.4000
ncoef.9     4.000e-01    0.40000    0.40000    0.40000    0.4000
ncoef.10    4.000e-01    0.40000    0.40000    0.40000    0.4000
ncoef.11    4.000e-01    0.40000    0.40000    0.40000    0.4000
ncoef.12    4.000e-01    0.40000    0.40000    0.40000    0.4000
ncoef.13    4.000e-01    0.40000    0.40000    0.40000    0.4000
ncoef.14    4.000e-01    0.40000    0.40000    0.40000    0.4000
ncoef.15    4.000e-01    0.40000    0.40000    0.40000    0.4000
ncoef.16    4.000e-01    0.40000    0.40000    0.40000    0.4000
ncoef.17    4.000e-01    0.40000    0.40000    0.40000    0.4000
ncoef.18    4.000e-01    0.40000    0.40000    0.40000    0.4000
ncoef.19    4.000e-01    0.40000    0.40000    0.40000    0.4000
ncoef.20    4.000e-01    0.40000    0.40000    0.40000    0.4000
ncoef.21    4.000e-01    0.40000    0.40000    0.40000    0.4000
ncoef.22    4.000e-01    0.40000    0.40000    0.40000    0.4000
ncoef.23    4.000e-01    0.40000    0.40000    0.40000    0.4000
ncoef.24    4.000e-01    0.40000    0.40000    0.40000    0.4000
ncoef.25    4.000e-01    0.40000    0.40000    0.40000    0.4000
ncoef.26    4.000e-01    0.40000    0.40000    0.40000    0.4000
ncoef.27    4.000e-01    0.40000    0.40000    0.40000    0.4000
ncoef.28    4.000e-01    0.40000    0.40000    0.40000    0.4000
ncoef.29    4.000e-01    0.40000    0.40000    0.40000    0.4000
ncoef.30    4.000e-01    0.40000    0.40000    0.40000    0.4000
ncoef.31    4.000e-01    0.40000    0.40000    0.40000    0.4000
ncoef.32    4.000e-01    0.40000    0.40000    0.40000    0.4000
ncoef.33    4.000e-01    0.40000    0.40000    0.40000    0.4000
ncoef.34    4.000e-01    0.40000    0.40000    0.40000    0.4000
ncoef.35    4.000e-01    0.40000    0.40000    0.40000    0.4000
ncoef.36    4.000e-01    0.40000    0.40000    0.40000    0.4000
ncoef.37    4.000e-01    0.40000    0.40000    0.40000    0.4000
ncoef.38    4.000e-01    0.40000    0.40000    0.40000    0.4000
ncoef.39    4.000e-01    0.40000    0.40000    0.40000    0.4000
ncoef.40    4.000e-01    0.40000    0.40000    0.40000    0.4000
ncoef.41    4.000e-01    0.40000    0.40000    0.40000    0.4000
ncoef.42    4.000e-01    0.40000    0.40000    0.40000    0.4000
ncoef.43    4.000e-01    0.40000    0.40000    0.40000    0.4000
ncoef.44    4.000e-01    0.40000    0.40000    0.40000    0.4000
ncoef.45    4.000e-01    0.40000    0.40000    0.40000    0.4000
ncoef.46    4.000e-01    0.40000    0.40000    0.40000    0.4000
ncoef.47    4.000e-01    0.40000    0.40000    0.40000    0.4000
ncoef.48    4.000e-01    0.40000    0.40000    0.40000    0.4000
ncoef.49    4.000e-01    0.40000    0.40000    0.40000    0.4000
ncoef.50    4.000e-01    0.40000    0.40000    0.40000    0.4000
ncoef.51    4.000e-01    0.40000    0.40000    0.40000    0.4000
Roffset.1   4.308e-02    0.63628    1.29885    1.97150    3.4958
Roffset.2   5.987e-03    0.04782    0.10363    0.19181    0.4516
Roffset.3   1.996e-02    0.15848    0.39558    0.81435    1.9754
Roffset.4   1.088e-02    0.10692    0.26733    0.52675    1.2710
Roffset.5   2.796e-01    0.92952    1.32667    1.70182    2.5948
Roffset.6   7.491e-03    0.07346    0.18919    0.36167    0.9071
Roffset.7   9.375e-03    0.14120    0.31049    0.55226    1.1328
Roffset.8   4.889e-01    1.58348    2.14289    2.77851    4.0872
Roffset.9   3.299e-02    0.45701    0.97598    1.59181    2.9241
Roffset.10  5.924e-02    0.59533    1.05416    1.54451    2.4858
Roffset.11  2.868e-01    1.38307    2.06960    2.76315    4.2542
Roffset.12  6.969e-03    0.05908    0.13542    0.28004    0.7084
Roffset.13  1.413e-02    0.10673    0.26201    0.55150    1.4173
Roffset.14  3.312e-01    1.35760    1.90875    2.47019    3.7411
Roffset.15  7.634e-02    0.42004    0.66425    0.93112    1.5070
Roffset.16  5.945e-01    1.80590    2.47625    3.21144    4.8721
Roffset.17  7.822e-03    0.05221    0.12399    0.24581    0.6784
Roffset.18  1.877e-02    0.21254    0.44282    0.71475    1.3626
Roffset.19  3.087e+00    4.13560    4.83120    5.50552    7.2799
Roffset.20  2.397e-03    0.02256    0.04868    0.09042    0.2276
Roffset.21  2.367e+00    3.73649    4.42535    5.20907    6.8905
Roffset.22  7.481e-03    0.06413    0.14660    0.28047    0.7600
Roffset.23  1.008e-02    0.09642    0.22902    0.45075    1.0896
Roffset.24  1.268e+00    1.86215    2.20304    2.54487    3.1902
Roffset.25  2.347e-02    0.29685    0.78048    1.44439    3.0514
Roffset.26  4.239e-01    0.76498    0.96384    1.14718    1.5337
Roffset.27  8.939e-03    0.08597    0.19402    0.35110    0.8237
Roffset.28  1.348e+00    2.52277    3.07502    3.71885    5.0415
Roffset.29  6.277e-01    1.73360    2.37465    2.98179    4.3368
Roffset.30  3.012e-03    0.02339    0.05032    0.09274    0.2260
Roffset.31  3.091e+00    4.82335    5.71461    6.78912    8.7688
Roffset.32  2.566e-01    0.77662    1.08014    1.43646    2.0935
Roffset.33  1.015e+01   12.63781   13.86990   15.15003   18.0142
Roffset.34  1.313e-02    0.14754    0.36493    0.72667    1.5431
Roffset.35  1.379e-02    0.12310    0.31563    0.59134    1.4216
Roffset.36  9.027e-03    0.09485    0.21455    0.41469    0.9019
Roffset.37  1.848e-02    0.22520    0.51722    0.87826    1.6837
Roffset.38  2.569e-01    0.62319    0.83685    1.11765    1.5921
Roffset.39  3.328e+00    4.53208    5.27102    6.04515    7.6103
Roffset.40  6.696e-03    0.05307    0.11634    0.23218    0.6574
Roffset.41  2.537e-02    0.32994    0.78231    1.39937    2.6535
Roffset.42  7.192e-03    0.07674    0.19314    0.41953    1.2708
Roffset.43  6.020e-01    1.61551    2.06843    2.64549    3.8450
Roffset.44  5.817e-01    1.50392    1.97927    2.49720    3.7308
Roffset.45  5.341e-01    0.87962    1.07386    1.30242    1.7839
Roffset.46  4.387e-03    0.02698    0.05945    0.10221    0.2275
Roffset.47  1.544e-02    0.19055    0.47852    0.87561    1.7227
Roffset.48  1.702e-02    0.19497    0.42469    0.71769    1.2938
