date,numDate,state,fips,Cases_tau,Deaths_tau,TotalTests_tau,meanpositiveCumul,PositivePct_tau,TestsPer1000_tau
2020-03-19,79,AK,2,,,,0,,
2020-03-19,79,AL,1,,,,0,,
2020-03-19,79,AR,5,,,,0,,
2020-03-19,79,AS,60,,,,0,,
2020-03-19,79,AZ,4,,,,0,,
2020-03-19,79,CA,6,,,,0,,
2020-03-19,79,CO,8,,,,0,,
2020-03-19,79,CT,9,,,,0,,
2020-03-19,79,DC,11,,,,0,,
2020-03-19,79,DE,10,,,,0,,
2020-03-19,79,FL,12,11.0714285714286,0.285714285714286,130.642857142857,38.6428571428571,8.47457627118644,0.0060827105361639
2020-03-19,79,GA,13,,,,0,,
2020-03-19,79,GU,66,,,,0,,
2020-03-19,79,HI,15,,,,0,,
2020-03-19,79,IA,19,,,,0,,
2020-03-19,79,ID,16,,,,0,,
2020-03-19,79,IL,17,,,,0,,
2020-03-19,79,IN,18,,,,0,,
2020-03-19,79,KS,20,,,,0,,
2020-03-19,79,KY,21,,,,0,,
2020-03-19,79,LA,22,,,,0,,
2020-03-19,79,MA,25,11.7142857142857,0.107142857142857,553.392857142857,61.5357142857143,2.11681187479832,0.0802890992057395
2020-03-19,79,MD,24,,,,0,,
2020-03-19,79,ME,23,,,,0,,
2020-03-19,79,MI,26,,,,0,,
2020-03-19,79,MN,27,,,,0,,
2020-03-19,79,MO,29,,,,0,,
2020-03-19,79,MP,69,,,,0,,
2020-03-19,79,MS,28,,,,0,,
2020-03-19,79,MT,30,,,,0,,
2020-03-19,79,NC,37,,,,0,,
2020-03-19,79,ND,38,,,,0,,
2020-03-19,79,NE,31,0.964285714285714,0,19.9285714285714,4.78571428571429,4.83870967741936,0.0103021551960969
2020-03-19,79,NH,33,,,,0,,
2020-03-19,79,NJ,34,26.5,0.464285714285714,34,69.3214285714286,77.9411764705882,0.00382788478967462
2020-03-19,79,NM,35,,,,0,,
2020-03-19,79,NV,32,,,,0,,
2020-03-19,79,NY,36,,,,0,,
2020-03-19,79,OH,39,,,,0,,
2020-03-19,79,OK,40,,,,0,,
2020-03-19,79,OR,41,,,,0,,
2020-03-19,79,PA,42,,,,0,,
2020-03-19,79,PR,72,,,,0,,
2020-03-19,79,RI,44,,,,0,,
2020-03-19,79,SC,45,,,,0,,
2020-03-19,79,SD,46,,,,0,,
2020-03-19,79,TN,47,,,,0,,
2020-03-19,79,TX,48,,,,0,,
2020-03-19,79,UT,49,,,,0,,
2020-03-19,79,VA,51,3.35714285714286,0.0714285714285714,278.571428571429,15.4642857142857,1.20512820512821,0.0326367299482818
2020-03-19,79,VI,78,,,,0,,
2020-03-19,79,VT,50,,,,0,,
2020-03-19,79,WA,53,66.6428571428572,3.28571428571429,1398.42857142857,393.964285714286,4.76555317192767,0.183643889865369
2020-03-19,79,WI,55,,,,0,,
2020-03-19,79,WV,54,,,,0,,
2020-03-19,79,WY,56,,,,0,,
2020-03-20,80,AK,2,,,,0,,
2020-03-20,80,AL,1,,,,0,,
2020-03-20,80,AR,5,,,,0,,
2020-03-20,80,AS,60,,,,0,,
2020-03-20,80,AZ,4,,,,0,,
2020-03-20,80,CA,6,,,,0,,
2020-03-20,80,CO,8,,,,0,,
2020-03-20,80,CT,9,,,,0,,
2020-03-20,80,DC,11,,,,0,,
2020-03-20,80,DE,10,,,,0,,
2020-03-20,80,FL,12,13.7857142857143,0.357142857142857,170,52.4285714285714,8.10924369747899,0.00791517281359763
2020-03-20,80,GA,13,,,,0,,
2020-03-20,80,GU,66,,,,0,,
2020-03-20,80,HI,15,,,,0,,
2020-03-20,80,IA,19,,,,0,,
2020-03-20,80,ID,16,,,,0,,
2020-03-20,80,IL,17,,,,0,,
2020-03-20,80,IN,18,,,,0,,
2020-03-20,80,KS,20,,,,0,,
2020-03-20,80,KY,21,,,,0,,
2020-03-20,80,LA,22,,,,0,,
2020-03-20,80,MA,25,14.75,0.178571428571429,691.785714285714,76.2857142857143,2.13216313887455,0.10036785102389
2020-03-20,80,MD,24,,,,0,,
2020-03-20,80,ME,23,,,,0,,
2020-03-20,80,MI,26,,,,0,,
2020-03-20,80,MN,27,,,,0,,
2020-03-20,80,MO,29,,,,0,,
2020-03-20,80,MP,69,,,,0,,
2020-03-20,80,MS,28,,,,0,,
2020-03-20,80,MT,30,,,,0,,
2020-03-20,80,NC,37,,,,0,,
2020-03-20,80,ND,38,,,,0,,
2020-03-20,80,NE,31,1.14285714285714,0,24.0714285714286,5.92857142857143,4.74777448071217,0.0124438218676869
2020-03-20,80,NH,33,,,,0,,
2020-03-20,80,NJ,34,31.7857142857143,0.571428571428571,41.2142857142857,101.107142857143,77.1230502599653,0.00464010404126524
2020-03-20,80,NM,35,,,,0,,
2020-03-20,80,NV,32,,,,0,,
2020-03-20,80,NY,36,,,,0,,
2020-03-20,80,OH,39,,,,0,,
2020-03-20,80,OK,40,,,,0,,
2020-03-20,80,OR,41,,,,0,,
2020-03-20,80,PA,42,,,,0,,
2020-03-20,80,PR,72,,,,0,,
2020-03-20,80,RI,44,,,,0,,
2020-03-20,80,SC,45,,,,0,,
2020-03-20,80,SD,46,,,,0,,
2020-03-20,80,TN,47,,,,0,,
2020-03-20,80,TX,48,,,,0,,
2020-03-20,80,UT,49,,,,0,,
2020-03-20,80,VA,51,4.07142857142857,0.0714285714285714,299.75,19.5357142857143,1.35827475277017,0.0351179582635807
2020-03-20,80,VI,78,,,,0,,
2020-03-20,80,VT,50,,,,0,,
2020-03-20,80,WA,53,77,3.71428571428571,1545.57142857143,470.964285714286,4.98197615306405,0.20296692659653
2020-03-20,80,WI,55,,,,0,,
2020-03-20,80,WV,54,,,,0,,
2020-03-20,80,WY,56,,,,0,,
2020-03-21,81,AK,2,,,,0,,
2020-03-21,81,AL,1,,,,0,,
2020-03-21,81,AR,5,,,,0,,
2020-03-21,81,AS,60,,,,0,,
2020-03-21,81,AZ,4,,,,0,,
2020-03-21,81,CA,6,,,,0,,
2020-03-21,81,CO,8,,,,0,,
2020-03-21,81,CT,9,,,,0,,
2020-03-21,81,DC,11,,,,0,,
2020-03-21,81,DE,10,,,,0,,
2020-03-21,81,FL,12,18.8571428571429,0.428571428571429,220.642857142857,71.2857142857143,8.54645516348333,0.0102730961433626
2020-03-21,81,GA,13,,,,0,,
2020-03-21,81,GU,66,,,,0,,
2020-03-21,81,HI,15,,,,0,,
2020-03-21,81,IA,19,,,,0,,
2020-03-21,81,ID,16,,,,0,,
2020-03-21,81,IL,17,,,,0,,
2020-03-21,81,IN,18,,,,0,,
2020-03-21,81,KS,20,,,,0,,
2020-03-21,81,KY,21,,,,0,,
2020-03-21,81,LA,22,,,,0,,
2020-03-21,81,MA,25,18.75,0.25,790.75,95.0357142857143,2.37116661397408,0.114726101678882
2020-03-21,81,MD,24,,,,0,,
2020-03-21,81,ME,23,,,,0,,
2020-03-21,81,MI,26,,,,0,,
2020-03-21,81,MN,27,,,,0,,
2020-03-21,81,MO,29,,,,0,,
2020-03-21,81,MP,69,,,,0,,
2020-03-21,81,MS,28,,,,0,,
2020-03-21,81,MT,30,,,,0,,
2020-03-21,81,NC,37,,,,0,,
2020-03-21,81,ND,38,,,,0,,
2020-03-21,81,NE,31,1.35714285714286,0,27.1071428571429,7.28571428571429,5.00658761528327,0.0140131465839383
2020-03-21,81,NH,33,,,,0,,
2020-03-21,81,NJ,34,47.3928571428572,0.785714285714286,57.8928571428572,148.5,81.8630475015423,0.00651785844964554
2020-03-21,81,NM,35,,,,0,,
2020-03-21,81,NV,32,,,,0,,
2020-03-21,81,NY,36,,,,0,,
2020-03-21,81,OH,39,,,,0,,
2020-03-21,81,OK,40,,,,0,,
2020-03-21,81,OR,41,,,,0,,
2020-03-21,81,PA,42,,,,0,,
2020-03-21,81,PR,72,,,,0,,
2020-03-21,81,RI,44,,,,0,,
2020-03-21,81,SC,45,,,,0,,
2020-03-21,81,SD,46,,,,0,,
2020-03-21,81,TN,47,,,,0,,
2020-03-21,81,TX,48,,,,0,,
2020-03-21,81,UT,49,,,,0,,
2020-03-21,81,VA,51,5.42857142857143,0.0714285714285714,321,24.9642857142857,1.69114374721851,0.037607554971174
2020-03-21,81,VI,78,,,,0,,
2020-03-21,81,VT,50,,,,0,,
2020-03-21,81,WA,53,88.9285714285714,3.96428571428571,1632.35714285714,559.892857142857,5.44786242506454,0.214363766221947
2020-03-21,81,WI,55,,,,0,,
2020-03-21,81,WV,54,,,,0,,
2020-03-21,81,WY,56,,,,0,,
2020-03-22,82,AK,2,,,,0,,
2020-03-22,82,AL,1,,,,0,,
2020-03-22,82,AR,5,,,,0,,
2020-03-22,82,AS,60,,,,0,,
2020-03-22,82,AZ,4,,,,0,,
2020-03-22,82,CA,6,,,,0,,
2020-03-22,82,CO,8,,,,0,,
2020-03-22,82,CT,9,,,,0,,
2020-03-22,82,DC,11,,,,0,,
2020-03-22,82,DE,10,,,,0,,
2020-03-22,82,FL,12,26.1071428571429,0.464285714285714,302.607142857143,97.3928571428571,8.62740469727369,0.0140893401784901
2020-03-22,82,GA,13,,,,0,,
2020-03-22,82,GU,66,,,,0,,
2020-03-22,82,HI,15,,,,0,,
2020-03-22,82,IA,19,,,,0,,
2020-03-22,82,ID,16,,,,0,,
2020-03-22,82,IL,17,,,,0,,
2020-03-22,82,IN,18,,,,0,,
2020-03-22,82,KS,20,,,,0,,
2020-03-22,82,KY,21,,,,0,,
2020-03-22,82,LA,22,,,,0,,
2020-03-22,82,MA,25,23.0714285714286,0.392857142857143,865.821428571429,118.107142857143,2.66468671369055,0.125617852987721
2020-03-22,82,MD,24,,,,0,,
2020-03-22,82,ME,23,,,,0,,
2020-03-22,82,MI,26,,,,0,,
2020-03-22,82,MN,27,,,,0,,
2020-03-22,82,MO,29,,,,0,,
2020-03-22,82,MP,69,,,,0,,
2020-03-22,82,MS,28,,,,0,,
2020-03-22,82,MT,30,,,,0,,
2020-03-22,82,NC,37,,,,0,,
2020-03-22,82,ND,38,,,,0,,
2020-03-22,82,NE,31,1.71428571428571,0,32.9642857142857,9,5.20043336944745,0.0170410201541173
2020-03-22,82,NH,33,,,,0,,
2020-03-22,82,NJ,34,68.3571428571429,1.03571428571429,80.0357142857143,216.857142857143,85.4082998661312,0.00901080862779498
2020-03-22,82,NM,35,,,,0,,
2020-03-22,82,NV,32,,,,0,,
2020-03-22,82,NY,36,,,,0,,
2020-03-22,82,OH,39,,,,0,,
2020-03-22,82,OK,40,,,,0,,
2020-03-22,82,OR,41,,,,0,,
2020-03-22,82,PA,42,,,,0,,
2020-03-22,82,PR,72,,,,0,,
2020-03-22,82,RI,44,,,,0,,
2020-03-22,82,SC,45,,,,0,,
2020-03-22,82,SD,46,,,,0,,
2020-03-22,82,TN,47,,,,0,,
2020-03-22,82,TX,48,,,,0,,
2020-03-22,82,UT,49,,,,0,,
2020-03-22,82,VA,51,7.82142857142857,0.107142857142857,353.392857142857,32.7857142857143,2.21323900960081,0.0414026208766986
2020-03-22,82,VI,78,,,,0,,
2020-03-22,82,VT,50,,,,0,,
2020-03-22,82,WA,53,99.75,4.5,1704.92857142857,659.642857142857,5.85068498889773,0.223893962978675
2020-03-22,82,WI,55,,,,0,,
2020-03-22,82,WV,54,,,,0,,
2020-03-22,82,WY,56,,,,0,,
2020-03-23,83,AK,2,,,,0,,
2020-03-23,83,AL,1,,,,0,,
2020-03-23,83,AR,5,,,,0,,
2020-03-23,83,AS,60,,,,0,,
2020-03-23,83,AZ,4,,,,0,,
2020-03-23,83,CA,6,,,,0,,
2020-03-23,83,CO,8,,,,0,,
2020-03-23,83,CT,9,,,,0,,
2020-03-23,83,DC,11,,,,0,,
2020-03-23,83,DE,10,,,,0,,
2020-03-23,83,FL,12,36.75,0.5,402.5,134.142857142857,9.1304347826087,0.0187403356321944
2020-03-23,83,GA,13,,,,0,,
2020-03-23,83,GU,66,,,,0,,
2020-03-23,83,HI,15,,,,0,,
2020-03-23,83,IA,19,,,,0,,
2020-03-23,83,ID,16,,,,0,,
2020-03-23,83,IL,17,,,,0,,
2020-03-23,83,IN,18,,,,0,,
2020-03-23,83,KS,20,,,,0,,
2020-03-23,83,KY,21,,,,0,,
2020-03-23,83,LA,22,,,,0,,
2020-03-23,83,MA,25,27.75,0.607142857142857,1012.07142857143,145.857142857143,2.74190133389795,0.146836559747806
2020-03-23,83,MD,24,,,,0,,
2020-03-23,83,ME,23,,,,0,,
2020-03-23,83,MI,26,,,,0,,
2020-03-23,83,MN,27,,,,0,,
2020-03-23,83,MO,29,,,,0,,
2020-03-23,83,MP,69,,,,0,,
2020-03-23,83,MS,28,,,,0,,
2020-03-23,83,MT,30,,,,0,,
2020-03-23,83,NC,37,,,,0,,
2020-03-23,83,ND,38,,,,0,,
2020-03-23,83,NE,31,1.78571428571429,0,36.6071428571429,10.7857142857143,4.87804878048781,0.0189242098136189
2020-03-23,83,NH,33,,,,0,,
