
Iterations = 101:20001
Thinning interval = 1 
Number of chains = 4 
Sample size per chain = 19901 

1. Empirical mean and standard deviation for each variable,
   plus standard error of the mean:

                 Mean        SD  Naive SE Time-series SE
iter        1.005e+04 5.745e+03 2.036e+01      0.000e+00
sig2err     7.193e-02 8.893e-03 3.152e-05      9.612e-05
ncoef.1     5.259e-01 6.165e-02 2.185e-04      3.871e-03
ncoef.2     5.816e-01 6.556e-02 2.324e-04      5.021e-03
ncoef.3     5.527e-01 6.088e-02 2.158e-04      4.049e-03
ncoef.4     5.515e-01 5.804e-02 2.057e-04      4.333e-03
ncoef.5     5.372e-01 6.938e-02 2.459e-04      3.608e-03
ncoef.6     5.524e-01 5.708e-02 2.023e-04      3.832e-03
ncoef.7     5.741e-01 6.792e-02 2.407e-04      3.673e-03
ncoef.8     5.139e-01 7.046e-02 2.497e-04      3.481e-03
ncoef.9     5.288e-01 6.410e-02 2.272e-04      3.555e-03
ncoef.10    5.404e-01 6.514e-02 2.309e-04      3.980e-03
ncoef.11    5.061e-01 5.994e-02 2.124e-04      3.323e-03
ncoef.12    5.589e-01 6.490e-02 2.300e-04      4.260e-03
ncoef.13    5.751e-01 6.026e-02 2.136e-04      3.804e-03
ncoef.14    5.315e-01 7.157e-02 2.537e-04      3.769e-03
ncoef.15    5.795e-01 6.454e-02 2.287e-04      3.542e-03
ncoef.16    5.156e-01 6.641e-02 2.354e-04      3.462e-03
ncoef.17    5.767e-01 5.355e-02 1.898e-04      4.254e-03
ncoef.18    5.492e-01 6.346e-02 2.249e-04      3.734e-03
ncoef.19    5.526e-01 6.873e-02 2.436e-04      3.473e-03
ncoef.20    6.113e-01 5.823e-02 2.064e-04      3.796e-03
ncoef.21    5.224e-01 7.969e-02 2.825e-04      3.556e-03
ncoef.22    5.768e-01 5.803e-02 2.057e-04      4.146e-03
ncoef.23    5.430e-01 5.767e-02 2.044e-04      3.487e-03
ncoef.24    5.016e-01 6.913e-02 2.450e-04      3.478e-03
ncoef.25    5.354e-01 5.944e-02 2.107e-04      3.798e-03
ncoef.26    5.738e-01 6.160e-02 2.183e-04      3.854e-03
ncoef.27    5.420e-01 6.171e-02 2.187e-04      5.005e-03
ncoef.28    4.987e-01 7.054e-02 2.500e-04      3.432e-03
ncoef.29    5.193e-01 6.881e-02 2.439e-04      3.542e-03
ncoef.30    6.252e-01 5.613e-02 1.989e-04      3.812e-03
ncoef.31    5.004e-01 7.825e-02 2.773e-04      4.274e-03
ncoef.32    5.263e-01 6.923e-02 2.454e-04      3.713e-03
ncoef.33    5.330e-01 7.272e-02 2.578e-04      3.250e-03
ncoef.34    5.384e-01 5.853e-02 2.075e-04      3.882e-03
ncoef.35    5.694e-01 7.001e-02 2.481e-04      4.288e-03
ncoef.36    5.533e-01 6.077e-02 2.154e-04      3.682e-03
ncoef.37    5.279e-01 5.866e-02 2.079e-04      3.890e-03
ncoef.38    5.587e-01 7.042e-02 2.496e-04      3.452e-03
ncoef.39    5.192e-01 8.286e-02 2.937e-04      3.827e-03
ncoef.40    6.054e-01 6.095e-02 2.160e-04      4.578e-03
ncoef.41    5.271e-01 5.809e-02 2.059e-04      3.789e-03
ncoef.42    5.917e-01 6.456e-02 2.288e-04      4.268e-03
ncoef.43    4.988e-01 6.439e-02 2.282e-04      4.005e-03
ncoef.44    5.043e-01 6.007e-02 2.129e-04      3.456e-03
ncoef.45    5.390e-01 6.026e-02 2.136e-04      4.031e-03
ncoef.46    6.007e-01 6.066e-02 2.150e-04      3.809e-03
ncoef.47    5.667e-01 6.829e-02 2.420e-04      3.655e-03
ncoef.48    5.712e-01 6.804e-02 2.411e-04      3.483e-03
ncoef.49    5.358e-01 6.427e-02 2.278e-04      3.820e-03
ncoef.50    5.366e-01 5.915e-02 2.097e-04      4.511e-03
ncoef.51    5.436e-01 6.576e-02 2.331e-04      4.286e-03
Roffset.1   1.333e+00 1.217e+00 4.315e-03      2.558e-02
Roffset.2   1.566e-01 1.268e-01 4.495e-04      1.837e-03
Roffset.3   7.723e-01 7.322e-01 2.595e-03      1.066e-02
Roffset.4   5.383e-01 5.016e-01 1.778e-03      8.363e-03
Roffset.5   1.323e+00 8.469e-01 3.002e-03      1.935e-02
Roffset.6   5.549e-01 4.876e-01 1.728e-03      8.701e-03
Roffset.7   1.120e+00 6.966e-01 2.469e-03      1.900e-02
Roffset.8   1.654e+00 1.283e+00 4.548e-03      2.742e-02
Roffset.9   1.264e+00 1.084e+00 3.843e-03      2.249e-02
Roffset.10  1.043e+00 8.400e-01 2.977e-03      1.619e-02
Roffset.11  1.338e+00 1.245e+00 4.414e-03      2.755e-02
Roffset.12  2.449e-01 2.364e-01 8.378e-04      3.073e-03
Roffset.13  8.313e-01 7.129e-01 2.527e-03      1.108e-02
Roffset.14  1.942e+00 1.297e+00 4.595e-03      3.150e-02
Roffset.15  1.239e+00 5.076e-01 1.799e-03      8.764e-03
Roffset.16  2.023e+00 1.572e+00 5.573e-03      3.628e-02
Roffset.17  4.138e-01 3.912e-01 1.387e-03      5.530e-03
Roffset.18  7.229e-01 5.362e-01 1.900e-03      9.527e-03
Roffset.19  5.070e+00 1.309e+00 4.640e-03      2.437e-02
Roffset.20  1.201e-01 9.502e-02 3.368e-04      1.487e-03
Roffset.21  4.100e+00 1.978e+00 7.010e-03      5.548e-02
Roffset.22  4.751e-01 4.253e-01 1.508e-03      6.674e-03
Roffset.23  7.162e-01 6.280e-01 2.226e-03      1.309e-02
Roffset.24  1.656e+00 8.907e-01 3.157e-03      2.416e-02
Roffset.25  1.220e+00 1.146e+00 4.063e-03      2.015e-02
Roffset.26  1.327e+00 3.613e-01 1.280e-03      6.229e-03
Roffset.27  2.630e-01 2.305e-01 8.169e-04      3.099e-03
Roffset.28  1.958e+00 1.534e+00 5.438e-03      3.705e-02
