
Iterations = 101:20001
Thinning interval = 1 
Number of chains = 4 
Sample size per chain = 19901 

1. Empirical mean and standard deviation for each variable,
   plus standard error of the mean:

                 Mean        SD  Naive SE Time-series SE
Roffset.29  1.677e+00 1.285e+00 4.554e-03      2.774e-02
Roffset.30  1.281e-01 1.037e-01 3.675e-04      1.520e-03
Roffset.31  4.350e+00 3.071e+00 1.088e-02      1.043e-01
Roffset.32  8.730e-01 6.042e-01 2.142e-03      1.131e-02
Roffset.33  1.403e+01 2.424e+00 8.590e-03      5.211e-02
Roffset.34  6.168e-01 5.625e-01 1.994e-03      9.546e-03
Roffset.35  4.895e-01 4.168e-01 1.477e-03      4.919e-03
Roffset.36  5.931e-01 4.607e-01 1.633e-03      8.676e-03
Roffset.37  6.003e-01 5.529e-01 1.960e-03      1.001e-02
Roffset.38  1.001e+00 4.537e-01 1.608e-03      7.905e-03
Roffset.39  4.888e+00 1.985e+00 7.035e-03      5.716e-02
Roffset.40  2.830e-01 2.609e-01 9.246e-04      3.669e-03
Roffset.41  9.493e-01 9.025e-01 3.199e-03      1.650e-02
Roffset.42  3.696e-01 3.963e-01 1.405e-03      4.129e-03
Roffset.43  1.059e+00 9.376e-01 3.323e-03      1.859e-02
Roffset.44  1.222e+00 1.009e+00 3.575e-03      2.130e-02
Roffset.45  1.094e+00 3.906e-01 1.384e-03      6.223e-03
Roffset.46  1.150e-01 9.125e-02 3.234e-04      1.347e-03
Roffset.47  1.316e+00 8.475e-01 3.004e-03      1.656e-02
Roffset.48  9.743e-01 5.647e-01 2.001e-03      1.128e-02
Roffset.49  4.354e-01 3.285e-01 1.164e-03      4.990e-03
Roffset.50  4.659e-01 4.256e-01 1.508e-03      5.951e-03
Roffset.51  5.169e-01 4.754e-01 1.685e-03      6.054e-03
lnlike.1    4.026e-01 7.239e-01 2.566e-03      6.021e-03
lnlike.2   -1.037e+01 8.495e-01 3.011e-03      6.893e-03
lnlike.3   -2.156e+00 5.976e-01 2.118e-03      5.239e-03
lnlike.4   -9.013e-01 6.511e-01 2.308e-03      5.647e-03
lnlike.5   -3.064e-01 8.106e-01 2.873e-03      1.092e-02
lnlike.6   -7.464e-01 6.780e-01 2.403e-03      5.705e-03
lnlike.7   -1.068e+01 1.225e+00 4.343e-03      2.367e-02
lnlike.8   -8.219e-01 7.555e-01 2.678e-03      5.919e-03
lnlike.9   -5.699e+00 6.921e-01 2.453e-03      5.221e-03
lnlike.10   6.009e-01 7.270e-01 2.577e-03      6.267e-03
lnlike.11   7.530e-01 8.155e-01 2.890e-03      8.494e-03
lnlike.12  -4.338e+00 7.211e-01 2.556e-03      7.762e-03
lnlike.13  -1.686e+00 7.984e-01 2.830e-03      1.034e-02
lnlike.14  -1.124e+01 1.286e+00 4.558e-03      1.310e-02
lnlike.15  -3.331e+00 1.202e+00 4.260e-03      1.939e-02
lnlike.16  -1.418e+00 7.830e-01 2.775e-03      6.510e-03
lnlike.17  -9.273e-01 6.996e-01 2.480e-03      6.059e-03
lnlike.18  -2.942e+00 6.680e-01 2.368e-03      5.721e-03
lnlike.19  -1.351e+00 9.400e-01 3.332e-03      1.411e-02
lnlike.20  -4.425e+00 1.080e+00 3.829e-03      1.046e-02
lnlike.21  -8.311e-01 8.496e-01 3.011e-03      1.125e-02
lnlike.22  -5.588e+00 6.599e-01 2.339e-03      5.200e-03
lnlike.23  -2.739e+00 6.366e-01 2.256e-03      5.153e-03
lnlike.24  -4.168e+00 8.286e-01 2.937e-03      9.844e-03
lnlike.25  -1.759e+00 6.411e-01 2.272e-03      5.032e-03
lnlike.26  -4.868e+00 9.921e-01 3.516e-03      1.440e-02
lnlike.27  -3.314e+00 7.819e-01 2.771e-03      8.998e-03
lnlike.28  -8.887e-01 8.687e-01 3.079e-03      9.169e-03
lnlike.29   1.216e+00 8.022e-01 2.843e-03      7.053e-03
lnlike.30  -2.787e+00 1.198e+00 4.247e-03      1.292e-02
lnlike.31   1.336e+00 8.553e-01 3.031e-03      7.870e-03
lnlike.32  -3.979e+00 6.857e-01 2.430e-03      5.617e-03
lnlike.33  -1.050e+00 7.881e-01 2.793e-03      1.011e-02
lnlike.34  -2.413e+00 6.565e-01 2.327e-03      6.018e-03
lnlike.35  -1.557e+01 7.024e-01 2.490e-03      7.522e-03
lnlike.36  -5.939e+00 6.804e-01 2.412e-03      5.397e-03
lnlike.37  -3.090e+00 7.359e-01 2.608e-03      8.424e-03
lnlike.38  -3.307e+00 9.354e-01 3.315e-03      1.368e-02
lnlike.39  -8.766e-01 8.204e-01 2.908e-03      9.712e-03
lnlike.40  -1.342e+00 9.508e-01 3.370e-03      9.351e-03
lnlike.41  -4.755e-01 7.102e-01 2.517e-03      6.204e-03
lnlike.42  -4.139e+00 9.313e-01 3.301e-03      8.753e-03
lnlike.43  -5.283e-01 8.985e-01 3.185e-03      1.170e-02
lnlike.44   1.527e-01 8.362e-01 2.964e-03      8.949e-03
lnlike.45  -2.623e+00 8.929e-01 3.165e-03      1.024e-02
lnlike.46  -6.852e+00 1.025e+00 3.634e-03      8.158e-03
lnlike.47  -6.434e+00 1.060e+00 3.756e-03      1.756e-02
lnlike.48  -6.086e+00 1.055e+00 3.738e-03      1.666e-02
lnlike.49  -2.938e+00 6.451e-01 2.286e-03      5.660e-03
lnlike.50  -5.604e+00 7.857e-01 2.785e-03      9.620e-03
lnlike.51  -3.233e+00 5.392e-01 1.911e-03      4.720e-03
lnprior    -2.885e+00 8.669e-01 3.073e-03      1.275e-01
lnpopprior -8.108e+01 1.389e+01 4.922e-02      4.204e-01
lnlike     -1.623e+02 7.183e+00 2.546e-02      1.396e-01
lnpost     -2.463e+02 1.390e+01 4.926e-02      4.507e-01

2. Quantiles for each variable:

                 2.5%        25%        50%        75%      97.5%
iter        5.970e+02 5075.00000  1.005e+04  1.502e+04  1.950e+04
sig2err     5.610e-02    0.06569  7.136e-02  7.764e-02  9.056e-02
ncoef.1     4.268e-01    0.48228  5.178e-01  5.607e-01  6.690e-01
ncoef.2     4.690e-01    0.53655  5.750e-01  6.218e-01  7.274e-01
ncoef.3     4.501e-01    0.51113  5.451e-01  5.882e-01  6.906e-01
ncoef.4     4.547e-01    0.51069  5.443e-01  5.853e-01  6.836e-01
ncoef.5     4.192e-01    0.48853  5.297e-01  5.790e-01  6.909e-01
ncoef.6     4.584e-01    0.51344  5.444e-01  5.836e-01  6.847e-01
ncoef.7     4.622e-01    0.52602  5.654e-01  6.153e-01  7.271e-01
ncoef.8     4.007e-01    0.46212  5.054e-01  5.560e-01  6.750e-01
ncoef.9     4.241e-01    0.48317  5.198e-01  5.670e-01  6.740e-01
ncoef.10    4.312e-01    0.49477  5.322e-01  5.789e-01  6.885e-01
ncoef.11    4.083e-01    0.46356  4.977e-01  5.414e-01  6.443e-01
ncoef.12    4.452e-01    0.51346  5.531e-01  5.993e-01  7.000e-01
ncoef.13    4.757e-01    0.53289  5.673e-01  6.112e-01  7.108e-01
ncoef.14    4.169e-01    0.47900  5.234e-01  5.737e-01  6.939e-01
ncoef.15    4.663e-01    0.53404  5.732e-01  6.186e-01  7.217e-01
ncoef.16    4.089e-01    0.46796  5.068e-01  5.550e-01  6.681e-01
ncoef.17    4.861e-01    0.53968  5.702e-01  6.078e-01  7.004e-01
ncoef.18    4.430e-01    0.50523  5.411e-01  5.861e-01  6.927e-01
ncoef.19    4.285e-01    0.50528  5.466e-01  5.944e-01  7.023e-01
ncoef.20    5.118e-01    0.57034  6.046e-01  6.471e-01  7.413e-01
ncoef.21    3.786e-01    0.46710  5.186e-01  5.733e-01  6.899e-01
ncoef.22    4.789e-01    0.53688  5.699e-01  6.104e-01  7.069e-01
ncoef.23    4.503e-01    0.50297  5.342e-01  5.746e-01  6.791e-01
ncoef.24    3.839e-01    0.45250  4.953e-01  5.441e-01  6.569e-01
ncoef.25    4.363e-01    0.49520  5.269e-01  5.693e-01  6.728e-01
ncoef.26    4.703e-01    0.53007  5.670e-01  6.115e-01  7.119e-01
ncoef.27    4.383e-01    0.49917  5.348e-01  5.773e-01  6.815e-01
ncoef.28    3.837e-01    0.44696  4.907e-01  5.426e-01  6.552e-01
ncoef.29    4.044e-01    0.47068  5.118e-01  5.613e-01  6.739e-01
ncoef.30    5.282e-01    0.58585  6.199e-01  6.593e-01  7.501e-01
ncoef.31    3.754e-01    0.44175  4.902e-01  5.484e-01  6.793e-01
ncoef.32    4.075e-01    0.47705  5.196e-01  5.697e-01  6.751e-01
ncoef.33    4.013e-01    0.48287  5.287e-01  5.785e-01  6.868e-01
ncoef.34    4.403e-01    0.49723  5.312e-01  5.716e-01  6.730e-01
ncoef.35    4.444e-01    0.52074  5.634e-01  6.128e-01  7.193e-01
ncoef.36    4.556e-01    0.51039  5.450e-01  5.891e-01  6.927e-01
ncoef.37    4.319e-01    0.48731  5.194e-01  5.616e-01  6.633e-01
ncoef.38    4.331e-01    0.50983  5.534e-01  6.038e-01  7.070e-01
ncoef.39    3.644e-01    0.46373  5.174e-01  5.725e-01  6.922e-01
ncoef.40    5.015e-01    0.56306  5.988e-01  6.421e-01  7.431e-01
ncoef.41    4.313e-01    0.48683  5.200e-01  5.601e-01  6.608e-01
ncoef.42    4.778e-01    0.54739  5.855e-01  6.313e-01  7.335e-01
ncoef.43    3.944e-01    0.45361  4.896e-01  5.366e-01  6.437e-01
ncoef.44    4.019e-01    0.46244  4.970e-01  5.400e-01  6.370e-01
ncoef.45    4.354e-01    0.49762  5.330e-01  5.744e-01  6.728e-01
ncoef.46    4.951e-01    0.55855  5.949e-01  6.385e-01  7.352e-01
ncoef.47    4.516e-01    0.51880  5.587e-01  6.080e-01  7.201e-01
ncoef.48    4.553e-01    0.52349  5.638e-01  6.134e-01  7.171e-01
ncoef.49    4.269e-01    0.49039  5.286e-01  5.745e-01  6.775e-01
ncoef.50    4.375e-01    0.49555  5.291e-01  5.717e-01  6.702e-01
ncoef.51    4.307e-01    0.49772  5.373e-01  5.827e-01  6.899e-01
Roffset.1   2.377e-02    0.33584  9.635e-01  2.046e+00  4.351e+00
Roffset.2   7.773e-03    0.05956  1.250e-01  2.224e-01  4.755e-01
Roffset.3   1.564e-02    0.20910  5.488e-01  1.116e+00  2.687e+00
Roffset.4   1.409e-02    0.15641  3.874e-01  7.729e-01  1.877e+00
Roffset.5   4.057e-02    0.62979  1.280e+00  1.929e+00  3.074e+00
Roffset.6   1.606e-02    0.16860  4.199e-01  8.183e-01  1.785e+00
Roffset.7   4.136e-02    0.53748  1.096e+00  1.620e+00  2.521e+00
Roffset.8   3.550e-02    0.52577  1.438e+00  2.554e+00  4.472e+00
Roffset.9   2.335e-02    0.34131  9.813e-01  1.969e+00  3.756e+00
Roffset.10  2.423e-02    0.33299  8.661e-01  1.575e+00  3.011e+00
Roffset.11  2.218e-02    0.31912  9.324e-01  2.076e+00  4.367e+00
Roffset.12  9.206e-03    0.07695  1.736e-01  3.350e-01  8.873e-01
Roffset.13  2.137e-02    0.25538  6.452e-01  1.236e+00  2.559e+00
Roffset.14  4.702e-02    0.80171  1.898e+00  2.908e+00  4.479e+00
Roffset.15  2.534e-01    0.89417  1.227e+00  1.573e+00  2.255e+00
Roffset.16  4.122e-02    0.64715  1.741e+00  3.146e+00  5.451e+00
Roffset.17  1.280e-02    0.12336  2.924e-01  5.851e-01  1.473e+00
Roffset.18  2.429e-02    0.27929  6.265e-01  1.062e+00  1.956e+00
Roffset.19  2.574e+00    4.14720  5.052e+00  5.943e+00  7.682e+00
Roffset.20  6.324e-03    0.04728  9.755e-02  1.701e-01  3.594e-01
Roffset.21  1.561e-01    2.77595  4.368e+00  5.539e+00  7.409e+00
Roffset.22  1.471e-02    0.14344  3.553e-01  6.908e-01  1.566e+00
Roffset.23  1.822e-02    0.20918  5.340e-01  1.073e+00  2.280e+00
Roffset.24  8.414e-02    0.97773  1.668e+00  2.281e+00  3.389e+00
Roffset.25  2.231e-02    0.29767  8.632e-01  1.849e+00  4.091e+00
Roffset.26  6.473e-01    1.07812  1.316e+00  1.570e+00  2.069e+00
Roffset.27  1.035e-02    0.09043  2.003e-01  3.688e-01  8.674e-01
Roffset.28  3.737e-02    0.57371  1.696e+00  3.086e+00  5.249e+00
Roffset.29  3.366e-02    0.54648  1.460e+00  2.581e+00  4.478e+00
Roffset.30  6.267e-03    0.05003  1.021e-01  1.789e-01  3.926e-01
Roffset.31  6.086e-02    1.39258  4.350e+00  6.821e+00  1.009e+01
Roffset.32  2.890e-02    0.37015  7.955e-01  1.286e+00  2.173e+00
Roffset.33  8.889e+00   12.53137  1.411e+01  1.563e+01  1.858e+01
Roffset.34  1.598e-02    0.17919  4.474e-01  9.064e-01  2.060e+00
Roffset.35  1.613e-02    0.16872  3.836e-01  7.042e-01  1.549e+00
Roffset.36  2.074e-02    0.21540  4.883e-01  8.786e-01  1.664e+00
Roffset.37  1.669e-02    0.17729  4.311e-01  8.723e-01  2.025e+00
Roffset.38  1.137e-01    0.68515  1.004e+00  1.309e+00  1.886e+00
Roffset.39  2.681e-01    3.83027  5.206e+00  6.255e+00  8.093e+00
Roffset.40  1.067e-02    0.08969  2.066e-01  3.987e-01  9.785e-01
Roffset.41  1.972e-02    0.24186  6.576e-01  1.409e+00  3.289e+00
Roffset.42  1.062e-02    0.10162  2.416e-01  4.983e-01  1.467e+00
Roffset.43  2.352e-02    0.29429  7.927e-01  1.583e+00  3.375e+00
Roffset.44  2.950e-02    0.37331  9.795e-01  1.846e+00  3.584e+00
Roffset.45  3.900e-01    0.81677  1.070e+00  1.352e+00  1.910e+00
Roffset.46  6.221e-03    0.04580  9.274e-02  1.619e-01  3.467e-01
Roffset.47  4.163e-02    0.61888  1.254e+00  1.910e+00  3.093e+00
Roffset.48  4.960e-02    0.52963  9.559e-01  1.375e+00  2.136e+00
Roffset.49  1.715e-02    0.16792  3.715e-01  6.361e-01  1.203e+00
Roffset.50  1.439e-02    0.14205  3.387e-01  6.713e-01  1.567e+00
Roffset.51  1.496e-02    0.15966  3.758e-01  7.351e-01  1.757e+00
lnlike.1   -1.555e+00    0.16601  5.727e-01  8.575e-01  1.284e+00
lnlike.2   -1.263e+01  -10.69266 -1.016e+01 -9.820e+00 -9.342e+00
lnlike.3   -3.828e+00   -2.30492 -1.976e+00 -1.794e+00 -1.565e+00
lnlike.4   -2.668e+00   -1.10833 -7.176e-01 -4.844e-01 -2.124e-01
lnlike.5   -2.379e+00   -0.66122 -1.824e-01  2.434e-01  8.198e-01
lnlike.6   -2.597e+00   -0.94768 -5.832e-01 -3.311e-01  3.982e-02
lnlike.7   -1.329e+01  -11.46717 -1.060e+01 -9.787e+00 -8.620e+00
lnlike.8   -2.916e+00   -1.03241 -5.961e-01 -3.541e-01 -5.371e-02
lnlike.9   -7.654e+00   -5.87006 -5.459e+00 -5.276e+00 -5.077e+00
lnlike.10  -1.322e+00    0.33647  7.424e-01  1.058e+00  1.562e+00
lnlike.11  -1.372e+00    0.42449  9.265e-01  1.287e+00  1.812e+00
lnlike.12  -6.250e+00   -4.61121 -4.153e+00 -3.838e+00 -3.550e+00
lnlike.13  -3.587e+00   -2.03571 -1.658e+00 -1.185e+00 -3.440e-01
lnlike.14  -1.413e+01  -11.98580 -1.112e+01 -1.034e+01 -9.112e+00
lnlike.15  -6.414e+00   -3.90888 -3.065e+00 -2.453e+00 -1.801e+00
lnlike.16  -3.575e+00   -1.64859 -1.209e+00 -9.301e-01 -5.475e-01
lnlike.17  -2.866e+00   -1.11887 -7.113e-01 -4.947e-01 -2.358e-01
lnlike.18  -4.759e+00   -3.14188 -2.785e+00 -2.508e+00 -2.225e+00
lnlike.19  -3.861e+00   -1.70526 -1.100e+00 -7.214e-01 -2.762e-01
lnlike.20  -7.304e+00   -4.86344 -4.068e+00 -3.626e+00 -3.428e+00
lnlike.21  -3.156e+00   -1.09710 -6.101e-01 -2.808e-01  1.035e-01
lnlike.22  -7.431e+00   -5.77324 -5.392e+00 -5.178e+00 -4.902e+00
lnlike.23  -4.510e+00   -2.89193 -2.506e+00 -2.345e+00 -2.215e+00
lnlike.24  -6.373e+00   -4.49589 -3.944e+00 -3.586e+00 -3.280e+00
lnlike.25  -3.557e+00   -1.92227 -1.564e+00 -1.372e+00 -1.114e+00
lnlike.26  -7.491e+00   -5.28647 -4.594e+00 -4.161e+00 -3.767e+00
lnlike.27  -5.310e+00   -3.65581 -3.129e+00 -2.765e+00 -2.369e+00
lnlike.28  -3.151e+00   -1.22054 -7.023e-01 -3.150e-01  2.063e-01
lnlike.29  -9.294e-01    0.93333  1.393e+00  1.721e+00  2.237e+00
lnlike.30  -5.963e+00   -3.30734 -2.425e+00 -1.889e+00 -1.568e+00
lnlike.31  -9.162e-01    1.02900  1.531e+00  1.880e+00  2.415e+00
lnlike.32  -5.922e+00   -4.15115 -3.741e+00 -3.544e+00 -3.405e+00
lnlike.33  -3.277e+00   -1.23216 -7.720e-01 -5.692e-01 -4.047e-01
lnlike.34  -4.224e+00   -2.61621 -2.218e+00 -1.983e+00 -1.771e+00
lnlike.35  -1.719e+01  -15.92256 -1.550e+01 -1.511e+01 -1.442e+01
lnlike.36  -7.740e+00   -6.17547 -5.781e+00 -5.502e+00 -5.122e+00
lnlike.37  -5.030e+00   -3.38755 -2.897e+00 -2.582e+00 -2.261e+00
lnlike.38  -5.548e+00   -3.79473 -3.120e+00 -2.642e+00 -2.006e+00
lnlike.39  -3.164e+00   -1.10740 -6.249e-01 -3.591e-01 -7.431e-02
lnlike.40  -3.919e+00   -1.71708 -1.029e+00 -6.812e-01 -3.782e-01
lnlike.41  -2.385e+00   -0.70060 -2.964e-01 -3.209e-02  3.453e-01
lnlike.42  -6.497e+00   -4.59724 -3.924e+00 -3.452e+00 -2.984e+00
lnlike.43  -2.808e+00   -0.95079 -3.415e-01  9.491e-02  6.580e-01
lnlike.44  -2.009e+00   -0.18979  3.504e-01  7.096e-01  1.188e+00
lnlike.45  -5.029e+00   -2.94355 -2.383e+00 -2.026e+00 -1.620e+00
lnlike.46  -9.564e+00   -7.28700 -6.528e+00 -6.087e+00 -5.887e+00
lnlike.47  -8.721e+00   -7.10896 -6.354e+00 -5.653e+00 -4.685e+00
lnlike.48  -8.405e+00   -6.75254 -5.968e+00 -5.306e+00 -4.414e+00
lnlike.49  -4.697e+00   -3.15061 -2.764e+00 -2.512e+00 -2.258e+00
lnlike.50  -7.624e+00   -5.94018 -5.421e+00 -5.067e+00 -4.623e+00
lnlike.51  -4.694e+00   -3.40530 -3.087e+00 -2.883e+00 -2.666e+00
lnprior    -5.377e+00   -3.14742 -2.545e+00 -2.273e+00 -2.173e+00
lnpopprior -1.076e+02  -89.93852 -8.155e+01 -7.273e+01 -5.183e+01
lnlike     -1.773e+02 -166.93583 -1.620e+02 -1.573e+02 -1.490e+02
lnpost     -2.746e+02 -254.97779 -2.460e+02 -2.374e+02 -2.188e+02

