"state","date","reported_cases","predicted_infections_mean","predicted_infections_lower_CI_95","predicted_infections_higher_CI_95_cumulative","reported_deaths","estimated_deaths_mean","estimated_deaths_lower_CI_95","estimated_deaths_higher_CI_95","mean_time_varying_reproduction_number_R(t)","time_varying_reproduction_number_R(t)_lower_CI_95","time_varying_reproduction_number_R(t)_higher_CI_95","mean_infectious_individuals","infectious_individuals_lower_CI_95","infectious_individuals_higher_CI_95"
"AK",2020-04-06,5,30.3381069846663,3.82183989875532,93.832750543698,0,0.0000000000000303381069846663,0.00000000000000382183989875532,0.000000000000093832750543698,0.587303268984449,0.354646928489133,0.899111081398371,0,0,0
"AK",2020-04-07,23,30.3381069846663,3.82183989875532,93.832750543698,0,0.000000430257274896636,0.0000000561639646471924,0.0000013098323424697,0.575186897555858,0.344803127304253,0.883099439112463,4.69636264924045,0.591623800422458,14.5253830488385
"AK",2020-04-08,13,30.3381069846663,3.82183989875532,93.832750543698,1,0.0000103261745975193,0.00000134793515153262,0.0000314359762192727,0.587303268984449,0.354646928489133,0.899111081398371,21.7616529202897,2.74142198244817,67.3066302693224
"AK",2020-04-09,9,30.3381069846663,3.82183989875532,93.832750543698,0,0.0000580847321110458,0.00000758213522737098,0.000176827366233409,0.599611496184061,0.364260376794365,0.916403113835149,47.8786357475617,6.03150620078205,148.083863200305
"AK",2020-04-10,11,30.3381069846663,3.82183989875532,93.832750543698,0,0.000221152239296871,0.0000288682778286569,0.000673253824029424,0.599611496184061,0.364260376794365,0.916403113835149,78.0453486859885,9.83175475223749,241.386508988502
"AK",2020-04-11,11,30.3381069846663,3.82183989875532,93.832750543698,1,0.00065356080056799,0.0000853130622990853,0.00198963532821147,0.711968235400871,0.449129647881418,1.06089897964528,108.383455670655,13.6535946509928,335.2192595322
"AK",2020-04-12,15,6.41064633650842,1.02588554065991,18.5679885854403,0,0.00146782269330987,0.000191603365393897,0.00446849303633537,0.429947625018152,0.237998728326463,0.692294429277384,136.479014615726,17.1929297917244,422.116031806458
"AK",2020-04-13,5,9.62212758429376,1.6483839793011,26.2449461527384,0,0.00285527818594956,0.000372718954980995,0.00869231797090463,0.573455746545834,0.335081946755329,0.9007950585356,157.408059528775,19.9170199611299,487.052091346091
"AK",2020-04-14,8,11.010223440165,1.90176337911175,29.9346959118757,1,0.00500009595810502,0.000652763611682922,0.0152215638360047,0.622802511591883,0.368655133174451,0.967910278705391,165.217456649928,21.21994851912,509.490134426286
"AK",2020-04-15,8,12.7610076623365,2.19823061885742,34.5475898677093,0,0.00803230733399531,0.00104890656108486,0.0244499673576645,0.723472039518005,0.440655669404396,1.10276312748762,163.652201012525,21.4498564593373,501.088278368659
"AK",2020-04-16,7,11.4662475194346,2.02106521567298,30.8941075965288,0,0.011941607404458,0.00156034746968454,0.036339395791305,0.675164986632824,0.406758137542058,1.03710331045477,157.296625137546,21.4060032084862,479.555180841358
"AK",2020-04-17,9,10.6021400146793,1.9219356339002,28.5563987354724,0,0.0166586898057614,0.0021791494485281,0.0506610637494316,0.655158202539382,0.391433030167738,1.00893187956294,149.251050551012,21.1926714975661,447.829826966016
"AK",2020-04-18,5,11.5740219761964,2.11753237812169,31.0428636656082,0,0.0220978632884701,0.00290267931029772,0.0671202115253213,0.752049329635982,0.460750546283823,1.14156513457545,140.625723256215,20.442259664222,417.577597693646
"AK",2020-04-19,5,10.9459834532255,2.02886499632189,29.206032887581,0,0.0280707853787561,0.0037097010979102,0.085060961356921,0.752037847230749,0.460747487897822,1.14156115339329,132.199442555965,19.8979356120839,387.661327747717
"AK",2020-04-20,2,9.26917986101145,1.9165938813841,24.1243046877489,0,0.0344511271027141,0.00458242041941774,0.104009797834186,0.681945882687461,0.415203234434409,1.0351951702974,124.68691215265,19.2758028958603,357.960405575269
