state,date,Cases,N_dtCumInfected.50.,N_dtCumInfected.2.5.,N_dtCumInfected.97.5.,Deaths,D_pos.50.,D_pos.2.5.,D_pos.97.5.,Rt.50.,Rt.2.5.,Rt.97.5.,N_I_tot.50.,N_I_tot.2.5.,N_I_tot.97.5.,numDate,N_dtCumInfected.Random,D_pos.Random,N_I_tot.Random,Rt.Random,CumInfected.2.5.,CumInfected.50.,CumInfected.97.5.,CumInfected.Random,S.2.5.,S.50.,S.97.5.,S.Random,Refft.2.5.,Refft.50.,Refft.97.5.,Refft.Random
AK,2020-04-06,0.683484953078758,4.1471279257826,0.522434012775061,12.826654620522,0,4.1471279257826e-15,5.22434012775061e-16,1.2826654620522e-14,0.587303268984449,0.354646928489133,0.899111081398371,0,0,0,97,16.7561530628062,1.53421742207391e-15,,0.763354237743548,0.522434012775061,4.1471279257826,12.826654620522,12.458066224415,99987.1733453795,99995.8528720742,99999.4775659872,99991.901635846,0.217310049147232,0.564645391166806,1.46714070065809,0.552140732992933
AK,2020-04-07,3.14403078416229,4.1471279257826,0.522434012775061,12.826654620522,0,5.88148746689043e-08,7.67744494832067e-09,1.79050139426789e-07,0.575186897555858,0.344803127304253,0.883099439112463,0.641978640991388,0.080873193094404,1.98557615031727,98,0.974258342820371,5.9489793999291e-08,1.16611157844845,0.649156052845706,1.04486802555012,8.2942558515652,25.6533092410441,0.96253519460969,99974.346690759,99991.7057441484,99998.9551319745,99990.1486698164,0.211225611446348,0.551737396238668,1.44118013115823,0.517111696419313
AK,2020-04-08,1.77706087800477,4.1471279257826,0.522434012775061,12.826654620522,0.136696990615752,1.41155699205371e-06,1.84258678759696e-07,4.29720334624291e-06,0.587303268984449,0.354646928489133,0.899111081398371,2.97475246502808,0.374744135008533,9.20061380630343,99,1.46846272060599,8.425533707968e-07,0.488070623336909,0.643069265451639,1.56730203832518,12.4413837773478,38.4799638615661,3.56629319688609,99961.5200361384,99987.5586162227,99998.4326979617,99993.1425423265,0.217253593478236,0.564570002570849,1.46713010680203,0.404086970773474
AK,2020-04-09,1.23027291554176,4.1471279257826,0.522434012775061,12.826654620522,0,7.94000808030207e-06,1.03645506802329e-06,2.41717688226164e-05,0.599611496184061,0.364260376794365,0.916403113835149,6.54486542147943,0.824488746527152,20.2426184582363,100,1.84869557134804,2.73089352998282e-06,4.67451865550873,0.445636037055788,2.08973605110024,16.5885117031304,51.3066184820882,13.2260476434073,99948.6933815179,99983.4114882969,99997.9102639489,99952.4972934166,0.223137948622084,0.577608089537873,1.49517868726419,0.747887370403461
AK,2020-04-10,1.50366689677327,4.1471279257826,0.522434012775061,12.826654620522,0,3.02308455798168e-05,3.94620670343682e-06,9.20317716653691e-05,0.599611496184061,0.364260376794365,0.916403113835149,10.6685642969316,1.34397128710298,32.9968093539703,101,1.17179855992024,5.95932087835361e-05,1.0002983093505,0.518300159353575,2.61217006387531,20.735639628913,64.1332731026102,6.25965654107099,99935.8667268974,99979.2643603711,99997.3878299361,99961.7731330266,0.223108896283713,0.577569516688381,1.49517366704844,0.779784645501809
AK,2020-04-11,1.50366689677327,4.1471279257826,0.522434012775061,12.826654620522,0.136696990615752,8.93397946220656e-05,1.16620388764991e-05,0.000271977161789291,0.711968235400871,0.449129647881418,1.06089897964528,14.8156922227143,1.86640529987804,45.8234639744924,102,1.19439701321752,9.2450513440441e-05,7.36426018422672,0.793929238597587,3.13460407665037,24.8827675546956,76.9599277231323,10.6462634517899,99923.0400722769,99975.1172324453,99996.8653959234,99973.811343222,0.275475492871063,0.689999682091265,1.72828281864219,0.393115245409327
AK,2020-04-12,2.05045485923627,0.876316062102594,0.140235466124423,2.53818816141732,0,0.000200646944932967,2.6191603441196e-05,0.000610829550654488,0.429947625018152,0.237998728326463,0.692294429277384,18.6562705801729,2.35022176239663,57.7019912386057,103,1.03686723458483,0.000159423752165764,12.1917787047238,0.299072372153229,3.27483954277479,25.7590836167982,79.4981158845496,13.4374156874885,99920.5018841154,99974.2409163832,99996.7251604572,99977.4019603819,0.145829176717136,0.405744768376189,1.12891549394108,0.283950679040205
AK,2020-04-13,0.683484953078758,1.31531588409377,0.225329129349678,3.58760515795179,0,0.000390307935390107,5.09495594913498e-05,0.00118821370809788,0.573455746545834,0.335081946755329,0.9007950585356,21.5172080362486,2.72259669072031,66.5785551601188,104,0.827843833012067,0.000299071313265862,36.7172896999059,0.807249392898589,3.50016867212447,27.074399500892,83.0857210425014,24.5248177846006,99916.9142789575,99972.9256004991,99996.4998313279,99955.0828363516,0.205113791229681,0.549161924781734,1.47030006038102,0.434662252590642
AK,2020-04-14,1.09357592492601,1.50506441027756,0.259965330787819,4.09198284615105,0.136696990615752,0.00068349807026294,8.92308213005245e-05,0.0020807419688474,0.622802511591883,0.368655133174451,0.967910278705391,22.5847291212336,2.90070310358488,69.645768124488,105,1.14826278009484,0.000271897366319529,31.5508910878949,0.839609093784725,3.76013400291229,28.5794639111695,87.1777038886525,64.6400520796981,99912.8222961114,99971.4205360888,99996.2398659971,99965.0523940906,0.225658584158276,0.597076724859899,1.57982297327264,1.29606489320334
AK,2020-04-15,1.09357592492601,1.74439134466595,0.300491510277211,4.72255156794309,0,0.00109799224025799,0.000143382370337417,0.0033422369584461,0.723472039518005,0.440655669404396,1.10276312748762,22.3707633860562,2.93213082713125,68.4972596858237,106,5.55106089430621,0.000654508620642009,12.4671297514783,0.962988274237339,4.0606255131895,30.3238552558355,91.9002554565955,19.5097775439598,99908.0997445434,99969.6761447442,99995.9393744868,99969.9329015156,0.269847338072038,0.696758588820279,1.7990636282105,0.776007968348941
