state,date,numDate,Time,Iter,CumInfected.2.5.,CumInfected.50.,CumInfected.97.5.,CumInfected.Random,D_pos.2.5.,D_pos.50.,D_pos.97.5.,D_pos.Random,N_dtCumInfected.2.5.,N_dtCumInfected.50.,N_dtCumInfected.97.5.,N_dtCumInfected.Random,N_I_tot.2.5.,N_I_tot.50.,N_I_tot.97.5.,N_I_tot.Random,N_pos.2.5.,N_pos.50.,N_pos.97.5.,N_pos.Random,Refft.2.5.,Refft.50.,Refft.97.5.,Refft.Random,Rt.2.5.,Rt.50.,Rt.97.5.,Rt.Random
AL,2020-03-11,71,11,387,7.72681225,28.66915,215.08095,20.4417,6.07096611692196e-05,0.000918444847583765,0.00550989509879802,0.00246343958059914,1.66219681696693,5.3912915788411,41.3782266016885,3.80799419153061,5.23852862985998,20.4004132008072,143.050705816729,13.4550501357791,0.000788274254387709,0.0297650404787908,0.112588980428028,0.112986966634953,2.40878775,3.175025,4.0089595,2.66595,2.410772,3.17908,4.01599025,2.66753
AL,2020-03-12,72,12,97,9.54497775,34.32745,257.619475,45.3258,7.75691718750159e-05,0.00112023307299235,0.00556803587871965,0.00173010196433543,1.97164980517766,6.08264831940871,46.6836454263912,8.01872660321811,6.26130872076008,23.3611417884498,166.831442215621,29.7484186299314,0.00235685681857813,0.0424764719259012,0.131601999516641,0.0410639206964453,2.358167,3.107245,3.96433725,3.11143,2.360295,3.11017,3.97310375,3.11581
AL,2020-03-13,73,13,102,11.59242,40.86915,305.70365,18.2252,8.825457840159e-05,0.00129688049706466,0.00591126176148768,0.00119676088093759,2.33036995340784,6.83184501502595,53.2580353382546,3.25282443962445,7.46477391736188,27.068323956775,189.686331435587,11.070742792695,0.00747518347767829,0.0597405563934463,0.172259281467046,0.0528795058722035,2.27249175,3.020005,3.90021675,2.57844,2.275306,3.02478,3.908063,2.57933
AL,2020-03-14,74,14,213,13.9605025,48.3308,369.9388,61.44,7.73089124721992e-05,0.00152752139680636,0.0067227103403196,0.00163953226321259,2.71035969476983,7.7302814395133,62.8366357785805,8.93935268606018,8.84593738559732,30.8967538446948,222.209849312232,46.3506883790842,0.0160544921311352,0.082957914090535,0.215723147301193,0.0775565270329388,2.17171625,2.92534,3.80638125,2.7586,2.17382325,2.932395,3.81393725,2.76213
AL,2020-03-15,75,15,89,16.975955,56.3817,433.4171,22.1972,0.000109234767809087,0.00185963817396243,0.00741613716390468,0.000601557966913343,3.11502778296148,8.66812082350554,70.9226655734996,3.86989273298886,10.4879715939741,34.916284007232,264.591280973489,11.9058734271703,0.0274572242328201,0.111814157532298,0.269434918323498,0.0666407651353151,2.05389775,2.799,3.686532,2.78592,2.05601575,2.800805,3.68863175,2.78735
AL,2020-03-16,76,16,325,20.5239525,65.4579,501.046025,695.102,0.000149249752966694,0.00230381884428183,0.00825199079781815,0.00963549203221987,3.5786453091205,9.57682608345392,80.2785791276486,101.546035892996,12.1082316902177,39.4411999547233,302.439995635489,524.642655743155,0.04806331496772,0.152627118903325,0.32934969820637,0.245265067502042,1.937272,2.64799,3.53180025,3.71398,1.93913025,2.65351,3.55039725,3.75875
AL,2020-03-17,77,17,78,24.51813,75.1697,574.775725,21.7671,0.000232903408702711,0.00282057478965203,0.00956974548176338,0.00220307820324952,3.98145185221443,10.4866632607173,91.0541974247351,3.84751952047496,13.9389636532173,44.1934171360045,340.080325339549,12.2492624691909,0.081660074013116,0.20907736501886,0.409315883451267,0.210224578513762,1.80117475,2.46584,3.34767775,2.39294,1.80436375,2.473095,3.36228525,2.39536
AL,2020-03-18,78,18,461,28.96222,86.47715,659.156175,105.093,0.000336452020472407,0.0035024377012085,0.0108817243281663,3.8270634291792e-05,4.47081437881703,11.5298117448149,98.8213120655247,14.0284937239774,15.9898810671023,49.1019612761909,380.681995478449,55.3154735136447,0.139786434735789,0.28413673969063,0.510535294915448,0.170433503936727,1.66508525,2.28774,3.06099575,2.12006,1.66802225,2.29176,3.083442,2.12607
AL,2020-03-19,79,19,371,34.344375,98.8063,769.409899999999,51.2451,0.000545412777612919,0.00440556495420834,0.0130653391621976,0.00453134034306272,4.95820012909976,12.3957998729397,104.283751275956,6.61663796083566,18.1956738324171,54.4621506225035,423.802997439419,24.6460209027398,0.220205692830273,0.383779115003819,0.635917062072918,0.34100283795125,1.512282,2.104495,2.84534525,1.83143,1.52232525,2.107275,2.86887975,1.83393
AL,2020-03-20,80,20,269,39.7417025,112,895.410499999998,363.841,0.000885350185644637,0.00547091329411393,0.0155110397629296,0.00668738789174792,5.40910092113596,13.0630396364812,108.323722233609,46.6613028062372,21.1774234502675,60.0092592875855,472.075191941564,179.534323098149,0.331232148083338,0.50675224369466,0.773463422244929,0.439563263470581,1.3883955,1.921265,2.62071225,1.83185,1.4030435,1.92604,2.63040025,1.84613
AL,2020-03-21,81,21,381,46.0014825,126.012,995.301799999998,716.804,0.0013787888892628,0.00675937171450802,0.0183130123582936,0.00725034849796612,5.84864735880861,13.8742470455428,112.146324276975,91.3583721601367,23.9028458032891,65.2690037190112,504.172797885456,371.109799038788,0.479631198904386,0.658330248603714,0.935980796155968,0.758765985782711,1.270021,1.752795,2.3782205,1.8298,1.2797555,1.763695,2.3875375,1.85527
AL,2020-03-22,82,22,183,52.201555,140.0565,1096.23125,119.28,0.00207078868123475,0.00844994631040844,0.021041782025357,0.00203704938728602,6.28523908439106,14.623229594641,112.812284260129,11.3835802646647,26.5424616856186,70.9144158337897,539.877294044585,56.2974882652806,0.65173489272789,0.839362577589873,1.14298976073715,0.743677833897762,1.1304065,1.59165,2.1582325,1.52266,1.14844725,1.59919,2.17442175,1.52702
AL,2020-03-23,83,23,61,58.818755,154.8705,1207.13925,259.906,0.00308712704089281,0.0105279527490804,0.0243810706714105,0.0104271815156883,6.67717718177063,14.9904908748089,112.515074385323,23.0770407398456,29.2133582559092,76.0701462416776,575.348166548885,142.446797336833,0.814280411610005,1.04332999876611,1.4297094133711,0.914548400682414,1.014565,1.466135,1.91727025,1.36781,1.02337825,1.470785,1.9310345,1.37596
AL,2020-03-24,84,24,3,66.090435,169.73,1325.49925,504.93,0.00464240845491247,0.0129372744450801,0.0275456514490071,0.0163307523579061,7.0448626759953,15.3968185985232,110.131516555055,50.2083849579406,31.7173735031413,80.9769568148051,607.753990518407,236.568679338022,1.00944294371924,1.26658386334597,1.68675014301928,1.11836489954999,0.927957775,1.372995,1.7399345,1.50444,0.941282225,1.377825,1.7480005,1.51664
AL,2020-03-25,85,25,387,73.2205625,184.6385,1435.4525,142.246,0.00683753213472468,0.0159334493803518,0.0310800173764604,0.0231443439315465,7.46812480051232,15.8187382283149,106.20160671074,14.1884917660663,34.2426300455724,86.1987667199993,627.735951223541,63.204019428188,1.20998228702364,1.49932237922901,1.96253623919962,1.50029419652736,0.851237275,1.30461,1.60181725,1.61349,0.863876875,1.31123,1.61396775,1.62123
AL,2020-03-26,86,26,148,80.814555,200.142,1527.698,142.637,0.00963506934778109,0.0194046930719522,0.0363583160741436,0.0101330869628619,7.8100137971543,16.0649659354073,102.24420453236,12.9136265509052,36.8859781958054,91.2711839345242,633.873492433999,68.9125537788193,1.42009872154528,1.7504948314208,2.27995833320587,1.92751650202878,0.79473385,1.250605,1.4910325,1.28548,0.81211165,1.25841,1.4987375,1.29037
AL,2020-03-27,87,27,39,88.787575,216.4855,1611.72,271.757,0.0129607882427443,0.0234559781040283,0.0413680291484005,0.023816152154161,8.12591662358243,16.3602128004552,98.3359744737348,18.5283443312867,39.2148419853626,95.5168936109896,634.626727321119,108.269216845785,1.62234282410311,1.99650941173951,2.59436417349131,1.84314277352374,0.778108925,1.20963,1.4066435,1.09949,0.791796075,1.2174,1.41356925,1.1087
AL,2020-03-28,88,28,211,97.0686,233.5585,1691.12975,2790.66,0.0166496715910169,0.0279035973555964,0.0465820227056495,0.0204444661990115,8.44294983770753,16.7078643779503,93.105078637661,170.374154758591,41.3260309370338,98.9613893826156,631.448589029376,971.588875394259,1.81750923124459,2.24775324610432,2.88322896239893,2.11615511142247,0.747911375,1.178185,1.341824,0.887081,0.77265045,1.18774,1.350865,0.922977
AL,2020-03-29,89,29,439,105.635725,250.1605,1785.16425,323.401,0.0212079750203184,0.0326719265130726,0.0525071152730317,0.0301377573964678,8.77076430932139,16.9915371335163,86.2607621372638,19.3900699239372,43.8746192525879,102.29748622579,624.256937072535,147.838190890207,2.02596526543461,2.48728122638652,3.17314612848587,2.83303607756999,0.716970225,1.15656,1.30160775,1.10412,0.736804,1.165085,1.31007375,1.11676
AL,2020-03-30,90,30,194,114.4696,266.8605,1873.18925,235.223,0.0258847412447215,0.0381788572121998,0.0580805384663234,0.0376104511659258,8.98428419486518,17.2820931700517,80.6050149035779,15.6755455892445,46.4475437904138,105.48225286217,613.835853633913,93.1498607537754,2.22852645780243,2.72128218698662,3.45107567836009,2.45059078945624,0.706575225,1.140715,1.267206,1.16095,0.72691045,1.152405,1.27785575,1.17695
AL,2020-03-31,91,31,483,123.696075,283.4115,1958.08675,129.891,0.0308662634593637,0.0442373681596758,0.0655602429849169,0.0466545724870671,9.23275330219031,17.572078149203,77.26296784641,10.1190144773244,48.6384513331641,108.748191226723,600.932710064987,46.8913573524148,2.44775028884287,2.95511998833411,3.6687887566959,3.06041889098617,0.7005957,1.12569,1.23799575,1.16958,0.72142525,1.136355,1.251804,1.175
AL,2020-04-01,92,32,478,133.214675,301.006,2040.9675,141.943,0.0359841205257399,0.0499311162030395,0.072921162468885,0.0345689587482422,9.43820445281995,17.845869572533,73.9511511395144,9.194268623354,50.7478455330566,111.403710037455,588.31677776792,47.5478693950973,2.65004022895322,3.17070434829606,3.91443928793223,3.28211152546763,0.69528225,1.11186,1.222846,1.04951,0.716624125,1.121655,1.238199,1.05625
AL,2020-04-02,93,33,92,142.865475,318.041,2112.8125,286.314,0.0413202387835662,0.0564118017166393,0.0799780601792508,0.0489485915787391,9.5977487082376,18.1204665946726,71.4018439035035,18.0340737704166,52.8710215910679,114.381774295687,573.527768175175,86.5861679704111,2.83836424691298,3.35628780068466,4.13643886575767,2.94769624234044,0.690054525,1.099895,1.20938,1.09277,0.711905875,1.11051,1.22565625,1.10126
AL,2020-04-03,94,34,121,153.20735,336.4915,2182.038,370.515,0.0469668796914659,0.0620728159349484,0.0881978754625819,0.0498367897601253,9.74931447620271,18.3475536819435,70.2253688163918,20.3957223722947,54.8655414796709,117.548695388814,557.334314328339,116.371093483114,2.99858408361096,3.53507974918344,4.29804249686683,3.67114436840543,0.684719975,1.09136,1.20164175,1.10251,0.707066925,1.10303,1.21671025,1.11481
AL,2020-04-04,95,35,388,163.4575,355.943,2248.82875,330.592,0.0520764666232255,0.0681065470709345,0.094990016693231,0.0665290010472785,9.89450326675416,18.6907081825385,68.279470385066,16.7106686776045,56.7689777155053,120.037077940155,541.221726286077,116.652747142929,3.16963208608282,3.70973153164729,4.46316169999704,4.61538775306255,0.67923635,1.08274,1.19399025,1.0395,0.7020616,1.096805,1.20686975,1.06013
AL,2020-04-05,96,36,65,173.741925,374.7745,2313.30375,217.089,0.0576824553835925,0.0739216448084255,0.10214298970975,0.0839425801800258,10.0477852661076,18.9153376835669,67.9303758679308,14.2097432587186,58.4744252970263,122.29683358878,525.33822403193,67.8609923957591,3.33262512020248,3.86577296186051,4.62104937912806,3.76124906565834,0.67360595,1.0763,1.18582225,1.10904,0.69689235,1.091585,1.20191725,1.11967
AL,2020-04-06,97,37,174,184.250325,393.841,2375.57675,538.07,0.0632311905424739,0.0793677986859562,0.110527876268181,0.0784620608849146,10.1997263003537,19.0558483924225,66.0799001057476,25.9129524992428,59.9973282672386,124.835693533897,510.063305790012,138.617245729052,3.47953422112362,3.99221118517861,4.77523946169684,3.9016883923409,0.667846675,1.071735,1.18088175,1.16222,0.691572075,1.08621,1.1986025,1.18797
AL,2020-04-07,98,38,423,194.90165,413.45,2445.0415,274.902,0.0680915721107811,0.0848791142899972,0.117269494216514,0.0772136886533957,10.3449467030104,19.2421456665412,63.1902936560623,12.8173421969597,61.4845197560361,127.119413197748,494.329196226534,81.7780687451116,3.59354276862896,4.12507380406817,4.95337316458588,4.31105495713501,0.66197575,1.068115,1.176047,1.05099,0.6861201,1.08266,1.19594975,1.05602
AL,2020-04-08,99,39,378,205.67115,433.154,2519.392,386.455,0.0732212582229714,0.0901090821578219,0.122335206605502,0.0806428882450897,10.4889933787936,19.4572711411052,61.8361891301266,18.1917671880625,62.821334499922,129.155844619365,483.591277914254,101.142012793725,3.7065030179363,4.24904424369058,5.0534647377164,3.95267565878098,0.656016075,1.064365,1.170241,1.09055,0.6805558,1.078215,1.1953905,1.10644
AL,2020-04-09,100,40,467,216.559175,454.696,2592.251,608.25,0.0779255626699788,0.0951051204472195,0.128532953580173,0.090988816452979,10.6327091472176,19.4755041875842,60.0775210398955,27.348346024064,64.1157482330363,131.128032085267,475.164051529771,134.163609980044,3.82450794738522,4.34037263533805,5.15354203441233,4.39432736068494,0.6499894,1.060445,1.1678085,1.13833,0.674498325,1.07513,1.19447075,1.15632
AL,2020-04-10,101,41,303,226.977,475.6275,2663.6105,502.122,0.0817869099371123,0.100199258237248,0.133850543065375,0.0988959217325065,10.7520091532341,19.5424198760602,58.0311827924094,23.4700505895658,65.2169508187026,132.937468196693,465.598024549349,122.218517147528,3.91099815732019,4.42158515332381,5.24145071009966,4.59154610727517,0.6439202,1.05733,1.16624325,0.988324,0.666768825,1.072605,1.193685,1.00418
AL,2020-04-11,102,42,107,237.745525,495.782,2733.46625,1323.35,0.0856053463208099,0.104791579350973,0.13855159962351,0.111443072207147,10.8521109238179,19.6497276770099,56.7545228254696,30.2415674709398,66.256448614523,134.321976429606,456.004923330447,394.688350531338,3.97455378493775,4.48931663806281,5.32340101383081,4.49036697575148,0.637833375,1.054915,1.16490525,0.770303,0.658933625,1.06928,1.1932605,0.789511
AL,2020-04-12,103,43,130,248.156425,515.6815,2801.81025,1297.55,0.0896641468759592,0.10954328665959,0.144200764401098,0.14020335761347,10.9276454998129,19.7503153562429,55.5885205228846,29.746990986471,67.5129329201325,135.350389593703,444.822498029342,204.864797065581,4.03366077355841,4.56251395776419,5.42942444553897,4.67396192474891,0.632175975,1.050415,1.1637435,0.718893,0.651683125,1.068335,1.19294775,0.731568
AL,2020-04-13,104,44,342,258.789925,535.984,2868.653,325.978,0.0936923805648778,0.113917790171083,0.148980682964237,0.100712700010299,10.9979977300469,19.8371364735371,54.4168892260847,12.7123288229997,68.8594964293618,136.808829362955,433.503222905112,82.1131570601558,4.07273639481276,4.62846088817779,5.49718040416586,4.60951401996865,0.6338663,1.048865,1.16242875,1.07233,0.651715675,1.064825,1.19276475,1.0918
AL,2020-04-14,105,45,40,269.899175,555.0295,2933.976,731.359,0.0972371478946848,0.11815258857253,0.153438489471639,0.108988953098853,11.0598473237294,20.0528635978451,53.2769771077371,25.9665911035378,69.9633146617964,138.374342391731,425.603306830152,153.764950741202,4.11712335961217,4.69404071027302,5.56831579881241,4.7503816396893,0.638376125,1.04716,1.160102,1.0141,0.65681815,1.06433,1.192701,1.03628
AL,2020-04-15,106,46,114,281.187125,574.4225,2998.06975,375.776,0.101231342484528,0.122077486368554,0.157589801323018,0.126559776961302,11.160212188608,20.2149725127647,52.6064639616902,12.0001590802713,70.8346666503508,139.508605120957,417.013533040259,119.891866205334,4.1814815268035,4.7525129074265,5.62390517592137,4.79331291803185,0.651100325,1.045225,1.15909975,1.02632,0.672581575,1.06321,1.19265725,1.04044
AL,2020-04-16,107,47,227,292.6427,595.158,3040.03975,676.037,0.104938504257947,0.125502606978933,0.161436265407077,0.150937400893501,11.261243457059,20.3238303266142,51.9481673646823,22.9375395788656,71.6386695586644,140.932475523563,407.895990055444,118.332063750399,4.22809204629236,4.80649822513326,5.67979129892101,4.80877225721648,0.67015925,1.04597,1.1582805,1.07847,0.68787905,1.064135,1.192623,1.09116
AL,2020-04-17,108,48,327,304.213975,614.7865,3077.54675,1010.09,0.107495056784519,0.129137591177979,0.165640619311733,0.114663631904568,11.3803690866243,20.3472742717234,51.4949109609366,28.8904049102777,72.5271430712894,142.181255653213,398.781404332082,220.542361750576,4.25781405351828,4.8494295034758,5.72526429249559,4.79135500700055,0.677213675,1.04739,1.15702725,0.955227,0.7022989,1.064125,1.19259875,0.989613
AL,2020-04-18,109,49,415,315.899425,634.9255,3113.88375,606.494,0.110384219644986,0.132455026681637,0.169011453779533,0.122295201996253,11.4440435145727,20.3653441589497,51.1768116030702,21.2643414433679,73.387262565047,143.710261799218,393.671766413056,117.428977287212,4.28943125743777,4.88377452614984,5.78962347943225,4.73388216026929,0.67824425,1.04679,1.15560525,1.08055,0.708944775,1.06449,1.19257925,1.0974
AL,2020-04-19,110,50,297,327.698,656.223,3149.07025,572.884,0.112970666005872,0.135481324893921,0.171524570253825,0.127651924208448,11.4965277671554,20.5178878626852,51.1315807990113,15.3050721112909,74.2193798520758,145.116490607636,382.753659101176,121.127797543841,4.33282702977758,4.92143372114248,5.84099264049796,5.08155413267091,0.687147,1.047085,1.15486525,0.986739,0.7097357,1.067905,1.19256975,0.996647
AL,2020-04-20,111,51,298,339.611175,676.4695,3183.15,644.259,0.11509978717915,0.138308160919892,0.173731217565725,0.157485185649736,11.565321826527,20.6275104855313,50.3605207635445,20.8782658618837,74.5988729774626,145.878852215448,378.996917309871,115.423546123591,4.35182794448914,4.94438818849381,5.87365610312481,5.15381328666979,0.6916209,1.04726,1.15422175,1.05709,0.716266775,1.068035,1.19255975,1.07517
AL,2020-04-21,112,52,257,351.63695,696.7725,3216.16825,788.39,0.117374558577741,0.141107667771051,0.176047558882645,0.127183453204397,11.5798950070209,20.8380878959289,49.5864167882713,24.5644412764356,75.4349519750937,146.974874494844,370.761556009002,134.939024328064,4.38584817827596,4.988298422352,5.91470748095371,4.79580109663413,0.69710235,1.04631,1.15484,1.09721,0.725115275,1.070085,1.192555,1.12102
AL,2020-04-22,113,53,116,363.777325,716.6125,3248.384,538.933,0.119123880702033,0.14325749487323,0.178988846025594,0.137171450801877,11.6648958789032,21.0241914184352,48.8367968983426,15.6510105166336,76.1376074939045,147.874289874847,365.345841529536,94.7653413036628,4.42581199771169,5.0285477704798,5.9398880523578,5.06297437278014,0.711443275,1.048935,1.155067,1.03356,0.739174975,1.072855,1.19255025,1.04391
AL,2020-04-23,114,54,78,376.0375,738.1155,3280.20199999999,399.628,0.120885817076043,0.145438934080603,0.180916766346773,0.13791402935031,11.7878409645975,21.1134191347053,48.3960374736013,14.1690962099125,76.6230164678673,148.487666690121,364.623097027748,80.1613645008296,4.45379126017069,5.05428614257875,5.94775538756951,5.29698553083353,0.7193931,1.051035,1.1555815,1.0684,0.745892875,1.075285,1.19255025,1.0913
AL,2020-04-24,115,55,181,388.420575,759.349,3311.91999999999,1246.29,0.122804161988585,0.148078850787804,0.182882294875678,0.167685290275607,11.8816942456791,21.2156995911841,48.2681920017295,27.6273483460241,76.5305765538115,148.932275653478,364.015277824516,162.741564921577,4.45337724356719,5.08268604998588,5.96609346781735,5.2750610062643,0.7321821,1.05505,1.1574515,0.931055,0.761860325,1.078265,1.1925455,0.95423
AL,2020-04-25,116,56,304,400.938875,781.3785,3343.75349999999,616.934,0.124527725345872,0.150024116977026,0.184879766927008,0.132153895886041,11.9549736548794,21.4041485279466,48.1975287491702,18.2905805104233,77.0213442894772,149.323042063475,363.370798776713,114.924686708741,4.4868203014979,5.11021917386352,5.95459328987179,5.1823049711565,0.75036505,1.05782,1.1600995,1.10599,0.78239705,1.083545,1.193818,1.13731
AL,2020-04-26,117,57,357,413.60125,804.255,3375.86899999999,449.377,0.125888402130452,0.152101338211795,0.187165388415897,0.156585974218799,12.0365165703517,21.604630459589,47.6366280285162,13.4784226987152,77.5196326469428,150.237447699811,364.031491775244,80.1501473022127,4.53049803342113,5.14077074391442,5.94556650422124,5.14245332370694,0.761250225,1.06332,1.1635455,1.09441,0.802070475,1.08876,1.1953745,1.11148
AL,2020-04-27,118,58,183,426.403975,826.8105,3408.37549999999,730.175,0.127215957586752,0.154108298993409,0.189315174728263,0.131282013629916,12.1213553027267,21.7622830874218,47.1707369801466,22.0778942666858,78.0294492253505,150.888759041317,365.440371921516,142.634022579201,4.54851438401774,5.18497670391796,5.92844243078734,4.99799620042891,0.777582525,1.067745,1.164712,1.17951,0.817139975,1.09342,1.199401,1.2028
AL,2020-04-28,119,59,306,439.363375,847.001,3441.37199999999,784.33,0.128937170431057,0.155422546773169,0.19077105493674,0.157288782699409,12.2099956456874,21.8578332247305,46.7759170824678,20.5115654416466,78.5716733103075,152.235332748,364.194192142454,144.998200149495,4.59204935159493,5.22139180960947,5.96397800613275,4.91156258635968,0.790393175,1.07309,1.1662015,1.12066,0.83131605,1.09978,1.19976625,1.13876
AL,2020-04-29,120,60,389,452.491525,869.1945,3474.92324999999,930.079,0.130583233143355,0.157294391298717,0.19243103207405,0.162809276011409,12.309634451892,22.0188510121482,46.4427866784549,25.2344139574583,79.0667800623472,153.082945065299,361.125829435357,135.815189514571,4.63165269105694,5.25536972396514,5.98057028237768,5.78140535182744,0.803667975,1.07615,1.172477,1.08742,0.840404425,1.10352,1.205681,1.11068
AL,2020-04-30,121,61,304,465.799,890.5675,3507.13524999999,710.425,0.132361939229297,0.158757623871014,0.193984751748098,0.140417912030649,12.4199275572918,22.2723597008883,46.5261355629045,19.1070090155685,79.6109926506954,154.320915894465,360.16716685175,120.599569463522,4.65505329698961,5.28882756820312,6.00542147604057,5.42875702222127,0.81771485,1.0801,1.17435775,1.10307,0.8551858,1.10916,1.21112025,1.13731
AL,2020-05-01,122,62,220,479.29285,914.085,3540.26124999999,602.938,0.133180091104048,0.160111131845933,0.194722272359701,0.170144916008676,12.6241973329581,22.492114819245,46.7112856235284,15.1933896028806,80.2409505250159,155.442839705212,359.635471637313,97.9292031608026,4.6640494902803,5.32264232330618,6.03209852371469,5.25246344977805,0.831220625,1.084105,1.18026625,1.11778,0.868679125,1.1154,1.21887525,1.13947
AL,2020-05-02,123,63,223,492.98165,937.5985,3575.12299999999,1007.68,0.134042494827342,0.161137505519372,0.197422741544527,0.14872271798841,12.8353233663425,22.7476629986427,46.8798699212859,18.0303822923263,80.8769452916829,156.639408874028,359.365137150648,133.546664056119,4.69128331890394,5.36665453169725,6.07608064961856,4.99234681130734,0.84412265,1.08906,1.1910955,1.02555,0.8838753,1.12038,1.225837,1.04561
AL,2020-05-03,124,64,48,506.87545,960.704,3609.71799999999,984.675,0.135117280910265,0.162217721746171,0.199773718511539,0.162200488050114,13.0087871454983,22.9970927060676,46.7522844844728,22.5828721535084,81.6480206233295,158.151589222108,360.561043485,271.392982316596,4.7373752978931,5.41326709067678,6.12150214605405,5.27285835635408,0.8570902,1.09372,1.20380425,1.17485,0.900272675,1.12472,1.2337665,1.21414
