state,date,numDate,Time,Iter,CumInfected.2.5.,CumInfected.50.,CumInfected.97.5.,CumInfected.Random,D_pos.2.5.,D_pos.50.,D_pos.97.5.,D_pos.Random,N_dtCumInfected.2.5.,N_dtCumInfected.50.,N_dtCumInfected.97.5.,N_dtCumInfected.Random,N_I_tot.2.5.,N_I_tot.50.,N_I_tot.97.5.,N_I_tot.Random,N_pos.2.5.,N_pos.50.,N_pos.97.5.,N_pos.Random,Refft.2.5.,Refft.50.,Refft.97.5.,Refft.Random,Rt.2.5.,Rt.50.,Rt.97.5.,Rt.Random
AL,2020-03-01,61,1,283,0.0798937175,0.3417335,2.46892625,0.274074,2.03949065760317e-17,2.03949065760317e-17,2.03949065760317e-17,2.03949065760317e-17,0.150906716756557,0.648269441189757,4.68219993738763,0.516859959393741,1.00168227386892,6.47665751955107,49.7439164543047,5.15911596237956,8.65297046715554e-11,2.45242633104808e-06,0.000168106230949883,2.97106880527657e-06,2.53355525,3.36877,4.25036125,3.13638,2.533688,3.368905,4.2503955,3.13645
AL,2020-03-02,62,2,335,0.289586275,1.24494,8.9722165,1.79473,2.03949065760317e-17,2.03949065760317e-17,0.000215154720860009,2.03949065760317e-17,0.263576838320398,1.13402410881906,8.17784715445164,1.64066622001821,1.0657058116306,6.55479040664385,49.633671786808,14.4599071827802,7.12894169810032e-10,1.59031119568199e-05,0.00512879587451829,3.65762254534553e-07,2.53202925,3.36569,4.23948925,2.80517,2.53229525,3.365895,4.23956825,2.80543
AL,2020-03-03,63,3,405,0.60480515,2.587195,18.606965,2.78358,2.03949065760317e-17,2.03949065760317e-17,0.00119291786869147,2.03949065760317e-17,0.362059304309342,1.53640235887489,11.0145221932274,1.64917905402305,1.21763853495228,6.97175407413752,52.9140497452166,9.9948910759027,4.11392798762437e-09,8.0411202106386e-05,0.0174992698623446,6.13227932456148e-06,2.5301925,3.360965,4.22991525,3.64532,2.530587,3.361445,4.23105975,3.64565
AL,2020-03-04,64,4,100,1.01461625,4.307935,30.8953525,3.01862,2.03949065760317e-17,2.03949065760317e-17,0.00258259223341563,2.03949065760317e-17,0.460973428495968,1.90859920643419,13.5297923696536,1.35130532500813,1.43352458656975,7.6722477328512,58.7574556130351,4.74777109164757,1.40770167758304e-08,0.000321075994481138,0.0237039444769063,7.77066335453384e-05,2.5279035,3.35356,4.22201875,3.32017,2.52843125,3.354345,4.22493175,3.32052
AL,2020-03-05,65,5,491,1.53071725,6.41291,45.6337249999999,5.51001,2.03949065760317e-17,8.10861715395197e-05,0.0031399345527448,4.85814832603706e-05,0.565144492814365,2.28290386758811,16.4900161833583,1.96766999409567,1.71208597064969,8.65447663100617,66.7914274089188,8.53227035080259,4.06413688245498e-08,0.00118924535786433,0.0267519683634209,6.14053926172478e-05,2.5249835,3.34236,4.21320425,3.7902,2.5256645,3.34303,4.21707575,3.7907
AL,2020-03-06,66,6,110,2.159187,8.88313,63.2827999999999,7.31551,2.03949065760317e-17,0.000301526456782683,0.00365818544476702,0.000376530765206697,0.685369254882286,2.69127108195999,19.8413072319319,2.19528734893748,2.03873268090027,9.75628086641642,75.8438902468496,8.50765369856532,1.82190642408965e-07,0.00254944490163027,0.030727644378093,0.0288443124214159,2.51869925,3.320775,4.202081,3.17352,2.51938725,3.321965,4.20437525,3.17422
AL,2020-03-07,67,7,392,2.9225455,11.82405,85.0118549999998,11.2772,2.03949065760317e-17,0.000420476690151402,0.00450257536682789,0.000659499896495849,0.822628148846107,3.15470454408716,23.4172022879006,3.03990161497068,2.4359294009914,11.2754056801854,84.2293376652115,8.94628695429604,5.95155648828262e-07,0.004806630792026,0.039039297925736,0.00393638012842673,2.50871475,3.30355,4.181678,3.20068,2.5095575,3.30421,4.1845595,3.20157
AL,2020-03-08,68,8,132,3.8354515,15.1908,110.93035,216.433,2.03949065760317e-17,0.000521334601896523,0.00431602111688627,0.00203076979555126,0.986125905916257,3.60480993476689,26.8766271311403,53.5225572765458,2.91441226468102,13.1371445295252,94.0536508412389,176.255637916987,2.92097432587186e-06,0.00862310926469224,0.0529906428168629,0.013049578998141,2.49109725,3.284865,4.1569015,3.40487,2.4925445,3.28557,4.1603285,3.42113
AL,2020-03-09,69,9,421,4.914399,19.2107,141.7521,13.6016,2.03949065760317e-17,0.000628516974170871,0.00536070329795837,0.000590151095665369,1.1700204560913,4.13641337212445,30.7515676035067,3.29389978146858,3.55869501150783,15.3519192116961,106.257366385319,10.3745830516287,2.01447293952808e-05,0.0144081856997034,0.065728404088363,0.027275944105719,2.46375425,3.26189,4.107662,3.41285,2.46937525,3.26414,4.11524025,3.41386
AL,2020-03-10,70,10,399,6.203753,23.75065,177.721575,17.6505,1.99171319254729e-05,0.000766124468075343,0.0058478397205082,0.000588831545209899,1.37547930579817,4.73087391154933,36.5458319439303,3.56751784809262,4.35026467490009,17.9164767390992,122.65228621804,12.7227506202601,8.01958573865763e-05,0.0208701078992532,0.0865705607681537,0.0189200081171728,2.448254,3.220235,4.05199975,3.24619,2.450485,3.223175,4.05656,3.2477
