date,numDate,location,areaCode,population,Cases_14,Tests_14,new_cases,new_tests,PositivePct_14,TestsPer1000_14,Cases_14_pop,Cases_pop,TestsPer1000,PositivePct
2020-03-31,91,England,E92000001,56287000,1389.35714285714,10412,2414,10412,13.3438065967839,0.184980546129657,2.46834463172161,4.28873452129266,0.184980546129657,13.3438065967839
2020-04-01,92,England,E92000001,56287000,1604,10363,3630,10314,15.4781433947699,0.184110007639419,2.84968109865511,6.44909126441274,0.183239469149182,15.551677331782
2020-04-02,93,England,E92000001,56287000,1818.92857142857,10830,3583,11764,16.7952776678538,0.192406772434132,3.23152516820682,6.36559063371649,0.209000302023558,15.4618205663768
2020-04-03,94,England,E92000001,56287000,2029.5,10868.5,3576,10984,18.6732299765377,0.193090766962176,3.60562829783076,6.35315436957024,0.195142750546307,18.4768754552076
2020-04-04,95,England,E92000001,56287000,2175,10911.8,2910,11085,19.932550083396,0.19386003873008,3.8641249311564,5.16993266651269,0.196937125801695,19.6211096075778
2020-04-05,96,England,E92000001,56287000,2501.57142857143,10717.6666666667,5107,9747,23.3406347330398,0.190411048140186,4.44431472377535,9.07314299927159,0.173166095190719,25.6650397924636
2020-04-06,97,England,E92000001,56287000,2671.78571428571,10767.2857142857,3176,11065,24.8139204733916,0.191292584687152,4.74671898357652,5.64251070407021,0.196581803968945,24.1462784842812
2020-04-07,98,England,E92000001,56287000,2794.64285714286,10786,2978,10917,25.909909671267,0.191625064402082,4.96498810940867,5.2907420896477,0.193952422406595,25.5990002486293
2020-04-08,99,England,E92000001,56287000,3055.92857142857,11090.7777777778,4788,13529,27.5537805612843,0.197039774331156,5.42919070376565,8.50640467603532,0.240357453763747,22.5879855970772
2020-04-09,100,England,E92000001,56287000,3198,11436,3798,14543,27.9643231899266,0.203173023966458,5.68159610567271,6.74756160392275,0.258372270684172,21.989960805886
2020-04-10,101,England,E92000001,56287000,3323.5,11614.5454545455,4263,13400,28.6149812147777,0.206345078873371,5.90456055572335,7.57368486506653,0.238065627942509,24.8022388059702
2020-04-11,102,England,E92000001,56287000,3445.07142857143,11691.6666666667,3841,12540,29.4660421545667,0.207715221395112,6.12054546977353,6.82395579796401,0.222786789134258,27.4726589200273
2020-04-12,103,England,E92000001,56287000,3560.21428571429,11590.3076923077,3672,10374,30.7171680013046,0.205914468568367,6.3251093249139,6.52370884929024,0.184305434647432,34.3186262359195
2020-04-13,104,England,E92000001,56287000,3623.92857142857,11479.0714285714,2999,10033,31.5698756121389,0.203938234913416,6.43830470877569,5.32805088208645,0.178247197399044,36.1200894192024
2020-04-14,105,England,E92000001,56287000,3726.78571428571,11566.5714285714,3854,11637,32.2203146999975,0.205492767931697,6.62104165133284,6.84705171709276,0.206744008385595,32.0253133478192
2020-04-15,106,England,E92000001,56287000,3695.21428571429,11808.7142857143,3188,13704,31.292266002105,0.209794700121063,6.56495156202016,5.66383001403521,0.243466519800309,26.9644942039863
2020-04-16,107,England,E92000001,56287000,3662,12076.7857142857,3118,15517,30.3226378825965,0.214557281686459,6.50594275765274,5.53946737257271,0.275676443939098,23.5999226654637
2020-04-17,108,England,E92000001,56287000,3691.21428571429,12336.3571428571,3985,14618,29.9214285300708,0.219168851472936,6.55784512536516,7.07978751754402,0.259704727556985,25.2511580634443
2020-04-18,109,England,E92000001,56287000,3736.78571428571,12533.7857142857,3548,13849,29.8137035327372,0.222676385564797,6.63880774297034,6.30340931298524,0.246042603087747,26.9823504533592
2020-04-19,110,England,E92000001,56287000,3629.64285714286,12643.5714285714,3607,11284,28.7074176600192,0.224626848625285,6.44845676113997,6.40822925364649,0.200472578037558,32.1662784220388
2020-04-20,111,England,E92000001,56287000,3574.28571428571,12749.0714285714,2401,12542,28.0356552578059,0.226501171293042,6.35010875386095,4.26563860216391,0.222822321317533,28.4985306512974
2020-04-21,112,England,E92000001,56287000,3582.07142857143,13143.8571428571,3087,16444,27.2528177203908,0.233514970470218,6.36394092520729,5.48439248849646,0.292145610887061,21.7834555374083
2020-04-22,113,England,E92000001,56287000,3455.78571428571,13337,3020,16233,25.9112672586467,0.236946364169346,6.13958056795657,5.3653596745252,0.288396965551548,21.2886448240357
2020-04-23,114,England,E92000001,56287000,3404.78571428571,13508.7142857143,3084,16947,25.2043654360677,0.239997055904814,6.04897350060532,5.47906266100521,0.301081954980724,20.0907872442657
2020-04-24,115,England,E92000001,56287000,3314.85714285714,13800.7857142857,3004,17489,24.0193363731879,0.24518602366951,5.88920557652236,5.3369339279052,0.310711176648249,18.9539547307287
2020-04-25,116,England,E92000001,56287000,3242.35714285714,13964.7142857143,2826,14835,23.2182132517672,0.248098393691515,5.76040141215048,5.02069749675769,0.263559969442322,21.856131734797
2020-04-26,117,England,E92000001,56287000,3133.78571428571,14273.6428571429,2152,14699,21.955052018956,0.253586847000957,5.56751241722905,3.82326292039014,0.261143780979622,21.3197204863305
2020-04-27,118,England,E92000001,56287000,3081.28571428571,14492.5,2264,13097,21.2612435003327,0.257475083056478,5.47424043613217,4.02224314673015,0.232682502176346,23.5266527776263
2020-04-28,119,England,E92000001,56287000,2948.07142857143,15056,1989,19526,19.5807082131471,0.26748627569421,5.23757071538975,3.53367562669888,0.346900705313838,15.0981841061735
2020-04-29,120,England,E92000001,56287000,2820.57142857143,16025.9285714286,1403,27283,17.6000499191043,0.28471811557604,5.01105304701162,2.49258265674134,0.484712278145931,10.3382011823166
2020-04-30,121,England,E92000001,56287000,2775.28571428571,17403.7857142857,2484,34807,15.9464484328122,0.309197251839425,4.93059803202465,4.41309716275517,0.618384351626486,7.97335511329823
2020-05-01,122,England,E92000001,56287000,2669.28571428571,18745.9285714286,2501,33408,14.239282434662,0.333041884830042,4.74227746066714,4.44329951853892,0.593529589425622,7.9899596332786
2020-05-02,123,England,E92000001,56287000,2575,19447,2228,23664,13.2411168817813,0.345497184074475,4.57476859665642,3.95828521683515,0.420416792509816,10.881507775524
2020-05-03,124,England,E92000001,56287000,2461.57142857143,20147.9285714286,2019,21097,12.2174913408326,0.357949945305818,4.37325035722534,3.58697390161138,0.374811235276352,11.6678742407519
2020-05-04,125,England,E92000001,56287000,2396.14285714286,20850.7142857143,1485,22381,11.4918981877976,0.370435700707344,4.25700935765427,2.63826460816885,0.397622896938902,10.7061474337289
2020-05-05,126,England,E92000001,56287000,2307.21428571429,21624,1842,27270,10.669692405264,0.384173965569314,4.09901804273506,3.27251407962762,0.484481318954643,8.46063177746346
2020-05-06,127,England,E92000001,56287000,2206.57142857143,22407.5714285714,1611,27203,9.84743677200946,0.398094967373842,3.92021502046908,2.86211736280136,0.483290990814931,8.11150030721402
2020-05-07,128,England,E92000001,56287000,2138.64285714286,23184.2142857143,2133,27820,9.22456474386821,0.411892875543452,3.79953249798862,3.78950734627889,0.494252669355269,7.68742939303687
2020-05-08,129,England,E92000001,56287000,2045.07142857143,23876,1694,27174,8.5653854438408,0.424183203936966,3.63329264052344,3.00957592339261,0.482775774157443,7.52583877445878
2020-05-09,130,England,E92000001,56287000,1939.57142857143,24440.5,1349,22738,7.93589095383249,0.434212162666335,3.44586037374781,2.39664576189884,0.40396539165349,8.53008808413857
