date,numDate,location,areaCode,population,Cases_14,Tests_14,new_cases,new_tests,PositivePct_14,TestsPer1000_14,Cases_14_pop,Cases_pop,TestsPer1000,PositivePct,CumulPos,CumulPosPct
2020-03-31,91,England,E92000001,56287000,1389.357143,10412,2414,10412,13.3438066,0.184980546,2.468344632,4.288734521,0.184980546,13.3438066,2414,0.004288735
2020-04-01,92,England,E92000001,56287000,1604,10363,3630,10314,15.47814339,0.184110008,2.849681099,6.449091264,0.183239469,15.55167733,6044,0.010737826
2020-04-02,93,England,E92000001,56287000,1818.928571,10830,3583,11764,16.79527767,0.192406772,3.231525168,6.365590634,0.209000302,15.46182057,9627,0.017103416
2020-04-03,94,England,E92000001,56287000,2029.5,10868.5,3576,10984,18.67322998,0.193090767,3.605628298,6.35315437,0.195142751,18.47687546,13203,0.023456571
2020-04-04,95,England,E92000001,56287000,2175,10911.8,2910,11085,19.93255008,0.193860039,3.864124931,5.169932667,0.196937126,19.62110961,16113,0.028626503
2020-04-05,96,England,E92000001,56287000,2501.571429,10717.66667,5107,9747,23.34063473,0.190411048,4.444314724,9.073142999,0.173166095,25.66503979,21220,0.037699646
2020-04-06,97,England,E92000001,56287000,2671.785714,10767.28571,3176,11065,24.81392047,0.191292585,4.746718984,5.642510704,0.196581804,24.14627848,24396,0.043342157
2020-04-07,98,England,E92000001,56287000,2794.642857,10786,2978,10917,25.90990967,0.191625064,4.964988109,5.29074209,0.193952422,25.59900025,27374,0.048632899
2020-04-08,99,England,E92000001,56287000,3055.928571,11090.77778,4788,13529,27.55378056,0.197039774,5.429190704,8.506404676,0.240357454,22.5879856,32162,0.057139304
2020-04-09,100,England,E92000001,56287000,3198,11436,3798,14543,27.96432319,0.203173024,5.681596106,6.747561604,0.258372271,21.98996081,35960,0.063886866
2020-04-10,101,England,E92000001,56287000,3323.5,11614.54545,4263,13400,28.61498121,0.206345079,5.904560556,7.573684865,0.238065628,24.80223881,40223,0.07146055
2020-04-11,102,England,E92000001,56287000,3445.071429,11691.66667,3841,12540,29.46604215,0.207715221,6.12054547,6.823955798,0.222786789,27.47265892,44064,0.078284506
2020-04-12,103,England,E92000001,56287000,3560.214286,11590.30769,3672,10374,30.717168,0.205914469,6.325109325,6.523708849,0.184305435,34.31862624,47736,0.084808215
2020-04-13,104,England,E92000001,56287000,3623.928571,11479.07143,2999,10033,31.56987561,0.203938235,6.438304709,5.328050882,0.178247197,36.12008942,50735,0.090136266
2020-04-14,105,England,E92000001,56287000,3726.785714,11566.57143,3854,11637,32.2203147,0.205492768,6.621041651,6.847051717,0.206744008,32.02531335,54589,0.096983318
2020-04-15,106,England,E92000001,56287000,3695.214286,11808.71429,3188,13704,31.292266,0.2097947,6.564951562,5.663830014,0.24346652,26.9644942,57777,0.102647148
2020-04-16,107,England,E92000001,56287000,3662,12076.78571,3118,15517,30.32263788,0.214557282,6.505942758,5.539467373,0.275676444,23.59992267,60895,0.108186615
2020-04-17,108,England,E92000001,56287000,3691.214286,12336.35714,3985,14618,29.92142853,0.219168851,6.557845125,7.079787518,0.259704728,25.25115806,64880,0.115266403
2020-04-18,109,England,E92000001,56287000,3736.785714,12533.78571,3548,13849,29.81370353,0.222676386,6.638807743,6.303409313,0.246042603,26.98235045,68428,0.121569812
2020-04-19,110,England,E92000001,56287000,3629.642857,12643.57143,3607,11284,28.70741766,0.224626849,6.448456761,6.408229254,0.200472578,32.16627842,72035,0.127978041
2020-04-20,111,England,E92000001,56287000,3574.285714,12749.07143,2401,12542,28.03565526,0.226501171,6.350108754,4.265638602,0.222822321,28.49853065,74436,0.13224368
2020-04-21,112,England,E92000001,56287000,3582.071429,13143.85714,3087,16444,27.25281772,0.23351497,6.363940925,5.484392488,0.292145611,21.78345554,77523,0.137728072
2020-04-22,113,England,E92000001,56287000,3455.785714,13337,3020,16233,25.91126726,0.236946364,6.139580568,5.365359675,0.288396966,21.28864482,80543,0.143093432
2020-04-23,114,England,E92000001,56287000,3404.785714,13508.71429,3084,16947,25.20436544,0.239997056,6.048973501,5.479062661,0.301081955,20.09078724,83627,0.148572495
2020-04-24,115,England,E92000001,56287000,3314.857143,13800.78571,3004,17489,24.01933637,0.245186024,5.889205577,5.336933928,0.310711177,18.95395473,86631,0.153909428
2020-04-25,116,England,E92000001,56287000,3242.357143,13964.71429,2826,14835,23.21821325,0.248098394,5.760401412,5.020697497,0.263559969,21.85613173,89457,0.158930126
2020-04-26,117,England,E92000001,56287000,3133.785714,14273.64286,2152,14699,21.95505202,0.253586847,5.567512417,3.82326292,0.261143781,21.31972049,91609,0.162753389
2020-04-27,118,England,E92000001,56287000,3081.285714,14492.5,2264,13097,21.2612435,0.257475083,5.474240436,4.022243147,0.232682502,23.52665278,93873,0.166775632
2020-04-28,119,England,E92000001,56287000,2948.071429,15056,1989,19526,19.58070821,0.267486276,5.237570715,3.533675627,0.346900705,15.09818411,95862,0.170309308
2020-04-29,120,England,E92000001,56287000,2820.571429,16025.92857,1403,27283,17.60004992,0.284718116,5.011053047,2.492582657,0.484712278,10.33820118,97265,0.17280189
2020-04-30,121,England,E92000001,56287000,2775.285714,17403.78571,2484,34807,15.94644843,0.309197252,4.930598032,4.413097163,0.618384352,7.973355113,99749,0.177214987
2020-05-01,122,England,E92000001,56287000,2669.285714,18745.92857,2501,33408,14.23928243,0.333041885,4.742277461,4.443299519,0.593529589,7.989959633,102250,0.181658287
2020-05-02,123,England,E92000001,56287000,2575,19447,2228,23664,13.24111688,0.345497184,4.574768597,3.958285217,0.420416793,10.88150778,104478,0.185616572
2020-05-03,124,England,E92000001,56287000,2461.571429,20147.92857,2019,21097,12.21749134,0.357949945,4.373250357,3.586973902,0.374811235,11.66787424,106497,0.189203546
2020-05-04,125,England,E92000001,56287000,2396.142857,20850.71429,1485,22381,11.49189819,0.370435701,4.257009358,2.638264608,0.397622897,10.70614743,107982,0.191841811
