"areaCode","areaName","areaType","date","cumCasesByPublishDate","cumPillarOneTwoTestsByPublishDate","newCasesByPublishDate","newPillarOneTwoTestsByPublishDate"
"E92000001","England","nation","2021-07-15",4594159,NA,44523,NA
"E92000001","England","nation","2021-07-14",4550298,203062518,37895,1127465
"E92000001","England","nation","2021-07-13",4512957,201877633,32883,857828
"E92000001","England","nation","2021-07-12",4480518,200943797,30619,1010869
"E92000001","England","nation","2021-07-11",4450372,199820355,28421,1048633
"E92000001","England","nation","2021-07-10",4422370,198730885,29732,694488
"E92000001","England","nation","2021-07-09",4393205,197998266,31231,841168
"E92000001","England","nation","2021-07-08",4362481,197092476,28421,1023344
"E92000001","England","nation","2021-07-07",4334634,195942966,27516,1146270
"E92000001","England","nation","2021-07-06",4307618,194743088,25295,890600
"E92000001","England","nation","2021-07-05",4282762,193778850,23286,1096237
"E92000001","England","nation","2021-07-04",4259710,192580979,20454,1195011
"E92000001","England","nation","2021-07-03",4239686,191345196,21317,602340
"E92000001","England","nation","2021-07-02",4218807,190703399,22393,793495
"E92000001","England","nation","2021-07-01",4196833,189840758,22948,1034592
"E92000001","England","nation","2021-06-30",4174318,188672934,21293,1162386
"E92000001","England","nation","2021-06-29",4153487,187456340,16802,805657
"E92000001","England","nation","2021-06-28",4136940,186576654,18702,1031845
"E92000001","England","nation","2021-06-27",4118462,185409115,11560,1142493
"E92000001","England","nation","2021-06-26",4107155,184227626,15136,566239
"E92000001","England","nation","2021-06-25",4092346,183625491,13498,775080
"E92000001","England","nation","2021-06-24",4079362,182787839,13068,996413
"E92000001","England","nation","2021-06-23",4066294,181660679,12765,1074717
"E92000001","England","nation","2021-06-22",4053782,180535855,9096,749282
"E92000001","England","nation","2021-06-21",4044830,179718514,8766,968510
"E92000001","England","nation","2021-06-20",4036230,178614159,7778,1082429
"E92000001","England","nation","2021-06-19",4028664,177496916,8954,544731
"E92000001","England","nation","2021-06-18",4019956,176922410,9185,721460
"E92000001","England","nation","2021-06-17",4010977,176137679,9371,968533
"E92000001","England","nation","2021-06-16",4001803,175026539,7642,1030988
"E92000001","England","nation","2021-06-15",3994408,173944496,6486,711915
"E92000001","England","nation","2021-06-14",3988008,173163058,6647,885834
"E92000001","England","nation","2021-06-13",3981497,172143710,6269,997423
