date,numDate,location,iso_code,population,Cases_14,meannew_casesCumul,Deaths_14,Tests_14,new_cases,new_deaths,new_tests,PositivePct_14,TestsPer1000_14,Cases_14_pop,Cases_pop,TestsPer1000,PositivePct,CumulPosPct
2020-03-01,61,Belgium,BEL,11589616,0.0714285714285714,0.142857142857143,,82,1,,82,0.0871080139372822,0.00707529912984175,0.000616315255212696,0.00862841357297774,0.00707529912984175,0.0871080139372822,1.23263051042539e-06
2020-03-01,61,Canada,CAN,37742157,1.21428571428571,8.35714285714286,,70.5,4,,125,1.72239108409321,0.00186793775459097,0.00321731933414859,0.0105982283948424,0.00331194637338825,0.971428571428571,2.21427271820815e-05
2020-03-01,61,Denmark,DNK,5792203,1,3.5,,31,1,,49,3.2258064516129,0.00535202236523824,0.017264588274962,0.017264588274962,0.0084596482547314,2.04081632653061,6.04260589623672e-05
2020-03-01,61,Iceland,ISL,341250,0,0,,,2,,22,,,0,0.586080586080586,0.0644688644688645,0,0
2020-03-01,61,Slovenia,SVN,2078932,0,0,,24.875,,,17,0,0.0119652783256018,0,,0.00817727563960726,0,0
2020-03-02,62,Belgium,BEL,11589616,0.5,0.642857142857143,,199.5,6,,317,0.25062656641604,0.0172136850780906,0.00431420678648887,0.0517704814378665,0.0273520710263394,0.157728706624606,5.54683729691426e-06
2020-03-02,62,Denmark,DNK,5792203,0.8,4.3,,38.1818181818182,0,,80,2.0952380952381,0.00659193370498551,0.0138116706199696,0,0.0138116706199696,1,7.42377295823368e-05
2020-03-02,62,Iceland,ISL,341250,0,0,,,3,,48,,,0,0.879120879120879,0.140659340659341,0,0
2020-03-02,62,Portugal,PRT,10196707,0,0,,,2,,45,,,0,0.0196141754391884,0.00441318947381738,0,0
2020-03-02,62,Slovenia,SVN,2078932,0,0,,28.1111111111111,,,54,0,0.0135219002406578,0,,0.0259748755611054,0,0
2020-03-03,63,Belgium,BEL,11589616,0.857142857142857,1.5,,312.333333333333,5,,538,0.27443207806068,0.0269494117262671,0.00739578306255235,0.0431420678648887,0.0464208650226203,0.159320233669676,1.29426203594666e-05
2020-03-03,63,Denmark,DNK,5792203,1,5.3,,43.7272727272727,2,,63,2.28690228690229,0.00754933360023341,0.017264588274962,0.0345291765499241,0.0108766906132261,1.58730158730159,9.15023178572988e-05
2020-03-03,63,Iceland,ISL,341250,0,0,,,5,,45,,,0,1.46520146520147,0.131868131868132,0,0
2020-03-03,63,Luxembourg,LUX,625976,0,0,,,0,,2,,,0,0,0.00319501067133564,0,0
2020-03-03,63,Portugal,PRT,10196707,0,0,,,0,,61,,,0,0,0.00598232350895245,0,0
2020-03-03,63,Slovenia,SVN,2078932,0,0,,30.1,,,48,0,0.0144785880442458,0,,0.0230887782765381,0,0
2020-03-04,64,Belgium,BEL,11589616,1.57142857142857,3.07142857142857,,409.5,10,,701,0.383743240886098,0.0353333535813439,0.0135589356146793,0.0862841357297774,0.060485179146574,0.224169553698798,2.65015559741459e-05
2020-03-04,64,Denmark,DNK,5792203,1.57142857142857,6.87142857142857,,51.5454545454546,5,,88,3.04862685815067,0.00889911050173044,0.0271300672892261,0.0863229413748102,0.0151928376819666,1.78571428571429,0.000118632385146525
2020-03-04,64,Iceland,ISL,341250,0,0,,,15,,81,,,0,4.3956043956044,0.237362637362637,0,0
2020-03-04,64,Luxembourg,LUX,625976,0,0,,,0,,1,,,0,0,0.00159750533566782,0,0
2020-03-04,64,Portugal,PRT,10196707,0,0,,,3,,40,,,0,0.0294212631587825,0.00392283508783767,0,0
2020-03-04,64,Slovenia,SVN,2078932,0,0,,32,,,51,0,0.0153925188510254,0,,0.0245318269188218,0,0
2020-03-05,65,Belgium,BEL,11589616,3.5,6.57142857142857,,482.2,27,,773,0.725839900456242,0.0416062102488987,0.0301994475054221,0.232967166470399,0.0666976369191179,0.452781371280724,5.6701003479568e-05
2020-03-05,65,Denmark,DNK,5792203,1.375,8.24642857142857,,61.3636363636364,0,,109,2.24074074074074,0.0105941791687267,0.0237388088780728,0,0.0188184012197086,1.26146788990826,0.000142371194024598
2020-03-05,65,Iceland,ISL,341250,0,0,,,8,,62,,,0,2.34432234432234,0.181684981684982,0,0
2020-03-05,65,Luxembourg,LUX,625976,0,0,,,0,,5,,,0,0,0.00798752667833911,0,0
2020-03-05,65,Portugal,PRT,10196707,0,0,,,3,,80,,,0,0.0294212631587825,0.00784567017567534,0,0
2020-03-05,65,Russia,RUS,145934460,0.142857142857143,0.5,,4952,1,,4952,0.00288483729517655,0.0339330409006893,9.78913019290597e-05,0.000685239113503418,0.0339330409006893,0.00288483729517655,3.42619556751709e-07
