"state","date","Negative","Positive","Inconclusive","positiveIncrease","negativeIncrease"
"AK",2020-03-01,4,NA,NA,NA,NA
"AK",2020-03-02,0,NA,NA,NA,NA
"AK",2020-03-03,2,NA,NA,NA,NA
"AK",2020-03-04,12,NA,NA,NA,NA
"AK",2020-03-05,9,NA,NA,NA,NA
"AK",2020-03-06,13,NA,NA,0,0
"AK",2020-03-07,10,NA,NA,0,0
"AK",2020-03-08,8,NA,NA,0,0
"AK",2020-03-09,19,NA,NA,0,0
"AK",2020-03-10,13,NA,NA,0,0
"AK",2020-03-11,49,2,NA,0,0
"AK",2020-03-12,77,0,NA,0,0
"AK",2020-03-13,139,1,NA,0,0
"AK",2020-03-14,68,0,NA,0,0
"AK",2020-03-15,114,0,NA,0,0
"AK",2020-03-16,208,5,NA,0,0
"AK",2020-03-17,318,6,NA,3,0
"AK",2020-03-18,475,12,NA,5,0
"AK",2020-03-19,437,6,NA,3,0
"AK",2020-03-20,378,13,NA,3,0
"AK",2020-03-21,177,8,NA,1,0
"AK",2020-03-22,150,6,1,10,0
"AK",2020-03-23,454,20,0,13,0
"AK",2020-03-24,443,11,0,4,0
"AK",2020-03-25,667,17,0,7,0
"AK",2020-03-26,379,12,0,14,0
"AK",2020-03-27,401,12,0,11,0
"AK",2020-03-28,494,11,1,17,0
"AK",2020-03-29,420,7,0,19,0
"AK",2020-03-30,535,17,0,8,0
"AK",2020-03-31,495,28,0,10,0
"AK",2020-04-01,607,6,0,13,0
"AK",2020-04-02,534,21,0,8,0
"AK",2020-04-03,608,26,1,11,0
"AK",2020-04-04,361,12,0,11,0
"AK",2020-04-05,278,8,1,14,0
"AK",2020-04-06,451,13,0,6,0
"AK",2020-04-07,492,18,0,22,0
"AK",2020-04-08,388,10,0,13,0
"AK",2020-04-09,562,12,0,9,0
"AK",2020-04-10,605,9,0,11,0
"AK",2020-04-11,363,11,0,11,0
"AK",2020-04-12,257,5,0,15,0
"AK",2020-04-13,388,10,1,5,0
"AK",2020-04-14,384,10,4,8,0
"AK",2020-04-15,541,9,1,8,0
"AK",2020-04-16,489,9,1,7,0
"AK",2020-04-17,501,5,0,9,0
"AK",2020-04-18,396,1,2,5,0
"AK",2020-04-19,290,6,0,5,0
"AK",2020-04-20,530,4,2,2,0
"AK",2020-04-21,749,8,0,8,0
"AK",2020-04-22,754,3,2,6,0
"AK",2020-04-23,560,3,0,2,0
"AK",2020-04-24,772,10,0,2,0
"AK",2020-04-25,598,8,1,0,0
"AK",2020-04-26,602,0,0,2,0
"AK",2020-04-27,733,12,1,4,0
"AK",2020-04-28,817,10,0,6,0
"AK",2020-04-29,880,6,0,4,0
"AK",2020-04-30,1011,4,0,0,0
"AK",2020-05-01,602,1,0,9,0
"AK",2020-05-02,548,2,0,1,0
"AK",2020-05-03,602,2,1,3,0
"AK",2020-05-04,1202,5,0,2,0
"AK",2020-05-05,1260,0,0,1,0
"AK",2020-05-06,1043,7,0,1,0
"AK",2020-05-07,899,2,0,2,0
"AK",2020-05-08,1073,3,0,3,0
"AK",2020-05-09,837,1,0,1,0
"AK",2020-05-10,546,1,0,1,0
"AK",2020-05-11,1172,1,0,2,0
"AK",2020-05-12,1012,1,0,2,0
"AK",2020-05-13,1392,8,1,1,0
"AK",2020-05-14,1407,4,0,5,0
"AK",2020-05-15,1009,3,0,1,0
"AK",2020-05-16,994,10,0,4,0
"AK",2020-05-17,852,3,0,4,0
"AK",2020-05-18,2201,1,0,3,0
"AK",2020-05-19,2175,10,0,0,0
"AK",2020-05-20,2255,2,0,3,0
"AK",2020-05-21,1541,1,0,0,0
"AK",2020-05-22,1329,5,0,2,0
"AK",2020-05-23,794,1,0,4,0
"AK",2020-05-24,789,0,0,0,0
"AK",2020-05-25,830,5,0,1,0
"AK",2020-05-26,1840,12,0,2,0
"AK",2020-05-27,2008,7,0,1,0
"AK",2020-05-28,1562,6,0,13,0
"AK",2020-05-29,1709,24,0,5,0
"AK",2020-05-30,1348,7,0,3,0
"AK",2020-05-31,1203,18,2,28,0
"AK",2020-06-01,2033,25,1,7,0
"AK",2020-06-02,1886,19,0,20,0
"AK",2020-06-03,1867,17,0,18,0
"AK",2020-06-04,2165,11,0,10,0
"AK",2020-06-05,1765,10,1,11,0
"AK",2020-06-06,871,4,0,12,0
"AK",2020-06-07,652,3,0,8,0
"AK",2020-06-08,1569,14,1,18,0
"AK",2020-06-09,1584,19,1,11,0
"AK",2020-06-10,2201,46,0,20,0
"AK",2020-06-11,2749,34,0,18,0
"AK",2020-06-12,2715,67,0,14,0
"AK",2020-06-13,1879,20,0,26,0
"AK",2020-06-14,1626,16,0,9,0
"AK",2020-06-15,3460,49,1,3,0
"AK",2020-06-16,4053,30,0,13,0
"AK",2020-06-17,3318,44,0,20,0
"AK",2020-06-18,2928,61,1,12,0
"AK",2020-06-19,2910,32,0,16,0
"AK",2020-06-20,2355,17,0,21,0
"AK",2020-06-21,2385,17,0,11,0
"AK",2020-06-22,3812,60,1,6,0
"AK",2020-06-23,3688,27,0,16,0
