state,mindate,maxdate,Data.50.,Data.2.5.,Data.97.5.,Source
NY,2020-03-29,2020-03-29,14,13.3,14.7,Rosenberg et al. (2020)
IN,2020-04-25,2020-04-29,2.79,2.02,3.7,Menachemi et al. (2020)
CT,2020-04-26,2020-05-03,4.9,3.6,6.5,CDC (2020)
CT,2020-05-21,2020-05-26,5.2,3.9,6.6,CDC (2020)
CT,2020-06-15,2020-06-17,6.3,5,7.8,CDC (2020)
CT,2020-07-03,2020-07-06,5.2,4,6.7,CDC (2020)
LA,2020-04-01,2020-04-08,5.8,3.9,8.2,CDC (2020)
MN,2020-04-30,2020-05-12,2.4,1,4.5,CDC (2020)
MN,2020-05-25,2020-06-07,2.2,1.4,3.3,CDC (2020)
MN,2020-06-15,2020-06-27,4.3,3.4,5.8,CDC (2020)
MN,2020-07-06,2020-07-17,6.1,4.4,8.3,CDC (2020)
MO,2020-04-20,2020-04-26,2.7,1.7,3.9,CDC (2020)
MO,2020-05-25,2020-05-30,2.8,1.7,4.1,CDC (2020)
MO,2020-06-15,2020-06-20,0.8,0.6,1.8,CDC (2020)
MO,2020-07-05,2020-07-09,1.4,0.9,2.5,CDC (2020)
UT,2020-04-20,2020-05-03,2.2,1.2,3.4,CDC (2020)
UT,2020-05-25,2020-06-05,1.1,0.6,2.1,CDC (2020)
UT,2020-06-15,2020-06-27,1.5,0.9,2.6,CDC (2020)
UT,2020-07-06,2020-07-15,2.7,1.8,3.9,CDC (2020)
AK,2020-07-01,2020-07-31,0.7,0.1,4.7,Anand et al. (2020)
AL,2020-07-01,2020-07-31,4.2,1.8,10.2,Anand et al. (2020)
AR,2020-07-01,2020-07-31,1.9,1,3.5,Anand et al. (2020)
AZ,2020-07-01,2020-07-31,4.7,2.5,9.1,Anand et al. (2020)
CA,2020-07-01,2020-07-31,3.8,3.3,4.3,Anand et al. (2020)
CO,2020-07-01,2020-07-31,1.9,0.3,13.4,Anand et al. (2020)
CT,2020-07-01,2020-07-31,8.5,4.6,15.9,Anand et al. (2020)
DC,2020-07-01,2020-07-31,21.3,11.4,39.5,Anand et al. (2020)
DE,2020-07-01,2020-07-31,5.7,2.4,13.8,Anand et al. (2020)
FL,2020-07-01,2020-07-31,4.6,3.6,5.8,Anand et al. (2020)
GA,2020-07-01,2020-07-31,4.5,3.5,5.9,Anand et al. (2020)
HI,2020-07-01,2020-07-31,0.1,0,0.9,Anand et al. (2020)
IA,2020-07-01,2020-07-31,2.6,1.1,6.2,Anand et al. (2020)
IL,2020-07-01,2020-07-31,17.5,15.2,20.2,Anand et al. (2020)
IN,2020-07-01,2020-07-31,3.1,1.8,5.5,Anand et al. (2020)
KY,2020-07-01,2020-07-31,4.8,1.5,14.8,Anand et al. (2020)
LA,2020-07-01,2020-07-31,17.6,10.8,28.7,Anand et al. (2020)
MA,2020-07-01,2020-07-31,11.3,7,18.2,Anand et al. (2020)
