state,mindate,maxdate,Data.50.,Data.2.5.,Data.97.5.,Source
MD,2020-07-01,2020-07-31,12.9,10,16.7,Anand et al. (2020)
MI,2020-07-01,2020-07-31,7.2,3.2,16.1,Anand et al. (2020)
MN,2020-07-01,2020-07-31,6.3,0.9,44.4,Anand et al. (2020)
MO,2020-07-01,2020-07-31,1.9,0.9,3.8,Anand et al. (2020)
MS,2020-07-01,2020-07-31,4.5,1.9,10.8,Anand et al. (2020)
NC,2020-07-01,2020-07-31,1.9,0.5,7.7,Anand et al. (2020)
NE,2020-07-01,2020-07-31,2.5,0.9,6.5,Anand et al. (2020)
NJ,2020-07-01,2020-07-31,11.9,8.5,16.6,Anand et al. (2020)
NM,2020-07-01,2020-07-31,5.7,3.4,9.7,Anand et al. (2020)
NY,2020-07-01,2020-07-31,33.6,31.7,35.6,Anand et al. (2020)
OH,2020-07-01,2020-07-31,3,2.2,4.1,Anand et al. (2020)
OK,2020-07-01,2020-07-31,0.5,0.1,3.8,Anand et al. (2020)
OR,2020-07-01,2020-07-31,4.8,1.8,12.7,Anand et al. (2020)
PA,2020-07-01,2020-07-31,6.4,4.7,8.8,Anand et al. (2020)
SC,2020-07-01,2020-07-31,2.2,1.1,4.4,Anand et al. (2020)
TN,2020-07-01,2020-07-31,2.1,1.3,3.6,Anand et al. (2020)
TX,2020-07-01,2020-07-31,3.6,3.1,4.2,Anand et al. (2020)
UT,2020-07-01,2020-07-31,3.1,1.8,5.1,Anand et al. (2020)
VA,2020-07-01,2020-07-31,9.1,6.3,13.1,Anand et al. (2020)
WA,2020-07-01,2020-07-31,5.1,3.8,6.8,Anand et al. (2020)
WI,2020-07-01,2020-07-31,5,1.3,20,Anand et al. (2020)
AK,2020-08-06,2020-08-11,0.3,0,1.12,Bajema et al. (2020)
AL,2020-07-29,2020-08-13,5.8,4.16,7.71,Bajema et al. (2020)
AR,2020-07-29,2020-08-13,4.1,2.74,5.63,Bajema et al. (2020)
AZ,2020-07-31,2020-08-11,8.2,4.11,13.59,Bajema et al. (2020)
CA,2020-07-30,2020-08-05,5.7,4.05,7.77,Bajema et al. (2020)
CO,2020-07-30,2020-08-07,2.4,0.89,4.53,Bajema et al. (2020)
CT,2020-07-30,2020-08-03,3.4,2.04,4.72,Bajema et al. (2020)
DC,2020-07-30,2020-08-13,3.9,2.18,5.76,Bajema et al. (2020)
DE,2020-07-29,2020-08-13,5.7,3.55,8.22,Bajema et al. (2020)
FL,2020-07-31,2020-08-03,4.3,2.77,5.86,Bajema et al. (2020)
GA,2020-08-02,2020-08-11,6.8,4.83,8.81,Bajema et al. (2020)
HI,2020-08-03,2020-08-11,,,,Bajema et al. (2020)
IA,2020-07-29,2020-08-13,8.6,5.98,11.34,Bajema et al. (2020)
ID,2020-08-04,2020-08-11,4.5,1.8,7.99,Bajema et al. (2020)
IL,2020-07-29,2020-08-10,3.9,2.52,5.21,Bajema et al. (2020)
IN,2020-07-31,2020-08-11,2.2,1.1,3.63,Bajema et al. (2020)
KS,2020-07-29,2020-08-08,1.6,0.7,2.8,Bajema et al. (2020)
KY,2020-07-30,2020-08-13,2.4,1.32,3.62,Bajema et al. (2020)
LA,2020-07-28,2020-08-13,9.6,6.88,12.29,Bajema et al. (2020)
MA,2020-07-30,2020-08-10,4.2,2.89,5.81,Bajema et al. (2020)
MD,2020-07-31,2020-08-11,9.7,7.26,12.87,Bajema et al. (2020)
ME,2020-07-30,2020-08-11,0.5,0,1.16,Bajema et al. (2020)
MI,2020-07-30,2020-08-11,3.4,2.16,4.84,Bajema et al. (2020)
MN,2020-07-29,2020-08-13,3.5,2.06,5.01,Bajema et al. (2020)
MO,2020-07-28,2020-08-10,2.5,1.44,3.61,Bajema et al. (2020)
MS,2020-07-30,2020-08-13,7.1,3.75,11.09,Bajema et al. (2020)
MT,2020-07-29,2020-08-10,0.5,0,1.67,Bajema et al. (2020)
NC,2020-07-29,2020-08-10,2.5,1.31,3.72,Bajema et al. (2020)
ND,2020-07-29,2020-08-12,7.3,1.3,14.28,Bajema et al. (2020)
NE,2020-07-28,2020-08-13,7.4,5.25,9.75,Bajema et al. (2020)
NH,2020-07-30,2020-08-11,0.8,0.22,1.48,Bajema et al. (2020)
NJ,2020-07-31,2020-08-11,14.8,12.23,17.57,Bajema et al. (2020)
NM,2020-07-29,2020-08-13,2,1.09,3.02,Bajema et al. (2020)
NV,2020-07-30,2020-08-02,5.1,3.63,6.66,Bajema et al. (2020)
NY,2020-07-31,2020-08-11,23.3,20.07,26.32,Bajema et al. (2020)
OH,2020-07-29,2020-08-11,2.3,1.11,3.61,Bajema et al. (2020)
OK,2020-07-28,2020-08-04,1.6,0.85,2.49,Bajema et al. (2020)
OR,2020-08-05,2020-08-11,2.3,1.03,3.84,Bajema et al. (2020)
PA,2020-07-31,2020-08-11,10.2,5.71,17.21,Bajema et al. (2020)
PR,2020-07-27,2020-08-07,1.1,0.43,1.8,Bajema et al. (2020)
RI,2020-07-30,2020-08-11,3,1.23,5.51,Bajema et al. (2020)
SC,2020-07-30,2020-08-13,8.1,5.79,10.69,Bajema et al. (2020)
SD,2020-07-29,2020-08-12,,,,Bajema et al. (2020)
TN,2020-07-30,2020-08-11,6.3,4.41,8.25,Bajema et al. (2020)
TX,2020-07-29,2020-08-05,5.9,4.04,7.95,Bajema et al. (2020)
UT,2020-07-30,2020-08-11,3.2,1.7,5.03,Bajema et al. (2020)
VA,2020-07-31,2020-08-11,4.1,1.8,6.93,Bajema et al. (2020)
VT,2020-07-30,2020-08-11,0.5,0,1.84,Bajema et al. (2020)
WA,2020-07-29,2020-08-11,2.1,0.81,3.7,Bajema et al. (2020)
WI,2020-07-30,2020-08-13,1.8,0.76,3.18,Bajema et al. (2020)
WV,2020-07-30,2020-08-13,1.2,0.23,2.5,Bajema et al. (2020)
WY,2020-07-29,2020-08-11,,,,Bajema et al. (2020)
AK,2020-08-12,2020-08-26,1.3,0.5,2.33,Bajema et al. (2020)
AL,2020-08-12,2020-08-26,7.6,5.33,9.76,Bajema et al. (2020)
AR,2020-08-11,2020-08-25,3,1.76,4.35,Bajema et al. (2020)
AZ,2020-08-12,2020-08-26,4.7,2.7,7.61,Bajema et al. (2020)
CA,2020-08-13,2020-08-19,4.3,2.85,6.06,Bajema et al. (2020)
CO,2020-08-10,2020-08-25,3.3,1.83,4.8,Bajema et al. (2020)
CT,2020-08-11,2020-08-24,2.4,1.45,3.52,Bajema et al. (2020)
DC,2020-08-13,2020-08-27,6.8,4.59,9.21,Bajema et al. (2020)
DE,2020-08-12,2020-08-27,8.5,5.79,11.25,Bajema et al. (2020)
FL,2020-08-14,2020-08-14,4.5,3.15,6.06,Bajema et al. (2020)
GA,2020-08-13,2020-08-26,7.4,5.52,9.51,Bajema et al. (2020)
HI,2020-08-14,2020-08-26,,,,Bajema et al. (2020)
IA,2020-08-12,2020-08-27,9.4,7.12,11.63,Bajema et al. (2020)
ID,2020-08-12,2020-08-26,4.6,1.67,9.05,Bajema et al. (2020)
IL,2020-08-12,2020-08-27,4.9,3.4,6.65,Bajema et al. (2020)
IN,2020-08-12,2020-08-26,3.1,1.53,4.76,Bajema et al. (2020)
KS,2020-08-11,2020-08-25,3.7,2.02,5.47,Bajema et al. (2020)
KY,2020-08-12,2020-08-26,3.1,2.05,4.49,Bajema et al. (2020)
LA,2020-08-12,2020-08-25,11.8,9.27,14.81,Bajema et al. (2020)
MA,2020-08-12,2020-08-27,3.7,2.27,5.21,Bajema et al. (2020)
MD,2020-08-10,2020-08-26,7,4.92,9.33,Bajema et al. (2020)
ME,2020-08-12,2020-08-27,0.6,0,1.44,Bajema et al. (2020)
MI,2020-08-12,2020-08-25,4.2,2.88,5.76,Bajema et al. (2020)
MN,2020-08-11,2020-08-27,4.5,3.05,5.87,Bajema et al. (2020)
MO,2020-08-12,2020-08-21,3.5,2.23,5.06,Bajema et al. (2020)
MS,2020-08-12,2020-08-27,10,6.69,14.71,Bajema et al. (2020)
MT,2020-08-12,2020-08-24,1.3,0.38,2.49,Bajema et al. (2020)
NC,2020-08-11,2020-08-27,3.8,2.33,5.29,Bajema et al. (2020)
ND,2020-08-12,2020-08-26,0.6,0,1.45,Bajema et al. (2020)
NE,2020-08-11,2020-08-25,7.9,5.51,10.61,Bajema et al. (2020)
NH,2020-08-13,2020-08-25,0.8,0.3,1.22,Bajema et al. (2020)
NJ,2020-08-10,2020-08-26,12.2,10.15,14.53,Bajema et al. (2020)
NM,2020-08-10,2020-08-27,2.5,1.47,3.79,Bajema et al. (2020)
NV,2020-08-12,2020-08-26,7.9,6.13,9.83,Bajema et al. (2020)
NY,2020-08-10,2020-08-26,20.6,18.04,23.14,Bajema et al. (2020)
OH,2020-08-12,2020-08-27,2.1,1.06,3.29,Bajema et al. (2020)
OK,2020-08-10,2020-08-18,4,2.72,5.51,Bajema et al. (2020)
OR,2020-08-10,2020-08-27,2.4,1.41,3.6,Bajema et al. (2020)
PA,2020-08-10,2020-08-26,10.1,7.53,13.74,Bajema et al. (2020)
PR,2020-08-10,2020-08-17,2.2,1.18,3.26,Bajema et al. (2020)
RI,2020-08-12,2020-08-27,3.6,1.69,5.89,Bajema et al. (2020)
SC,2020-08-12,2020-08-27,6,4.37,7.95,Bajema et al. (2020)
SD,2020-08-12,2020-08-26,NA,0,4.35,Bajema et al. (2020)
TN,2020-08-12,2020-08-26,6.7,5.11,8.57,Bajema et al. (2020)
TX,2020-08-12,2020-08-24,6.5,4.69,8.47,Bajema et al. (2020)
UT,2020-08-15,2020-08-25,5.5,2.94,8.71,Bajema et al. (2020)
VA,2020-08-10,2020-08-26,4.7,2.51,7.22,Bajema et al. (2020)
VT,2020-08-13,2020-08-27,0.3,0,0.81,Bajema et al. (2020)
WA,2020-08-12,2020-08-27,3,1.79,4.47,Bajema et al. (2020)
WI,2020-08-12,2020-08-27,3.3,2.03,4.72,Bajema et al. (2020)
WV,2020-08-13,2020-08-27,2.2,0.52,4.9,Bajema et al. (2020)
WY,2020-08-13,2020-08-24,0.8,0,3.11,Bajema et al. (2020)
AK,2020-08-26,2020-09-09,1,0.24,2.17,Bajema et al. (2020)
AL,2020-08-26,2020-09-08,9.9,7.19,12.79,Bajema et al. (2020)
AR,2020-08-24,2020-09-08,4.9,3.5,6.41,Bajema et al. (2020)
AZ,2020-08-26,2020-09-09,4.9,3.05,7.11,Bajema et al. (2020)
CA,2020-08-28,2020-09-09,6,4.2,7.82,Bajema et al. (2020)
CO,2020-08-24,2020-09-04,3.6,2.31,5.09,Bajema et al. (2020)
CT,2020-08-26,2020-09-04,4.3,2.9,5.69,Bajema et al. (2020)
DC,2020-08-27,2020-09-10,5,2.83,7.55,Bajema et al. (2020)
DE,2020-08-26,2020-09-10,4.5,2.42,7.12,Bajema et al. (2020)
FL,2020-08-27,2020-09-09,5.7,3.93,7.49,Bajema et al. (2020)
GA,2020-08-25,2020-09-10,8.7,6.69,11.14,Bajema et al. (2020)
HI,2020-08-28,2020-09-09,,,,Bajema et al. (2020)
IA,2020-08-25,2020-09-10,8.4,6.15,10.74,Bajema et al. (2020)
ID,2020-08-26,2020-09-10,5.7,2.9,9.7,Bajema et al. (2020)
IL,2020-08-26,2020-09-03,5.6,3.9,7.67,Bajema et al. (2020)
IN,2020-08-26,2020-09-09,2.4,1.36,3.52,Bajema et al. (2020)
KS,2020-08-24,2020-09-03,2.9,1.57,4.31,Bajema et al. (2020)
KY,2020-08-26,2020-09-08,3.1,1.91,4.33,Bajema et al. (2020)
LA,2020-08-26,2020-09-08,8.6,6.65,11.3,Bajema et al. (2020)
MA,2020-08-27,2020-09-05,3.6,2.36,5.08,Bajema et al. (2020)
MD,2020-08-26,2020-09-08,7.9,5.72,10.35,Bajema et al. (2020)
ME,2020-08-26,2020-09-10,1.5,0.44,3.22,Bajema et al. (2020)
MI,2020-08-26,2020-09-03,3.4,2.16,4.95,Bajema et al. (2020)
MN,2020-08-26,2020-09-08,9.2,6.71,11.95,Bajema et al. (2020)
MO,2020-08-24,2020-09-10,2.9,1.74,4.17,Bajema et al. (2020)
MS,2020-08-26,2020-09-10,8.4,4.89,12.73,Bajema et al. (2020)
MT,2020-08-24,2020-09-09,0.9,0.23,1.82,Bajema et al. (2020)
NC,2020-08-26,2020-09-09,3.8,2.33,5.26,Bajema et al. (2020)
ND,2020-08-26,2020-09-09,0.2,0,0.99,Bajema et al. (2020)
NE,2020-08-24,2020-09-10,6.3,4.47,8.27,Bajema et al. (2020)
NH,2020-08-26,2020-09-03,1.6,0.73,2.84,Bajema et al. (2020)
NJ,2020-08-26,2020-09-07,12.8,10.49,15.35,Bajema et al. (2020)
NM,2020-08-25,2020-09-08,3.7,2.28,5.55,Bajema et al. (2020)
NV,2020-08-27,2020-08-29,6.5,4.63,8.58,Bajema et al. (2020)
NY,2020-08-26,2020-09-10,19.5,16.88,22.38,Bajema et al. (2020)
OH,2020-08-27,2020-09-10,5,3.17,7.14,Bajema et al. (2020)
OK,2020-08-24,2020-09-01,5.4,3.83,7.29,Bajema et al. (2020)
OR,2020-08-26,2020-09-10,1.9,0.92,2.94,Bajema et al. (2020)
PA,2020-08-26,2020-09-09,9.5,6.58,13.56,Bajema et al. (2020)
PR,2020-08-24,2020-09-03,2.5,1.36,3.76,Bajema et al. (2020)
RI,2020-08-27,2020-09-10,3.1,1.73,4.64,Bajema et al. (2020)
SC,2020-08-26,2020-09-10,7.2,5.12,9.57,Bajema et al. (2020)
SD,2020-08-26,2020-09-10,0.7,0,2.47,Bajema et al. (2020)
TN,2020-08-25,2020-09-08,5.4,3.62,7.31,Bajema et al. (2020)
TX,2020-08-25,2020-09-02,5.8,4.04,7.92,Bajema et al. (2020)
UT,2020-08-24,2020-09-08,4.9,2.82,7.67,Bajema et al. (2020)
VA,2020-08-26,2020-09-08,3.5,1.97,5.26,Bajema et al. (2020)
VT,2020-08-26,2020-09-10,0.4,0,0.94,Bajema et al. (2020)
WA,2020-08-25,2020-09-10,4.5,2.63,6.94,Bajema et al. (2020)
WI,2020-08-25,2020-09-10,2.6,1.48,3.95,Bajema et al. (2020)
WV,2020-08-26,2020-09-10,1.5,0.78,2.38,Bajema et al. (2020)
WY,2020-08-24,2020-09-09,,,,Bajema et al. (2020)
AK,2020-09-09,2020-09-18,0.4,0.11,0.82,Bajema et al. (2020)
AL,2020-09-09,2020-09-18,8.7,6.19,11.31,Bajema et al. (2020)
AR,2020-09-09,2020-09-18,6.3,4.6,8.03,Bajema et al. (2020)
AZ,2020-09-09,2020-09-23,5.4,3.08,8.52,Bajema et al. (2020)
CA,2020-09-10,2020-09-16,4.9,3.17,6.85,Bajema et al. (2020)
CO,2020-09-09,2020-09-18,3.3,1.9,4.92,Bajema et al. (2020)
CT,2020-09-09,2020-09-14,3.1,2.06,4.37,Bajema et al. (2020)
DC,2020-09-08,2020-09-24,6.5,4.47,8.29,Bajema et al. (2020)
DE,2020-09-09,2020-09-24,7.5,4.89,10.5,Bajema et al. (2020)
FL,2020-09-11,2020-09-11,8.5,6.55,10.68,Bajema et al. (2020)
GA,2020-09-09,2020-09-18,13,10.51,15.79,Bajema et al. (2020)
HI,2020-09-08,2020-09-22,0.8,0,2.18,Bajema et al. (2020)
IA,2020-09-09,2020-09-24,7.6,5.56,10.02,Bajema et al. (2020)
ID,2020-09-08,2020-09-18,5.2,2.74,8.46,Bajema et al. (2020)
IL,2020-09-08,2020-09-17,4.5,3.1,6.07,Bajema et al. (2020)
IN,2020-09-09,2020-09-23,4,1.44,8.79,Bajema et al. (2020)
KS,2020-09-09,2020-09-19,3.5,2.31,4.84,Bajema et al. (2020)
KY,2020-09-09,2020-09-18,3.6,2.33,5.21,Bajema et al. (2020)
LA,2020-09-09,2020-09-19,12.5,10.02,15.61,Bajema et al. (2020)
MA,2020-09-09,2020-09-15,3.7,2.23,5.16,Bajema et al. (2020)
MD,2020-09-10,2020-09-23,10.2,7.91,12.68,Bajema et al. (2020)
ME,2020-09-08,2020-09-24,0.5,0.09,0.87,Bajema et al. (2020)
MI,2020-09-08,2020-09-22,3.7,2.54,4.93,Bajema et al. (2020)
MN,2020-09-09,2020-09-23,8,4.74,11.43,Bajema et al. (2020)
MO,2020-09-08,2020-09-24,3.5,2.15,5.01,Bajema et al. (2020)
MS,2020-09-09,2020-09-22,7.9,5.35,10.87,Bajema et al. (2020)
MT,2020-09-09,2020-09-23,2.2,0.67,4.38,Bajema et al. (2020)
NC,2020-09-09,2020-09-17,6.8,4.83,8.87,Bajema et al. (2020)
ND,2020-09-09,2020-09-24,1.2,0,3.4,Bajema et al. (2020)
NE,2020-09-09,2020-09-18,6.7,4.8,8.88,Bajema et al. (2020)
NH,2020-09-09,2020-09-17,0.7,0.26,1.32,Bajema et al. (2020)
NJ,2020-09-09,2020-09-23,15.1,12.65,17.63,Bajema et al. (2020)
NM,2020-09-08,2020-09-24,2.4,1.19,3.65,Bajema et al. (2020)
NV,2020-09-09,2020-09-12,7.8,5.9,9.99,Bajema et al. (2020)
NY,2020-09-11,2020-09-24,17,14.72,19.23,Bajema et al. (2020)
OH,2020-09-10,2020-09-22,2.8,1.69,4.16,Bajema et al. (2020)
OK,2020-09-09,2020-09-18,5,3.44,6.54,Bajema et al. (2020)
OR,2020-09-08,2020-09-22,2.6,1.51,4.06,Bajema et al. (2020)
PA,2020-09-09,2020-09-23,11.1,8.85,13.71,Bajema et al. (2020)
PR,2020-09-08,2020-09-15,3,1.78,4.27,Bajema et al. (2020)
RI,2020-09-09,2020-09-24,2.7,1.15,4.91,Bajema et al. (2020)
SC,2020-09-09,2020-09-18,7.8,5.58,10.19,Bajema et al. (2020)
SD,2020-09-09,2020-09-23,1.8,0,4.82,Bajema et al. (2020)
TN,2020-09-08,2020-09-16,6.7,4.96,8.57,Bajema et al. (2020)
TX,2020-09-09,2020-09-24,8.2,6.16,10.47,Bajema et al. (2020)
UT,2020-09-09,2020-09-18,5.1,3.29,7.9,Bajema et al. (2020)
VA,2020-09-10,2020-09-23,3.2,1.81,5.13,Bajema et al. (2020)
VT,2020-09-09,2020-09-24,1.7,0.27,4.15,Bajema et al. (2020)
WA,2020-09-09,2020-09-22,2.5,1.29,3.83,Bajema et al. (2020)
WI,2020-09-09,2020-09-24,3.8,2.2,5.73,Bajema et al. (2020)
WV,2020-09-09,2020-09-22,1.3,0.51,2.18,Bajema et al. (2020)
WY,2020-09-09,2020-09-24,1.5,0,3.97,Bajema et al. (2020)
AK,2020-09-22,2020-10-07,0.9,0.4,1.54,CDC (2021)
AL,2020-09-21,2020-10-07,8.9,6.58,11.38,CDC (2021)
AR,2020-09-23,2020-10-07,4.3,2.78,5.74,CDC (2021)
AZ,2020-09-22,2020-10-07,7.9,2.96,14.43,CDC (2021)
CA,2020-09-25,2020-09-30,4.1,2.61,5.64,CDC (2021)
CO,2020-09-24,2020-10-07,3,1.7,4.54,CDC (2021)
CT,2020-09-24,2020-09-30,2.5,1.47,3.8,CDC (2021)
DC,2020-09-23,2020-10-08,5,3.26,7.15,CDC (2021)
DE,2020-09-23,2020-10-08,6,4.07,8.12,CDC (2021)
FL,2020-09-25,2020-09-25,7.9,6.09,9.91,CDC (2021)
GA,2020-09-23,2020-10-07,10.4,7.68,13.1,CDC (2021)
HI,2020-09-22,2020-10-08,1.7,0.1,10.5,CDC (2021)
IA,2020-09-23,2020-10-07,8.3,6.33,10.36,CDC (2021)
ID,2020-09-23,2020-10-07,4.9,2.73,7.17,CDC (2021)
IL,2020-09-23,2020-10-01,5.4,3.81,7.18,CDC (2021)
IN,2020-09-21,2020-10-07,6,2.14,12.02,CDC (2021)
KS,2020-09-22,2020-10-08,5,3.53,6.72,CDC (2021)
KY,2020-09-23,2020-10-06,2.3,1.29,3.46,CDC (2021)
LA,2020-09-23,2020-10-06,12,9.63,14.45,CDC (2021)
MA,2020-09-25,2020-10-01,2.8,1.76,4.04,CDC (2021)
MD,2020-09-21,2020-10-05,9.9,7.8,12.2,CDC (2021)
ME,2020-09-25,2020-10-08,0.5,0.08,1.16,CDC (2021)
MI,2020-09-22,2020-10-02,3.4,2.33,4.48,CDC (2021)
MN,2020-09-23,2020-10-06,4.4,2.92,5.95,CDC (2021)
MO,2020-09-21,2020-10-02,5.9,4.19,8.12,CDC (2021)
MS,2020-09-23,2020-10-06,5.5,3.82,7.31,CDC (2021)
MT,2020-09-23,2020-10-08,2.7,0.6,6.52,CDC (2021)
NC,2020-09-23,2020-10-02,6.7,4.74,8.89,CDC (2021)
NE,2020-09-23,2020-10-07,10,7.16,12.88,CDC (2021)
NH,2020-09-25,2020-10-01,1,0.28,2.23,CDC (2021)
NJ,2020-09-21,2020-10-07,16,13.57,18.74,CDC (2021)
NM,2020-09-23,2020-10-06,3.6,2.29,5.07,CDC (2021)
NV,2020-09-23,2020-09-26,7.8,5.85,9.94,CDC (2021)
NY,2020-09-20,2020-10-07,22.8,19.2,26.54,CDC (2021)
OH,2020-09-23,2020-10-08,2.4,1.26,3.64,CDC (2021)
OK,2020-09-23,2020-09-29,5.6,3.78,7.36,CDC (2021)
OR,2020-09-20,2020-10-07,2.5,0.57,5.68,CDC (2021)
PA,2020-09-20,2020-10-05,10.7,8.17,13.78,CDC (2021)
RI,2020-09-25,2020-10-08,4.2,2.57,6.27,CDC (2021)
SC,2020-09-23,2020-10-07,9.1,6.39,11.78,CDC (2021)
TN,2020-09-23,2020-10-07,9.1,6.83,11.4,CDC (2021)
TX,2020-09-23,2020-10-05,7.2,5.19,9.56,CDC (2021)
UT,2020-09-23,2020-10-07,5.3,3.61,7.31,CDC (2021)
VA,2020-09-21,2020-10-05,5,2.34,9.26,CDC (2021)
VT,2020-09-25,2020-10-08,0.5,0,1.19,CDC (2021)
WA,2020-09-22,2020-10-08,2.3,1.25,3.6,CDC (2021)
WI,2020-09-23,2020-10-06,3.1,1.96,4.62,CDC (2021)
WV,2020-09-23,2020-10-08,3.2,1.11,6.18,CDC (2021)
WY,2020-09-23,2020-10-07,4.2,0.68,9.25,CDC (2021)
AK,2020-10-06,2020-10-21,1.5,0.79,2.46,CDC (2021)
AL,2020-10-07,2020-10-21,12.3,10,14.99,CDC (2021)
AR,2020-10-07,2020-10-22,9,7.14,11.38,CDC (2021)
AZ,2020-10-07,2020-10-21,4.8,2.55,7.89,CDC (2021)
CA,2020-10-08,2020-10-13,4.5,2.9,6.42,CDC (2021)
CO,2020-10-08,2020-10-19,4.4,2.82,6.51,CDC (2021)
CT,2020-10-08,2020-10-13,2.3,1.32,3.52,CDC (2021)
DC,2020-10-07,2020-10-22,6.8,4.99,8.89,CDC (2021)
DE,2020-10-07,2020-10-22,7.4,4.95,9.88,CDC (2021)
FL,2020-10-09,2020-10-09,8,6.01,10.22,CDC (2021)
GA,2020-10-06,2020-10-13,8.5,6.17,11.18,CDC (2021)
HI,2020-10-06,2020-10-22,2,0.55,4.19,CDC (2021)
IA,2020-10-07,2020-10-22,13,9.28,18.19,CDC (2021)
ID,2020-10-05,2020-10-21,4.2,2.64,6.02,CDC (2021)
IL,2020-10-07,2020-10-13,5.8,4.14,7.54,CDC (2021)
IN,2020-10-07,2020-10-20,4.6,2.27,7.83,CDC (2021)
KS,2020-10-06,2020-10-22,7.1,5.16,9.18,CDC (2021)
KY,2020-10-07,2020-10-16,3.3,1.95,4.72,CDC (2021)
LA,2020-10-06,2020-10-19,9.8,7.36,12.46,CDC (2021)
MA,2020-10-09,2020-10-13,2.6,1.5,3.88,CDC (2021)
MD,2020-10-10,2020-10-21,11.4,8.27,14.84,CDC (2021)
ME,2020-10-09,2020-10-22,0.6,0.16,1.25,CDC (2021)
MI,2020-10-06,2020-10-16,3.2,1.96,4.55,CDC (2021)
MN,2020-10-06,2020-10-22,7.5,5.36,10.01,CDC (2021)
MO,2020-10-07,2020-10-15,6.5,4.37,8.64,CDC (2021)
MS,2020-10-05,2020-10-20,13.1,9.4,17.24,CDC (2021)
MT,2020-10-07,2020-10-21,3.2,1.57,5.01,CDC (2021)
NC,2020-10-06,2020-10-19,3.5,2.05,5.04,CDC (2021)
NE,2020-10-07,2020-10-21,11.3,8.6,14.13,CDC (2021)
NH,2020-10-09,2020-10-15,0.8,0.31,1.42,CDC (2021)
NJ,2020-10-07,2020-10-21,12.4,10.02,15.17,CDC (2021)
NM,2020-10-06,2020-10-20,4.8,3.26,6.62,CDC (2021)
NV,2020-10-06,2020-10-16,8.2,6.4,10.06,CDC (2021)
NY,2020-10-09,2020-10-21,21.9,18.72,25.25,CDC (2021)
OH,2020-10-06,2020-10-22,1.8,0.94,2.75,CDC (2021)
OK,2020-10-07,2020-10-14,7.4,5.08,9.71,CDC (2021)
OR,2020-10-07,2020-10-19,2.1,0.87,3.59,CDC (2021)
PA,2020-10-08,2020-10-21,10.5,8.39,13.16,CDC (2021)
RI,2020-10-09,2020-10-22,2.4,1.43,3.54,CDC (2021)
